※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2022/2/1,0時,107982.1,8018,313,3926,94445,1802.1,1187,0,0,0,-1758
2022/2/1,1時,106523.5,8020,314,3932,94014,1784.1,1148.4,0,0,0,-2741
2022/2/1,2時,107509.1,8020,313,4104,95061.9,1777.1,1072.1,0,0,0,-2882
2022/2/1,3時,108139.4,8020,313,4346,95123.4,1780.1,1083.9,0,0,0,-2571
2022/2/1,4時,108692.6,8018,314,4478,94880.8,1782.1,1058.7,0,0,0,-1899
2022/2/1,5時,112732.9,8020,312,4754,97290.4,1783.1,1055.4,0,0,0,-558
2022/2/1,6時,123791.4,8020,314,5043,105943.1,1782.1,1028.2,0,7,0,1634
2022/2/1,7時,133182.5,8019,312,5928,109115.4,1781.1,1010.1,0,3030.9,0,3990
2022/2/1,8時,141474.4,8019,311,6168,108528.6,1776.1,1051.1,0,12838.6,0,2734
2022/2/1,9時,142076.8,8021,311,5278,101483.7,1792.1,1148.2,0,23007.8,0,926
2022/2/1,10時,137413.2,8023,310,4711,92546.2,1795.1,1371.2,0,30298.7,0,-1755
2022/2/1,11時,133893.3,8020,312,4362,90838.2,1797.1,1596.3,0,32168.7,0,-5270
2022/2/1,12時,126864,8022,312,3891,89889.9,1789.1,1796.4,0,29649.6,0,-8506
2022/2/1,13時,129045.9,8019,312,4073,93569,1769.1,1903.5,0,25451.3,0,-6073
2022/2/1,14時,128721.6,8023,312,4751,95405.9,1778.1,1906.6,0,19794,0,-3300
2022/2/1,15時,129580.8,8020,314,5986,99667.5,1798.1,1871.6,0,11919.6,0,-71
2022/2/1,16時,133152.7,8015,315,7277,108229.7,1830.1,1848,0,3882.9,0,1706
2022/2/1,17時,137073.3,8017,315,8762,111024.9,1815.1,1903.6,0,250.7,0,4905
2022/2/1,18時,138380.9,8017,315,9248,111062.6,1822.1,1879.7,0,1.5,0,5949
2022/2/1,19時,134607.6,8019,314,8264,109521.6,1827.1,1921.9,0,0,0,4647
2022/2/1,20時,130050.3,8020,314,6708,108002.3,1825.1,1888.9,0,0,0,3222
2022/2/1,21時,123868.1,8020,315,5193,105219.4,1824.1,1850.6,0,0,0,1416
2022/2/1,22時,116578.1,8022,315,4557,99885,1817.1,1834,0,0,0,93
2022/2/1,23時,111680.9,8022,314,4307,95548.3,1823.1,1910.5,0,0,0,-297
2022/2/2,0時,106021.7,8024,315,3804,91699.4,1806.1,1969.2,0,0,0,-1648
2022/2/2,1時,104765.9,8024,314,3833,91083,1807.1,1971.8,0,0,0,-2312
2022/2/2,2時,106089.2,8023,315,4120,91850.9,1811.1,1969.2,0,0,0,-2053
2022/2/2,3時,106892.3,8023,315,4243,91482.2,1815.1,2006,0,0,0,-1043
2022/2/2,4時,107629.7,8024,314,4381,91158.6,1816.1,1920,0,0,0,-41
2022/2/2,5時,111116.5,8023,315,4766,94225.7,1818.1,1835.7,0,0,0,48
2022/2/2,6時,121580.6,8023,314,5213,103591.4,1821.1,1724.1,0,9,0,867
2022/2/2,7時,131188.7,8023,312,6090,107894.2,1829.1,1661.4,0,2789,0,2600
2022/2/2,8時,140269.3,8024,312,6615,107309,1813.1,1738,0,12144.2,0,2278
