KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25594.338,MWH,15063.86,15074.86,15075.36,15069.96,15661.66,15669.72,15690.92,15585.22,15579.02,15580.32,15564.39,15574.09,15530.64,15087.14,15111.39,15089.79,15465.49,15486.92,15497.42,15510.02,15450.72,15473.22,15478.32,15461.52,2019-02-13
BARAJLI,20656.796,MWH,16939.96,16916.46,16768.46,16919.86,16919.86,16919.86,16919.86,16782.16,16811.96,16825.96,16826.96,16686.16,16963.36,16963.36,16962.36,16938.36,16950.36,17003.36,17000.36,17000.36,17078.26,17081.26,16987.26,16987.26,2019-02-13
LİNYİT,10067.652,MWH,5190.0,5190.0,5190.0,5190.0,5166.0,5166.0,5113.0,5125.0,4790.0,4755.0,4755.0,4832.0,4832.0,4832.0,4832.0,4800.0,4780.0,4820.0,4790.0,4795.0,4785.0,4785.0,4785.0,4785.0,2019-02-13
İTHAL KÖMÜR,8977.75,MWH,7897.0,7898.0,7899.0,7310.0,7313.0,7311.0,7310.0,7901.0,7908.0,7319.0,7321.0,7318.0,7294.0,7281.0,7315.0,7315.0,7320.0,7964.0,7961.0,7962.0,7959.0,7302.0,7307.0,7307.0,2019-02-13
AKARSU,7792.18,MWH,3614.07,3565.95,3586.89,3578.0,3620.94,3589.96,3603.63,3741.3,3859.55,3874.38,3896.2,3920.62,3943.1,3907.0,3829.43,3815.72,3834.19,3802.39,3819.89,3882.54,3877.53,3813.73,3743.51,3714.49,2019-02-13
RÜZGAR,7058.857,MWH,2039.55,2131.94,2339.44,2656.35,2896.22,3145.98,3420.33,3633.82,3963.0,4170.47,4433.44,4648.96,4736.05,4797.66,4822.06,4850.2,4847.27,4843.42,4868.49,4938.71,5025.21,5005.98,5043.56,4998.24,2019-02-13
JEOTERMAL,1351.018,MWH,885.6,891.8,893.3,895.6,894.4,895.5,896.1,895.4,894.9,878.2,874.5,868.1,866.1,859.4,857.0,856.0,854.8,859.4,872.5,877.6,887.9,891.8,894.4,895.8,2019-02-13
TAŞ KÖMÜR,844.766,MWH,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,2019-02-13
BİYOKÜTLE,595.763,MWH,284.88,283.68,283.03,285.94,283.34,284.94,287.64,288.69,291.11,294.03,290.23,290.78,283.73,284.73,284.83,282.01,282.81,281.06,281.06,281.06,280.29,278.94,279.59,278.39,2019-02-13
FUEL OİL,423.67,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-13
ASFALTİT KÖMÜR,405.0,MWH,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,2019-02-13
ATIK ISI,153.625,MWH,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,2019-02-13
GÜNEŞ,81.61,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.9,25.0,32.7,44.6,54.1,59.3,45.9,35.4,26.0,13.7,0.4,0.0,0.0,0.0,0.0,0.0,2019-02-13
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-13
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-13
