KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26183.48,MWH,13184.46,12388.06,12308.14,12313.74,12292.69,13089.49,13188.89,13419.92,13733.03,13428.12,13725.22,13698.53,13831.14,13926.83,13926.4,13917.72,13926.52,13953.0,13992.5,14004.01,14008.36,14012.65,14020.42,13434.56,2019-12-11
BARAJLI,20660.479,MWH,15343.6,15343.6,15160.2,15160.2,15158.4,15160.25,15116.25,15292.05,15353.5,15355.15,15341.1,15341.55,15587.9,15590.6,15675.6,15682.6,15597.6,15449.15,15405.15,15227.25,15410.55,15374.55,15404.35,15404.35,2019-12-11
LİNYİT,10323.452,MWH,5829.45,5832.45,5829.45,5594.45,5595.45,5555.45,5555.45,5555.45,5630.45,5630.45,5630.45,5630.45,5607.45,5607.45,5566.45,5505.45,5380.45,5368.45,5569.45,5772.45,5828.45,5647.45,5647.45,5644.45,2019-12-11
İTHAL KÖMÜR,9017.75,MWH,8017.5,7867.5,7850.5,7849.5,7819.8,7839.8,8016.5,8117.5,8103.5,8103.8,8106.8,8104.8,8104.1,8104.1,8103.1,8103.1,8086.1,8087.1,8087.1,8086.1,8101.1,8102.1,8100.1,8101.1,2019-12-11
AKARSU,7908.764,MWH,2184.61,2125.53,2082.96,2093.34,2089.78,2111.97,2066.05,2104.99,2187.6,2216.09,2248.59,2279.0,2162.44,2184.07,2258.38,2247.42,2192.68,2315.74,2314.51,2312.3,2303.4,2269.06,2306.51,2315.76,2019-12-11
RÜZGAR,7594.777,MWH,1916.12,2016.47,2112.27,2209.35,2343.31,2484.52,2616.09,2735.39,2843.9,2843.75,2772.12,2739.73,2668.16,2580.69,2471.63,2320.95,2137.99,2109.56,2060.45,2043.64,2054.08,2030.61,2016.82,2020.05,2019-12-11
JEOTERMAL,1562.638,MWH,987.0,991.3,991.7,992.6,993.0,992.6,995.2,995.4,991.8,960.5,951.3,937.7,930.7,905.9,924.3,945.9,947.1,955.1,967.3,975.8,976.6,979.8,982.7,987.1,2019-12-11
TAŞ KÖMÜR,844.766,MWH,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,129.0,145.0,145.0,145.0,145.0,145.0,151.0,151.0,151.0,151.0,2019-12-11
BİYOKÜTLE,733.54,MWH,327.19,329.89,329.69,329.39,329.67,330.73,329.13,329.13,331.87,333.29,342.79,342.04,347.64,349.69,353.99,353.79,353.74,351.12,351.65,350.08,348.38,345.43,348.08,349.28,2019-12-11
ASFALTİT KÖMÜR,405.0,MWH,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,2019-12-11
FUEL OİL,291.04,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-11
GÜNEŞ,165.288,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.2,29.1,41.5,47.7,55.8,53.9,38.9,22.5,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-11
ATIK ISI,162.625,MWH,22.8,22.7,22.6,22.7,22.6,22.7,22.6,22.7,23.6,23.9,23.9,23.9,23.0,22.3,21.8,19.1,15.7,14.5,14.5,14.5,14.4,14.4,14.2,14.2,2019-12-11
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-11
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-11
