KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25593.598,MWH,14884.61,14264.71,14120.01,13528.91,14091.21,14908.51,14906.72,14943.82,14979.32,14966.22,14953.72,14930.19,14912.09,14905.79,14893.49,14892.49,14906.09,14922.19,15734.22,15601.02,15611.22,15618.52,14780.92,14252.62,2019-02-26
BARAJLI,20656.796,MWH,16949.81,16949.81,16902.81,16904.81,16903.81,16903.81,16856.81,16924.01,16938.81,16704.81,16976.41,16731.51,16882.51,16629.41,16883.71,16884.71,16627.71,16992.11,16994.11,16936.11,16936.11,16936.11,16936.11,16908.91,2019-02-26
LİNYİT,10067.652,MWH,4958.0,4976.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,5200.0,5204.0,5154.0,5154.0,5154.0,5084.0,5049.0,5049.0,5069.0,5054.0,5049.0,5049.0,5079.0,4989.0,5059.0,2019-02-26
İTHAL KÖMÜR,8977.75,MWH,8046.0,8046.0,8049.0,8021.0,8024.0,8031.0,8159.0,8160.0,8093.0,8104.0,8144.0,8084.0,8082.0,8093.0,7580.0,7579.0,7577.0,7631.0,7574.0,7575.0,7571.0,7671.0,7799.0,8031.0,2019-02-26
AKARSU,7794.213,MWH,3523.64,3419.04,3372.97,3324.82,3294.72,3297.17,3335.4,3422.98,3616.41,3711.09,3677.56,3701.94,3634.19,3666.53,3654.17,3654.59,3624.53,3688.11,3746.55,3672.69,3628.09,3579.18,3582.63,3610.34,2019-02-26
RÜZGAR,7061.357,MWH,4165.37,4204.7,4203.4,4193.46,4165.92,4165.49,4140.67,4058.1,3991.16,3812.48,3549.67,3286.75,3060.96,2862.61,2591.14,2457.29,2225.07,1996.12,1929.65,1818.74,1840.51,1843.29,1842.03,1868.35,2019-02-26
JEOTERMAL,1351.018,MWH,893.2,895.35,896.4,898.5,900.25,901.6,902.5,901.65,897.1,892.25,888.75,880.45,839.7,831.95,860.1,858.25,858.55,865.55,874.25,881.95,886.05,891.5,894.75,897.25,2019-02-26
TAŞ KÖMÜR,844.766,MWH,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,2019-02-26
BİYOKÜTLE,595.763,MWH,297.7,298.6,298.0,297.4,299.7,302.4,304.26,304.36,304.33,308.3,312.1,308.1,306.55,310.25,310.98,313.08,309.28,307.33,306.23,306.53,308.36,308.56,308.16,303.66,2019-02-26
FUEL OİL,423.67,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-26
ASFALTİT KÖMÜR,405.0,MWH,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,2019-02-26
ATIK ISI,153.625,MWH,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.8,14.6,13.6,14.0,13.3,2019-02-26
GÜNEŞ,81.61,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.7,14.2,20.9,29.4,32.3,34.6,23.4,18.9,12.8,7.2,2.0,0.1,0.0,0.0,0.0,0.0,2019-02-26
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-26
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-26
