KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26162.708,MWH,13157.56,13156.88,13164.93,13170.14,13397.0,13399.98,13402.48,13383.12,13222.88,13210.28,13148.08,13094.58,13045.28,13017.98,12981.28,12961.28,13085.73,13116.52,13191.98,13239.4,13273.59,13304.32,13317.03,13314.93,2019-11-10
BARAJLI,20656.999,MWH,14062.57,14062.57,14062.57,14062.57,13982.17,13937.17,13781.17,13861.57,13865.77,13865.47,13859.47,13859.47,13904.47,13909.27,13910.27,13910.27,13910.27,13885.27,13780.27,13900.27,13900.27,13972.77,14017.27,14017.27,2019-11-10
LİNYİT,10323.452,MWH,5641.0,5654.0,5654.0,5654.0,5654.0,5654.0,5654.0,5654.0,5654.0,5654.0,5651.0,5651.0,5849.0,5847.0,5847.0,5847.0,5833.0,5733.0,5718.0,5718.0,5718.0,5718.0,5719.0,5720.0,2019-11-10
İTHAL KÖMÜR,9017.75,MWH,6760.4,6761.4,6763.4,6759.9,6752.9,6754.4,6753.4,6759.4,6746.3,6716.3,6717.3,6718.3,6724.3,6711.4,6630.4,6728.4,6754.4,6735.4,6731.4,6731.4,6731.4,6731.9,6733.9,6734.9,2019-11-10
AKARSU,7906.555,MWH,2067.87,2092.41,1980.29,1950.82,2034.06,2002.5,1962.92,2005.79,2077.36,2106.72,2144.6,2175.49,2192.18,2201.67,2166.06,2169.71,2167.66,2129.31,2184.03,2270.86,2292.8,2251.58,2181.8,2189.18,2019-11-10
RÜZGAR,7565.387,MWH,872.8,946.24,1005.26,1059.4,1173.59,1286.23,1407.09,1539.25,1654.45,1637.76,1632.54,1865.42,2160.71,2330.79,2576.74,2596.23,2378.85,2205.14,2131.44,2083.67,1965.0,1950.3,1835.2,1661.7,2019-11-10
JEOTERMAL,1562.638,MWH,971.2,976.8,982.5,987.1,988.3,995.3,1000.8,998.9,973.9,967.9,957.7,938.4,888.8,892.3,863.4,856.7,855.6,864.3,881.8,900.3,913.2,924.2,935.9,942.1,2019-11-10
TAŞ KÖMÜR,844.766,MWH,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,2019-11-10
BİYOKÜTLE,722.24,MWH,335.34,334.66,334.16,334.46,335.4,335.3,335.0,335.0,325.62,332.76,332.06,329.81,331.76,334.06,333.36,333.46,333.11,332.49,331.99,330.99,336.25,335.0,337.25,337.25,2019-11-10
ASFALTİT KÖMÜR,405.0,MWH,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,2019-11-10
FUEL OİL,291.04,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-10
GÜNEŞ,165.288,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,47.6,89.5,116.25,133.95,134.85,133.45,117.5,80.7,31.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-10
ATIK ISI,162.625,MWH,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,2019-11-10
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-10
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-10
