KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26284.128,MWH,16057.47,16073.9,16101.0,16109.59,15776.49,15834.59,15630.28,15669.61,15376.24,15385.17,15322.73,15322.22,15533.36,15492.7,15482.36,15475.88,15479.39,15506.69,15558.32,15592.83,15728.98,15769.5,15821.12,15849.67,2019-07-04
BARAJLI,20656.796,MWH,17162.62,17162.62,17162.62,17135.72,17177.57,17085.17,17085.17,17054.07,17061.97,17016.47,17021.87,17072.87,17042.37,17073.37,17071.87,17073.37,17215.37,17215.37,17215.37,17279.37,17267.52,17305.52,17305.52,17305.52,2019-07-04
LİNYİT,10323.452,MWH,6383.0,6303.0,6303.0,6283.0,6283.0,6293.0,6326.0,6141.0,6360.0,6377.0,6388.0,6385.0,6155.0,6155.0,6308.0,6292.0,6327.0,6377.0,6377.0,6379.0,6399.0,6403.0,6403.0,6406.0,2019-07-04
İTHAL KÖMÜR,8977.75,MWH,7307.3,7308.3,7307.3,7307.3,7229.3,7228.3,7228.3,7319.8,7325.8,7326.8,7326.8,7325.8,7326.8,7325.8,7326.8,7326.8,7325.8,7324.8,7326.8,7326.8,7324.8,7323.8,7323.8,7323.8,2019-07-04
AKARSU,7824.077,MWH,3070.37,3022.54,3017.37,2992.39,2980.0,2967.06,3010.93,3016.1,2947.21,3022.71,3138.38,3173.01,3160.45,3199.87,3219.02,3148.08,3191.66,3222.89,3281.95,3267.67,3212.7,3251.54,3282.99,3206.47,2019-07-04
RÜZGAR,7248.847,MWH,2571.85,2616.23,2667.72,2700.1,2782.49,2741.57,2623.96,2457.56,2304.47,2295.27,2419.32,2613.8,2822.44,2989.2,3289.07,3551.62,3809.71,3960.6,4052.09,4113.27,4111.23,4066.75,4001.87,3882.07,2019-07-04
JEOTERMAL,1377.518,MWH,762.9,773.2,784.8,792.0,799.1,800.0,797.6,785.2,743.4,709.2,684.3,662.7,651.8,641.8,637.0,630.7,631.6,635.1,654.1,672.5,691.9,709.5,724.6,736.4,2019-07-04
TAŞ KÖMÜR,844.766,MWH,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,2019-07-04
BİYOKÜTLE,611.817,MWH,309.72,310.71,309.4,309.12,310.22,309.16,310.86,310.76,311.29,309.44,307.64,309.03,313.56,314.05,309.85,307.78,312.37,313.59,315.14,315.09,318.24,317.92,318.66,316.47,2019-07-04
ASFALTİT KÖMÜR,405.0,MWH,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,2019-07-04
FUEL OİL,330.42,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-04
ATIK ISI,153.625,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-04
GÜNEŞ,81.61,MWH,0.0,0.0,0.0,0.0,0.0,0.17,7.27,26.5,44.47,57.69,67.63,70.9,71.92,72.49,68.2,56.79,42.58,26.28,8.79,1.62,0.0,0.0,0.0,0.0,2019-07-04
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-04
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-04
