datetime,Coal,region,Hydro,Solar,Wind,Other,Petroleum,Nuclear,Natural gas
2020-12-01 00:00:00,34006,MIDW,2571,1,6719,1040,2487,9982,28752
2020-12-01 01:00:00,33673,MIDW,2587,1,7386,1011,2523,9981,28179
2020-12-01 02:00:00,33749,MIDW,2240,0,8240,992,2075,9982,27234
2020-12-01 03:00:00,32995,MIDW,1329,0,8840,965,1888,9994,26567
2020-12-01 04:00:00,32088,MIDW,922,0,9120,952,1642,9993,25497
2020-12-01 05:00:00,30772,MIDW,861,1,9526,951,1438,9996,24251
2020-12-01 06:00:00,29103,MIDW,849,1,9572,955,1408,10000,23358
2020-12-01 07:00:00,28341,MIDW,872,1,9713,924,1420,10002,23119
2020-12-01 08:00:00,27840,MIDW,873,1,9823,921,1431,10001,23252
2020-12-01 09:00:00,27896,MIDW,847,1,9374,918,1450,9999,23439
2020-12-01 10:00:00,28592,MIDW,840,1,9084,926,1610,9997,23564
2020-12-01 11:00:00,29592,MIDW,830,1,9108,932,1845,9998,23874
2020-12-01 12:00:00,30501,MIDW,1407,1,9434,945,2202,9994,25342
2020-12-01 13:00:00,32097,MIDW,2433,1,9937,963,2444,9995,27888
2020-12-01 14:00:00,33254,MIDW,2641,25,10748,943,2654,9996,28703
2020-12-01 15:00:00,33670,MIDW,1698,151,11173,925,2666,9990,27863
2020-12-01 16:00:00,33840,MIDW,1497,334,9977,933,2610,9988,26741
2020-12-01 17:00:00,34292,MIDW,966,362,8334,940,2562,9992,26346
2020-12-01 18:00:00,34634,MIDW,846,353,8175,936,2472,9977,24781
2020-12-01 19:00:00,34288,MIDW,824,364,8197,945,2336,9993,23436
2020-12-01 20:00:00,33558,MIDW,811,371,8320,967,2441,9994,22484
2020-12-01 21:00:00,32645,MIDW,807,331,8119,949,2467,10004,22496
2020-12-01 22:00:00,33218,MIDW,920,169,8024,958,2530,10010,22865
2020-12-01 23:00:00,34139,MIDW,1926,27,8320,940,2659,10025,24201
2020-12-02 00:00:00,34778,MIDW,2270,1,10104,946,2584,10059,25568
2020-12-02 01:00:00,34755,MIDW,2300,1,11032,936,2441,10101,25514
2020-12-02 02:00:00,34504,MIDW,1394,1,11013,933,2442,10129,25356
2020-12-02 03:00:00,34460,MIDW,894,1,10317,925,2469,10131,25155
2020-12-02 04:00:00,33678,MIDW,911,1,9649,923,2168,10130,23604
2020-12-02 05:00:00,32717,MIDW,887,1,9214,920,1865,10137,22630
2020-12-02 06:00:00,31961,MIDW,840,1,8718,913,1863,10143,22248
2020-12-02 07:00:00,31136,MIDW,770,1,8258,900,1832,10143,21199
2020-12-02 08:00:00,31109,MIDW,792,1,7534,907,1829,10145,21277
2020-12-02 09:00:00,31188,MIDW,773,1,6743,914,1839,10145,22010
2020-12-02 10:00:00,31255,MIDW,747,1,6316,919,1870,10144,22641
2020-12-02 11:00:00,32140,MIDW,810,1,5843,943,2043,10140,23454
2020-12-02 12:00:00,33192,MIDW,2128,1,5519,956,2948,10136,25262
2020-12-02 13:00:00,34317,MIDW,2598,1,5344,1010,3629,10134,27953
2020-12-02 14:00:00,35344,MIDW,2747,28,5673,974,3725,10132,28645
2020-12-02 15:00:00,35631,MIDW,2519,183,5660,945,3156,10133,27650
2020-12-02 16:00:00,35361,MIDW,1835,339,4715,944,3100,10134,26208
2020-12-02 17:00:00,35047,MIDW,1363,356,3924,955,2963,10130,25487
2020-12-02 18:00:00,34826,MIDW,895,345,3998,966,2872,10129,24499
2020-12-02 19:00:00,34345,MIDW,746,339,4561,966,2680,10130,22923
2020-12-02 20:00:00,33828,MIDW,740,290,5080,956,2450,10129,22003
2020-12-02 21:00:00,33344,MIDW,728,239,5637,957,2427,10127,21429
2020-12-02 22:00:00,33352,MIDW,726,110,6246,965,2433,10127,21754
2020-12-02 23:00:00,34068,MIDW,1219,12,6863,981,2562,10125,23419
2020-12-03 00:00:00,34197,MIDW,1620,1,8435,982,2734,10126,24891
2020-12-03 01:00:00,33726,MIDW,1448,1,9986,984,2786,10125,24373
2020-12-03 02:00:00,33439,MIDW,1055,1,10747,986,2623,10122,23890
2020-12-03 03:00:00,33605,MIDW,821,1,10792,977,2366,10125,22627
2020-12-03 04:00:00,32110,MIDW,839,1,11336,965,2141,10126,20307
2020-12-03 05:00:00,29953,MIDW,824,1,11818,966,1983,10130,19417
2020-12-03 06:00:00,29105,MIDW,780,1,11746,974,1700,10133,18940
2020-12-03 07:00:00,28470,MIDW,757,1,12009,933,1560,10132,18110
2020-12-03 08:00:00,27799,MIDW,735,1,11641,919,1573,10133,17949
2020-12-03 09:00:00,27812,MIDW,735,1,11166,947,1571,10134,17924
2020-12-03 10:00:00,28331,MIDW,733,1,10721,986,1571,10135,17986
2020-12-03 11:00:00,29497,MIDW,758,1,9917,993,1578,10136,18757
2020-12-03 12:00:00,30372,MIDW,1355,1,10306,1005,1742,10130,19658
2020-12-03 13:00:00,32147,MIDW,2558,1,10306,1004,2017,10127,21584
2020-12-03 14:00:00,33618,MIDW,2473,5,9928,1000,2236,10129,22607
2020-12-03 15:00:00,34152,MIDW,1692,56,9807,1008,2293,10129,22704
2020-12-03 16:00:00,34431,MIDW,1437,127,8558,1009,2305,10126,22708
2020-12-03 17:00:00,34375,MIDW,1372,168,7457,1002,2325,10124,22438
2020-12-03 18:00:00,33918,MIDW,897,201,7611,992,2288,10124,21324
2020-12-03 19:00:00,32928,MIDW,799,210,8957,995,2138,10123,19956
2020-12-03 20:00:00,32269,MIDW,765,205,9662,990,1975,10124,19050
2020-12-03 21:00:00,31570,MIDW,767,171,10319,973,1940,10121,18998
2020-12-03 22:00:00,31604,MIDW,783,68,10106,988,1979,10121,20061
2020-12-03 23:00:00,32748,MIDW,1416,7,9833,997,2127,10121,21665
2020-12-04 00:00:00,33473,MIDW,1689,1,11821,992,2195,10120,22003
2020-12-04 01:00:00,32549,MIDW,1103,1,13874,993,1943,10122,21766
2020-12-04 02:00:00,31649,MIDW,924,1,15307,992,1470,10174,20984
2020-12-04 03:00:00,29833,MIDW,908,1,15928,986,1155,10250,20131
2020-12-04 04:00:00,27622,MIDW,912,1,16279,972,1002,10324,18710
2020-12-04 05:00:00,26682,MIDW,901,1,15868,890,1004,10312,17184
2020-12-04 06:00:00,25480,MIDW,889,1,14719,841,981,10344,16201
2020-12-04 07:00:00,24030,MIDW,888,1,14243,818,969,10372,15380
2020-12-04 08:00:00,23574,MIDW,888,1,13591,818,961,10468,15189
2020-12-04 09:00:00,23415,MIDW,889,1,12880,811,951,10615,14922
2020-12-04 10:00:00,23823,MIDW,890,1,12514,817,988,10617,15570
2020-12-04 11:00:00,25303,MIDW,894,1,12502,866,1061,10704,16426
2020-12-04 12:00:00,27042,MIDW,901,1,12576,894,1463,10716,17595
2020-12-04 13:00:00,29190,MIDW,2037,1,11732,934,2214,10746,18899
2020-12-04 14:00:00,30809,MIDW,2179,6,11638,939,2402,10815,20026
2020-12-04 15:00:00,31738,MIDW,1505,71,10062,931,2471,10820,20956
2020-12-04 16:00:00,32720,MIDW,2116,214,6265,933,2548,10850,21894
2020-12-04 17:00:00,33406,MIDW,1619,213,4398,933,2596,10883,21995
2020-12-04 18:00:00,33454,MIDW,926,243,4174,932,2657,10880,21684
2020-12-04 19:00:00,33099,MIDW,827,241,4474,938,2658,10877,20967
2020-12-04 20:00:00,32248,MIDW,820,244,4622,920,2555,10917,20306
2020-12-04 21:00:00,31555,MIDW,815,240,4459,846,2599,10956,19705
2020-12-04 22:00:00,32313,MIDW,838,141,4193,851,2590,10988,19756
2020-12-04 23:00:00,33111,MIDW,1948,24,4238,877,2637,11027,20613
2020-12-05 00:00:00,34165,MIDW,1957,1,4913,914,2811,11031,22008
2020-12-05 01:00:00,34523,MIDW,1307,1,5322,912,2677,11037,22807
2020-12-05 02:00:00,33902,MIDW,933,1,5954,936,2644,11074,21911
2020-12-05 03:00:00,33244,MIDW,914,1,5556,939,2459,11105,21493
2020-12-05 04:00:00,32265,MIDW,910,1,5081,903,2349,11141,20779
