datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Solar,Other
2022-08-01 00:00:00,10306,MIDW,14202,2021,38721,36209,777,521
2022-08-01 01:00:00,10303,MIDW,12186,1174,38806,36317,229,520
2022-08-01 02:00:00,10301,MIDW,11248,717,38026,34895,6,515
2022-08-01 03:00:00,10298,MIDW,11661,665,36550,32332,0,512
2022-08-01 04:00:00,10297,MIDW,12660,624,34707,27557,0,480
