demand,nuclear,geothermal,hydroelectric,fossil_fuel_fired,biomass,wind,wind_regulated,photovoltaic,photovoltaic_regulated,pumped_storage_hydroelectricity,hour,date,datetime,year,month,month_date,unit
82184.8,5017,272,8590.9,64262.6,2038.5,1858.8,0.0,0.0,0.0,-19,0,2022-04-01,2022-04-01 00:00:00,2022,4,04-01,Mwh
81318.6,5017,273,8610.9,63415.0,2037.5,1901.2,0.0,0.0,0.0,-67,1,2022-04-01,2022-04-01 01:00:00,2022,4,04-01,Mwh
83779.6,5017,273,8690.9,65294.5,2041.5,2008.7,0.0,0.0,0.0,338,2,2022-04-01,2022-04-01 02:00:00,2022,4,04-01,Mwh
86822.1,5019,273,9066.9,66697.0,2041.5,2149.7,0.0,0.0,0.0,1447,3,2022-04-01,2022-04-01 03:00:00,2022,4,04-01,Mwh
88386.1,5018,274,9497.9,67592.8,2045.5,2146.9,0.0,0.0,0.0,1707,4,2022-04-01,2022-04-01 04:00:00,2022,4,04-01,Mwh
90333.0,5019,272,9509.9,69119.0,2042.5,2056.6,0.0,76.0,0.0,2137,5,2022-04-01,2022-04-01 05:00:00,2022,4,04-01,Mwh
94667.8,5018,273,9486.9,71426.5,2023.5,2118.0,0.0,1725.9,0.0,2472,6,2022-04-01,2022-04-01 06:00:00,2022,4,04-01,Mwh
99224.9,5019,271,9323.9,69912.4,1991.5,2143.1,0.0,7451.0,0.0,2997,7,2022-04-01,2022-04-01 07:00:00,2022,4,04-01,Mwh
107266.7,5019,270,9657.9,70229.8,1962.5,2249.3,0.0,16490.2,0.0,1233,8,2022-04-01,2022-04-01 08:00:00,2022,4,04-01,Mwh
112257.8,5019,272,9228.9,66695.2,1938.5,2249.7,0.0,26795.5,2.0,-96,9,2022-04-01,2022-04-01 09:00:00,2022,4,04-01,Mwh
111065.0,5018,272,8596.9,60659.7,1923.5,2354.9,0.0,35196.0,153.0,-3075,10,2022-04-01,2022-04-01 10:00:00,2022,4,04-01,Mwh
110505.0,5019,273,8291.9,56325.6,1922.5,2296.3,0.0,41734.7,785.0,-5457,11,2022-04-01,2022-04-01 11:00:00,2022,4,04-01,Mwh
105486.5,5019,273,8100.9,51317.3,1928.5,2342.5,36.0,45143.3,978.0,-8734,12,2022-04-01,2022-04-01 12:00:00,2022,4,04-01,Mwh
107681.8,5019,272,8150.9,53524.9,1922.5,2404.7,0.0,43260.8,750.0,-6977,13,2022-04-01,2022-04-01 13:00:00,2022,4,04-01,Mwh
105176.2,5018,271,8507.9,55758.5,1921.5,2474.6,0.0,35792.7,298.0,-4667,14,2022-04-01,2022-04-01 14:00:00,2022,4,04-01,Mwh
103305.6,5019,273,9102.9,61039.5,1938.5,2459.4,0.0,26390.3,2.0,-3022,15,2022-04-01,2022-04-01 15:00:00,2022,4,04-01,Mwh
104741.7,5018,272,9769.9,71200.7,1953.5,2376.0,0.0,14110.6,0.0,-76,16,2022-04-01,2022-04-01 16:00:00,2022,4,04-01,Mwh
106183.6,5018,274,10414.9,80438.1,1996.5,2314.5,0.0,3727.6,0.0,1812,17,2022-04-01,2022-04-01 17:00:00,2022,4,04-01,Mwh
111107.5,5019,274,11145.9,84117.7,1991.5,2195.5,0.0,122.9,0.0,6036,18,2022-04-01,2022-04-01 18:00:00,2022,4,04-01,Mwh
110422.8,5012,273,11146.9,83000.9,1998.5,2071.5,0.0,0.0,0.0,6711,19,2022-04-01,2022-04-01 19:00:00,2022,4,04-01,Mwh
107495.8,5012,274,10546.9,81558.5,2007.5,1906.9,0.0,0.0,0.0,5985,20,2022-04-01,2022-04-01 20:00:00,2022,4,04-01,Mwh
103557.9,5013,274,9499.9,80495.4,2019.5,1651.1,0.0,0.0,0.0,4412,21,2022-04-01,2022-04-01 21:00:00,2022,4,04-01,Mwh
98864.7,5018,274,8936.9,78732.1,2020.5,1442.2,0.0,0.0,0.0,2258,22,2022-04-01,2022-04-01 22:00:00,2022,4,04-01,Mwh
94822.4,5018,275,8309.9,76785.4,2023.5,1351.6,0.0,0.0,0.0,899,23,2022-04-01,2022-04-01 23:00:00,2022,4,04-01,Mwh
88857.3,5018,273,7798.9,72029.1,2025.5,1145.8,0.0,0.0,0.0,415,0,2022-04-02,2022-04-02 00:00:00,2022,4,04-02,Mwh
87705.4,5018,272,7868.9,70858.7,2024.5,1109.3,0.0,0.0,0.0,401,1,2022-04-02,2022-04-02 01:00:00,2022,4,04-02,Mwh
89528.8,5014,274,8078.9,71603.5,2022.5,1049.9,0.0,0.0,0.0,1328,2,2022-04-02,2022-04-02 02:00:00,2022,4,04-02,Mwh
91436.5,5017,275,8603.9,72353.2,2029.5,977.9,0.0,0.0,0.0,2027,3,2022-04-02,2022-04-02 03:00:00,2022,4,04-02,Mwh
91732.9,5017,274,8995.9,72106.6,2030.5,854.9,0.0,0.0,0.0,2292,4,2022-04-02,2022-04-02 04:00:00,2022,4,04-02,Mwh
91307.9,5016,273,8926.9,71433.6,2029.5,824.9,0.0,131.0,0.0,2514,5,2022-04-02,2022-04-02 05:00:00,2022,4,04-02,Mwh
90270.3,5018,273,8299.9,68747.2,2018.5,742.3,0.0,3881.4,0.0,1192,6,2022-04-02,2022-04-02 06:00:00,2022,4,04-02,Mwh
89499.8,5017,272,7841.9,59573.2,2016.5,742.4,0.0,14157.8,0.0,-217,7,2022-04-02,2022-04-02 07:00:00,2022,4,04-02,Mwh
92713.6,5018,272,7666.9,52013.5,1998.5,829.5,0.0,26783.2,0.0,-2014,8,2022-04-02,2022-04-02 08:00:00,2022,4,04-02,Mwh
95620.7,5017,272,7581.9,47845.2,1979.5,864.7,0.0,37405.4,1.0,-5497,9,2022-04-02,2022-04-02 09:00:00,2022,4,04-02,Mwh
95255.6,5016,272,7238.9,44821.7,1978.5,964.4,0.0,43826.1,134.0,-8977,10,2022-04-02,2022-04-02 10:00:00,2022,4,04-02,Mwh
94408.2,5018,272,7015.9,42819.6,1985.5,984.9,0.0,46036.3,680.0,-9822,11,2022-04-02,2022-04-02 11:00:00,2022,4,04-02,Mwh
91280.6,5017,272,6750.9,43039.1,1992.5,1016.6,0.0,45061.5,1167.0,-11968,12,2022-04-02,2022-04-02 12:00:00,2022,4,04-02,Mwh
89874.1,5018,274,6813.9,43913.5,1993.5,1041.0,0.0,41473.2,795.0,-10750,13,2022-04-02,2022-04-02 13:00:00,2022,4,04-02,Mwh
86960.0,5018,272,6985.9,45974.2,1992.5,981.9,0.0,34967.5,166.0,-9333,14,2022-04-02,2022-04-02 14:00:00,2022,4,04-02,Mwh
85590.7,5018,273,7397.9,50583.4,1993.5,954.7,0.0,24582.2,2.0,-5328,15,2022-04-02,2022-04-02 15:00:00,2022,4,04-02,Mwh
87369.2,5013,273,8163.9,59293.7,2018.5,900.0,0.0,12619.1,0.0,-1029,16,2022-04-02,2022-04-02 16:00:00,2022,4,04-02,Mwh
92106.3,5013,276,9314.9,70003.1,2049.5,757.7,0.0,3538.1,0.0,987,17,2022-04-02,2022-04-02 17:00:00,2022,4,04-02,Mwh
99057.4,5012,275,10315.9,75566.7,2046.5,592.0,0.0,212.3,0.0,4823,18,2022-04-02,2022-04-02 18:00:00,2022,4,04-02,Mwh
99844.5,5019,273,10385.9,75504.3,2047.5,514.8,0.0,9.0,0.0,5883,19,2022-04-02,2022-04-02 19:00:00,2022,4,04-02,Mwh
97700.7,5019,274,9782.9,75115.6,2047.5,510.7,0.0,6.0,0.0,4739,20,2022-04-02,2022-04-02 20:00:00,2022,4,04-02,Mwh
93981.5,5020,274,8968.9,73809.3,2046.5,564.8,0.0,0.0,0.0,3087,21,2022-04-02,2022-04-02 21:00:00,2022,4,04-02,Mwh
89318.6,5020,274,8093.9,71578.5,2048.5,581.7,0.0,0.0,0.0,1543,22,2022-04-02,2022-04-02 22:00:00,2022,4,04-02,Mwh
85827.4,5017,275,7553.9,69046.6,2045.5,628.4,0.0,0.0,0.0,1098,23,2022-04-02,2022-04-02 23:00:00,2022,4,04-02,Mwh
81283.2,5019,272,7316.9,65191.5,2038.5,646.3,0.0,0.0,0.0,631,0,2022-04-03,2022-04-03 00:00:00,2022,4,04-03,Mwh
80243.7,5019,273,7477.9,64206.5,2038.5,659.8,0.0,0.0,0.0,390,1,2022-04-03,2022-04-03 01:00:00,2022,4,04-03,Mwh
