demand,nuclear,geothermal,hydroelectric,fossil_fuel_fired,biomass,wind,wind_regulated,photovoltaic,photovoltaic_regulated,pumped_storage_hydroelectricity,hour,date,datetime,year,month,month_date,unit
101129.4,2986,332,4548.8,84359.3,1636.1,2199.2,0.0,0.0,0.0,5067,0,2021-01-01,2021-01-01 00:00:00,2021,1,01-01,Mwh
97334.3,2990,329,4336.8,81998.9,1635.1,2143.5,0.0,0.0,0.0,3897,1,2021-01-01,2021-01-01 01:00:00,2021,1,01-01,Mwh
95441.2,2989,322,4256.8,80967.6,1637.1,2157.7,0.0,0.0,0.0,3118,2,2021-01-01,2021-01-01 02:00:00,2021,1,01-01,Mwh
93975.8,2989,323,4609.8,79675.2,1638.1,2207.7,0.0,0.0,0.0,2534,3,2021-01-01,2021-01-01 03:00:00,2021,1,01-01,Mwh
91950.6,2988,321,4192.8,78290.8,1638.1,2200.9,0.0,0.0,0.0,2320,4,2021-01-01,2021-01-01 04:00:00,2021,1,01-01,Mwh
89926.6,2987,323,4134.8,77268.7,1632.1,2247.0,0.0,0.0,0.0,1328,5,2021-01-01,2021-01-01 05:00:00,2021,1,01-01,Mwh
90063.0,2992,322,3907.8,77476.7,1643.1,2194.4,0.0,0.0,0.0,1524,6,2021-01-01,2021-01-01 06:00:00,2021,1,01-01,Mwh
93833.8,2986,322,3756.8,78363.2,1650.1,2132.8,0.0,1493.9,0.0,3136,7,2021-01-01,2021-01-01 07:00:00,2021,1,01-01,Mwh
98894.9,2990,322,3880.8,77537.5,1648.4,2132.8,0.0,8418.4,0.0,1964,8,2021-01-01,2021-01-01 08:00:00,2021,1,01-01,Mwh
98225.2,2987,324,3617.8,73235.7,1649.4,2161.3,0.0,16387.0,0.0,-2131,9,2021-01-01,2021-01-01 09:00:00,2021,1,01-01,Mwh
95070.0,2992,328,3263.8,70804.2,1656.4,2153.2,0.0,21999.4,0.0,-8136,10,2021-01-01,2021-01-01 10:00:00,2021,1,01-01,Mwh
92399.4,2988,334,3206.8,68185.1,1657.4,2223.8,0.0,24328.3,0.0,-10526,11,2021-01-01,2021-01-01 11:00:00,2021,1,01-01,Mwh
91013.7,2989,333,3198.8,67404.8,1655.4,2191.2,0.0,23994.5,0.0,-10750,12,2021-01-01,2021-01-01 12:00:00,2021,1,01-01,Mwh
88995.8,2989,334,3234.8,68366.9,1653.4,2231.4,0.0,20483.3,0.0,-10299,13,2021-01-01,2021-01-01 13:00:00,2021,1,01-01,Mwh
87793.1,2990,331,3452.8,70566.1,1648.4,2170.4,0.0,15095.4,0.0,-8468,14,2021-01-01,2021-01-01 14:00:00,2021,1,01-01,Mwh
89289.3,2990,335,3825.8,74916.1,1655.4,2104.0,0.0,8164.0,0.0,-4694,15,2021-01-01,2021-01-01 15:00:00,2021,1,01-01,Mwh
94090.2,2982,334,4599.8,80150.8,1650.4,2046.6,0.0,1499.6,0.0,830,16,2021-01-01,2021-01-01 16:00:00,2021,1,01-01,Mwh
103266.9,2987,335,5918.8,86639.3,1640.4,2043.9,0.0,21.5,0.0,3686,17,2021-01-01,2021-01-01 17:00:00,2021,1,01-01,Mwh
105800.5,2985,332,6555.8,87468.2,1645.4,2082.1,0.0,0.0,0.0,4732,18,2021-01-01,2021-01-01 18:00:00,2021,1,01-01,Mwh
105513.2,2986,334,6480.8,87587.1,1645.4,2044.9,0.0,0.0,0.0,4438,19,2021-01-01,2021-01-01 19:00:00,2021,1,01-01,Mwh
104805.1,2989,333,5644.8,87138.9,1646.1,2021.3,0.0,0.0,0.0,5027,20,2021-01-01,2021-01-01 20:00:00,2021,1,01-01,Mwh
102914.0,2990,334,5223.8,85681.2,1643.1,2062.9,0.0,0.0,0.0,4980,21,2021-01-01,2021-01-01 21:00:00,2021,1,01-01,Mwh
98308.8,2988,333,4645.8,83104.0,1633.1,2024.9,0.0,0.0,0.0,3579,22,2021-01-01,2021-01-01 22:00:00,2021,1,01-01,Mwh
96250.5,2987,330,4479.8,82053.9,1631.1,1994.7,0.0,0.0,0.0,2769,23,2021-01-01,2021-01-01 23:00:00,2021,1,01-01,Mwh
91554.6,2989,326,3705.8,79509.2,1623.1,1934.5,0.0,0.0,0.0,1464,0,2021-01-02,2021-01-02 00:00:00,2021,1,01-02,Mwh
89697.1,2990,328,3496.8,78570.1,1625.1,1911.1,0.0,0.0,0.0,772,1,2021-01-02,2021-01-02 01:00:00,2021,1,01-02,Mwh
90230.5,2990,328,3604.8,79028.5,1626.1,1895.1,0.0,0.0,0.0,761,2,2021-01-02,2021-01-02 02:00:00,2021,1,01-02,Mwh
90187.8,2985,329,3758.8,79088.9,1626.1,1882.0,0.0,0.0,0.0,521,3,2021-01-02,2021-01-02 03:00:00,2021,1,01-02,Mwh
88923.1,2986,326,3689.8,78037.1,1627.1,1791.1,0.0,0.0,0.0,462,4,2021-01-02,2021-01-02 04:00:00,2021,1,01-02,Mwh
87762.6,2989,327,3831.8,76968.9,1626.1,1710.8,0.0,0.0,0.0,315,5,2021-01-02,2021-01-02 05:00:00,2021,1,01-02,Mwh
89112.6,2991,329,3778.8,78047.6,1626.1,1573.1,0.0,1.0,0.0,766,6,2021-01-02,2021-01-02 06:00:00,2021,1,01-02,Mwh
94026.7,2985,327,3696.8,79403.6,1629.1,1569.9,0.0,1617.3,0.0,2805,7,2021-01-02,2021-01-02 07:00:00,2021,1,01-02,Mwh
100149.6,2991,328,4059.8,79274.4,1641.4,1497.9,0.0,8617.1,0.0,1739,8,2021-01-02,2021-01-02 08:00:00,2021,1,01-02,Mwh
100418.0,2989,330,3764.8,74985.9,1640.4,1481.9,0.0,16148.0,0.0,-921,9,2021-01-02,2021-01-02 09:00:00,2021,1,01-02,Mwh
97438.9,2987,328,3253.8,72796.1,1633.4,1470.4,0.0,21650.2,0.0,-6681,10,2021-01-02,2021-01-02 10:00:00,2021,1,01-02,Mwh
94811.8,2988,328,3016.8,71888.9,1645.4,1613.4,0.0,23557.3,0.0,-10227,11,2021-01-02,2021-01-02 11:00:00,2021,1,01-02,Mwh
92518.3,2989,327,2912.8,71254.9,1640.4,1682.9,0.0,22897.3,0.0,-11189,12,2021-01-02,2021-01-02 12:00:00,2021,1,01-02,Mwh
90199.4,2990,329,2956.8,71322.5,1637.4,1765.8,0.0,19670.9,0.0,-10468,13,2021-01-02,2021-01-02 13:00:00,2021,1,01-02,Mwh
89520.8,2988,330,3139.8,74041.9,1648.4,1760.9,0.0,14402.8,0.0,-8799,14,2021-01-02,2021-01-02 14:00:00,2021,1,01-02,Mwh
90687.9,2989,332,3645.8,76464.2,1637.4,1776.4,0.0,7573.1,0.0,-3729,15,2021-01-02,2021-01-02 15:00:00,2021,1,01-02,Mwh
96000.5,2984,331,4384.8,81646.3,1632.4,1711.3,0.0,1683.7,0.0,1620,16,2021-01-02,2021-01-02 16:00:00,2021,1,01-02,Mwh
105761.5,2978,334,5845.8,88873.1,1625.4,1674.5,0.0,31.7,0.0,4396,17,2021-01-02,2021-01-02 17:00:00,2021,1,01-02,Mwh
108648.9,2981,332,6342.8,90805.0,1630.4,1601.7,0.0,0.0,0.0,4956,18,2021-01-02,2021-01-02 18:00:00,2021,1,01-02,Mwh
107938.3,2984,333,6072.8,90425.1,1633.4,1556.0,0.0,0.0,0.0,4935,19,2021-01-02,2021-01-02 19:00:00,2021,1,01-02,Mwh
106770.3,2988,333,5562.8,90852.6,1638.1,1395.8,0.0,0.0,0.0,4002,20,2021-01-02,2021-01-02 20:00:00,2021,1,01-02,Mwh
