demand,nuclear,geothermal,hydroelectric,fossil_fuel_fired,biomass,wind,wind_regulated,photovoltaic,photovoltaic_regulated,pumped_storage_hydroelectricity,hour,date,datetime,year,month,month_date,unit
89380.5,7363,253,5422.2,72145.5,1637.1,2046.7,0.0,0.0,0.0,514,0,2020-01-01,2020-01-01 00:00:00,2020,1,01-01,Mwh
87260.4,7365,254,5455.2,70099.4,1628.1,2008.7,0.0,0.0,0.0,452,1,2020-01-01,2020-01-01 01:00:00,2020,1,01-01,Mwh
87084.1,7364,253,5477.2,69784.9,1631.1,1988.9,0.0,0.0,0.0,589,2,2020-01-01,2020-01-01 02:00:00,2020,1,01-01,Mwh
86382.7,7365,252,5787.2,68576.6,1629.1,2038.8,0.0,0.0,0.0,732,3,2020-01-01,2020-01-01 03:00:00,2020,1,01-01,Mwh
84756.0,7363,250,5598.2,67606.4,1631.1,2029.3,0.0,0.0,0.0,279,4,2020-01-01,2020-01-01 04:00:00,2020,1,01-01,Mwh
82507.0,7367,248,5520.2,66554.9,1624.1,1961.8,0.0,0.0,0.0,-770,5,2020-01-01,2020-01-01 05:00:00,2020,1,01-01,Mwh
82169.4,7364,252,5401.2,66736.0,1625.1,1887.1,0.0,0.0,0.0,-1097,6,2020-01-01,2020-01-01 06:00:00,2020,1,01-01,Mwh
84958.9,7364,252,5245.2,66984.1,1629.1,1767.3,0.0,1628.2,0.0,87,7,2020-01-01,2020-01-01 07:00:00,2020,1,01-01,Mwh
89081.1,7366,253,4982.2,63010.5,1643.4,1603.5,22.0,9889.5,153.0,327,8,2020-01-01,2020-01-01 08:00:00,2020,1,01-01,Mwh
86888.7,7366,251,4602.2,56052.9,1664.4,1690.8,31.0,18068.4,356.0,-2808,9,2020-01-01,2020-01-01 09:00:00,2020,1,01-01,Mwh
82679.3,7366,252,4385.2,52068.8,1615.4,1769.7,30.0,23590.2,526.0,-8371,10,2020-01-01,2020-01-01 10:00:00,2020,1,01-01,Mwh
79299.5,7366,249,4265.2,51562.4,1616.4,1836.1,37.0,25430.4,883.0,-13030,11,2020-01-01,2020-01-01 11:00:00,2020,1,01-01,Mwh
77743.6,7367,253,4224.2,51522.7,1618.4,1891.0,43.0,24948.3,1346.0,-14083,12,2020-01-01,2020-01-01 12:00:00,2020,1,01-01,Mwh
75701.2,7368,254,4292.2,52317.5,1612.4,1905.1,50.0,21299.0,1331.0,-13349,13,2020-01-01,2020-01-01 13:00:00,2020,1,01-01,Mwh
74804.6,7367,254,4463.2,53125.5,1606.4,1927.5,49.0,16237.0,717.0,-10182,14,2020-01-01,2020-01-01 14:00:00,2020,1,01-01,Mwh
76673.3,7365,252,4896.2,56629.3,1630.4,1888.9,40.0,8549.5,337.0,-4538,15,2020-01-01,2020-01-01 15:00:00,2020,1,01-01,Mwh
82073.0,7357,253,5612.2,63043.4,1653.4,1856.2,0.0,1724.8,0.0,582,16,2020-01-01,2020-01-01 16:00:00,2020,1,01-01,Mwh
90745.4,7358,252,6579.2,68580.7,1642.4,1913.5,0.0,25.6,0.0,4385,17,2020-01-01,2020-01-01 17:00:00,2020,1,01-01,Mwh
93242.9,7359,253,7229.2,70580.9,1634.4,1931.4,0.0,0.0,0.0,4263,18,2020-01-01,2020-01-01 18:00:00,2020,1,01-01,Mwh
93248.0,7365,253,6907.2,71592.4,1633.4,1904.0,0.0,0.0,0.0,3598,19,2020-01-01,2020-01-01 19:00:00,2020,1,01-01,Mwh
93070.6,7366,253,6332.2,73166.9,1634.1,1892.4,0.0,0.0,0.0,2421,20,2020-01-01,2020-01-01 20:00:00,2020,1,01-01,Mwh
91971.1,7365,250,5508.2,73927.1,1631.1,1893.7,0.0,0.0,0.0,1401,21,2020-01-01,2020-01-01 21:00:00,2020,1,01-01,Mwh
88545.1,7367,252,4941.2,71801.3,1619.1,1894.5,0.0,0.0,0.0,679,22,2020-01-01,2020-01-01 22:00:00,2020,1,01-01,Mwh
86628.4,7367,253,4636.2,70392.1,1618.1,1876.0,0.0,0.0,0.0,489,23,2020-01-01,2020-01-01 23:00:00,2020,1,01-01,Mwh
82244.0,7365,251,4287.2,66515.4,1618.1,1875.3,0.0,0.0,0.0,328,0,2020-01-02,2020-01-02 00:00:00,2020,1,01-02,Mwh
80862.4,7367,251,4352.2,64971.8,1619.1,1880.3,0.0,0.0,0.0,426,1,2020-01-02,2020-01-02 01:00:00,2020,1,01-02,Mwh
82101.6,7363,251,4698.2,65472.6,1617.1,1866.7,0.0,0.0,0.0,834,2,2020-01-02,2020-01-02 02:00:00,2020,1,01-02,Mwh
82669.8,7366,250,4728.2,65399.5,1613.1,1875.0,0.0,0.0,0.0,1435,3,2020-01-02,2020-01-02 03:00:00,2020,1,01-02,Mwh
82003.5,7366,252,4750.2,65174.3,1618.1,1832.9,0.0,0.0,0.0,1008,4,2020-01-02,2020-01-02 04:00:00,2020,1,01-02,Mwh
80900.4,7366,249,4721.2,65138.4,1618.1,1770.7,0.0,0.0,0.0,32,5,2020-01-02,2020-01-02 05:00:00,2020,1,01-02,Mwh
82005.9,7365,253,4837.2,66326.9,1612.1,1736.7,0.0,0.0,0.0,-125,6,2020-01-02,2020-01-02 06:00:00,2020,1,01-02,Mwh
85745.8,7365,254,4958.2,67248.1,1612.1,1737.5,0.0,1603.9,0.0,966,7,2020-01-02,2020-01-02 07:00:00,2020,1,01-02,Mwh
90214.8,7366,251,4861.2,63651.8,1622.4,1654.4,0.0,9784.0,106.0,1021,8,2020-01-02,2020-01-02 08:00:00,2020,1,01-02,Mwh
88875.5,7367,251,4614.2,56304.5,1649.4,1631.1,0.0,18143.3,251.0,-1084,9,2020-01-02,2020-01-02 09:00:00,2020,1,01-02,Mwh
