datetime,Wind,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal,Hydro
2022-03-01 00:00:00,641,CAL,2273,877,8619,46,7007,201,1527
2022-03-01 01:00:00,810,CAL,2274,1494,2890,46,9270,203,2660
2022-03-01 02:00:00,895,CAL,2276,1622,140,46,12402,203,3069
2022-03-01 03:00:00,1382,CAL,2273,1507,116,46,12152,201,3534
2022-03-01 04:00:00,1918,CAL,2274,1459,117,46,11478,201,3038
2022-03-01 05:00:00,1795,CAL,2274,1105,116,46,10809,201,2932
2022-03-01 06:00:00,1534,CAL,2274,835,46,46,10312,201,2345
2022-03-01 07:00:00,1568,CAL,2275,806,13,46,9467,200,1888
2022-03-01 08:00:00,1682,CAL,2275,803,13,46,8516,199,1685
2022-03-01 09:00:00,1316,CAL,2274,727,0,46,8658,200,1334
2022-03-01 10:00:00,991,CAL,2275,726,0,46,8690,201,1296
2022-03-01 11:00:00,941,CAL,2275,730,0,46,8568,202,1342
2022-03-01 12:00:00,1014,CAL,2275,773,0,46,8694,202,1401
2022-03-01 13:00:00,975,CAL,2274,822,0,46,9045,201,2130
2022-03-01 14:00:00,741,CAL,2275,1043,0,46,9513,200,2757
2022-03-01 15:00:00,788,CAL,2275,1179,3028,46,9082,198,2218
2022-03-01 16:00:00,540,CAL,2275,998,9927,46,6234,198,1455
2022-03-01 17:00:00,609,CAL,2274,897,12373,46,4571,199,1112
2022-03-01 18:00:00,506,CAL,2274,742,12692,46,4163,198,1132
2022-03-01 19:00:00,513,CAL,2273,737,12604,46,4270,198,1244
2022-03-01 20:00:00,509,CAL,2273,595,12702,46,4490,199,1059
2022-03-01 21:00:00,519,CAL,2270,582,12532,46,4736,200,1155
2022-03-01 22:00:00,437,CAL,2270,586,12174,46,5034,199,994
2022-03-01 23:00:00,385,CAL,2272,831,10960,46,5310,198,1303
2022-03-02 00:00:00,515,CAL,2272,846,9076,46,7869,201,1289
2022-03-02 01:00:00,992,CAL,2273,984,2871,46,10137,202,2381
2022-03-02 02:00:00,789,CAL,2274,1450,31,46,12824,200,3322
2022-03-02 03:00:00,1041,CAL,2274,1548,-6,46,12275,197,3593
2022-03-02 04:00:00,1147,CAL,2273,1376,-3,46,11993,197,3200
2022-03-02 05:00:00,1122,CAL,2274,1256,-2,46,11481,198,2655
2022-03-02 06:00:00,942,CAL,2278,808,-2,46,11558,202,2200
2022-03-02 07:00:00,903,CAL,2276,1263,-2,46,11290,205,1530
2022-03-02 08:00:00,746,CAL,2275,972,0,46,10558,211,1433
