datetime,Wind,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal,Hydro
2022-03-01 00:00:00,722,NE,3352,716,0,692,6495,411,2287
2022-03-01 01:00:00,749,NE,3316,684,0,571,5936,406,2246
2022-03-01 02:00:00,757,NE,3324,684,0,414,5901,401,1530
2022-03-01 03:00:00,735,NE,3324,681,0,414,5566,367,1050
2022-03-01 04:00:00,713,NE,3310,682,0,413,4710,365,853
2022-03-01 05:00:00,636,NE,3327,650,0,252,4153,352,868
2022-03-01 06:00:00,503,NE,3334,660,0,168,3848,351,883
2022-03-01 07:00:00,367,NE,3335,660,0,167,3800,360,831
2022-03-01 08:00:00,372,NE,3344,665,0,168,3794,373,817
2022-03-01 09:00:00,309,NE,3350,695,0,168,3903,383,812
2022-03-01 10:00:00,272,NE,3369,685,0,171,4087,384,877
2022-03-01 11:00:00,246,NE,3377,667,0,172,4614,384,1348
2022-03-01 12:00:00,193,NE,3370,678,6,181,5807,364,1860
2022-03-01 13:00:00,189,NE,3354,696,66,240,6525,310,2286
2022-03-01 14:00:00,202,NE,3341,698,131,166,6559,309,1748
2022-03-01 15:00:00,216,NE,3347,691,170,108,6703,309,1358
2022-03-01 16:00:00,264,NE,3350,694,168,3,7074,309,1198
2022-03-01 17:00:00,320,NE,3345,686,167,0,7127,307,1136
2022-03-01 18:00:00,346,NE,3341,685,145,0,7033,309,1017
2022-03-01 19:00:00,442,NE,3342,679,128,0,7003,308,892
2022-03-01 20:00:00,431,NE,3351,672,108,0,6835,309,901
2022-03-01 21:00:00,495,NE,3360,668,54,0,7148,311,867
2022-03-01 22:00:00,481,NE,3355,667,22,0,7688,308,915
2022-03-01 23:00:00,444,NE,3355,689,2,0,7963,309,1273
2022-03-02 00:00:00,427,NE,3339,679,1,0,8020,308,1357
2022-03-02 01:00:00,474,NE,3333,666,1,0,7736,307,1200
2022-03-02 02:00:00,529,NE,3333,680,0,0,7232,307,928
2022-03-02 03:00:00,553,NE,3323,673,0,0,6215,306,878
2022-03-02 04:00:00,557,NE,3315,662,0,0,5136,293,874
2022-03-02 05:00:00,558,NE,3331,651,0,0,4400,200,937
2022-03-02 06:00:00,528,NE,3336,656,0,0,4322,43,876
2022-03-02 07:00:00,494,NE,3339,640,0,0,4240,0,822
2022-03-02 08:00:00,535,NE,3335,634,0,0,3932,0,799
2022-03-02 09:00:00,538,NE,3348,633,0,0,3963,0,798
2022-03-02 10:00:00,617,NE,3339,632,0,0,4055,0,788
2022-03-02 11:00:00,721,NE,3389,634,0,0,4700,0,858
2022-03-02 12:00:00,796,NE,3407,642,2,0,5538,0,1273
2022-03-02 13:00:00,771,NE,3331,622,47,0,6008,0,1244
2022-03-02 14:00:00,758,NE,3329,624,135,0,5526,0,992
2022-03-02 15:00:00,704,NE,3347,626,193,0,4992,0,964
2022-03-02 16:00:00,684,NE,3388,649,262,16,5238,0,942
2022-03-02 17:00:00,627,NE,3338,629,341,7,4902,0,774
2022-03-02 18:00:00,631,NE,3323,613,369,25,4320,0,768
2022-03-02 19:00:00,629,NE,3348,616,352,7,4060,0,756
2022-03-02 20:00:00,724,NE,3376,636,317,0,4387,0,763
2022-03-02 21:00:00,679,NE,3348,608,248,0,5121,0,789
2022-03-02 22:00:00,718,NE,3395,666,117,0,6035,0,829
2022-03-02 23:00:00,644,NE,3381,617,15,21,6961,0,1135
2022-03-03 00:00:00,492,NE,3355,641,2,4,7544,0,1497
2022-03-03 01:00:00,376,NE,3344,633,2,0,7396,0,1425
2022-03-03 02:00:00,286,NE,3343,635,0,0,7333,0,1117
2022-03-03 03:00:00,255,NE,3339,679,0,0,6789,0,969
2022-03-03 04:00:00,224,NE,3335,674,0,0,6010,0,815
2022-03-03 05:00:00,203,NE,3350,673,0,0,5347,0,847
2022-03-03 06:00:00,141,NE,3353,679,0,6,5527,0,906
2022-03-03 07:00:00,143,NE,3344,667,0,16,5840,0,863
2022-03-03 08:00:00,163,NE,3349,671,0,0,5788,0,786
2022-03-03 09:00:00,169,NE,3344,665,0,0,5810,0,884
2022-03-03 10:00:00,209,NE,3358,657,0,11,6102,0,894
2022-03-03 11:00:00,302,NE,3367,661,0,295,6417,0,926
2022-03-03 12:00:00,340,NE,3357,663,1,66,7193,0,986
2022-03-03 13:00:00,382,NE,3342,652,42,27,7469,0,1001
2022-03-03 14:00:00,416,NE,3319,653,152,129,6857,0,913
2022-03-03 15:00:00,546,NE,3322,638,230,203,5965,0,902
2022-03-03 16:00:00,691,NE,3305,642,278,399,4549,0,877
2022-03-03 17:00:00,816,NE,3331,659,306,375,3767,0,888
2022-03-03 18:00:00,856,NE,3332,659,359,395,3246,0,841
2022-03-03 19:00:00,1092,NE,3368,658,384,217,3366,0,834
2022-03-03 20:00:00,1176,NE,3363,677,356,201,3528,0,840
2022-03-03 21:00:00,1180,NE,3364,687,277,250,4017,0,827
2022-03-03 22:00:00,1195,NE,3427,711,137,316,5147,0,887
2022-03-03 23:00:00,1176,NE,3375,716,13,438,5931,0,1811
2022-03-04 00:00:00,1181,NE,3340,703,2,789,5857,0,2317
2022-03-04 01:00:00,1147,NE,3339,705,2,868,6018,0,1853
2022-03-04 02:00:00,1110,NE,3342,717,0,597,5928,0,1554
2022-03-04 03:00:00,1091,NE,3323,718,0,674,5547,0,1373
2022-03-04 04:00:00,1038,NE,3322,716,0,643,4862,0,1058
2022-03-04 05:00:00,1002,NE,3339,717,0,548,4395,0,1072
2022-03-04 06:00:00,0,NE,0,0,0,0,0,0,0
2022-03-04 07:00:00,0,NE,0,0,0,0,0,0,0
