date,mw,region
2017-10-13 0:00,25189,ОЭС ЦЕНТРА
2017-10-13 1:00,24425,ОЭС ЦЕНТРА
2017-10-13 2:00,24340,ОЭС ЦЕНТРА
2017-10-13 3:00,24339,ОЭС ЦЕНТРА
2017-10-13 4:00,23887,ОЭС ЦЕНТРА
2017-10-13 5:00,24238,ОЭС ЦЕНТРА
2017-10-13 6:00,25048,ОЭС ЦЕНТРА
2017-10-13 7:00,26716,ОЭС ЦЕНТРА
2017-10-13 8:00,29251,ОЭС ЦЕНТРА
2017-10-13 9:00,30405,ОЭС ЦЕНТРА
2017-10-13 10:00,30602,ОЭС ЦЕНТРА
2017-10-13 11:00,31039,ОЭС ЦЕНТРА
2017-10-13 12:00,31035,ОЭС ЦЕНТРА
2017-10-13 13:00,30331,ОЭС ЦЕНТРА
2017-10-13 14:00,30512,ОЭС ЦЕНТРА
2017-10-13 15:00,30510,ОЭС ЦЕНТРА
2017-10-13 16:00,30503,ОЭС ЦЕНТРА
2017-10-13 17:00,30601,ОЭС ЦЕНТРА
2017-10-13 18:00,31634,ОЭС ЦЕНТРА
2017-10-13 19:00,32173,ОЭС ЦЕНТРА
2017-10-13 20:00,32291,ОЭС ЦЕНТРА
2017-10-13 21:00,31325,ОЭС ЦЕНТРА
2017-10-13 22:00,30484,ОЭС ЦЕНТРА
2017-10-13 23:00,28102,ОЭС ЦЕНТРА
