date,BATI AKDENİZ YTM,BATI ANADOLU YTM,DOĞU AKDENİZ YTM,DOĞU ANADOLU YTM,GÜNEY DOĞU ANADOLU YTM,KUZEY BATI ANADOLU YTM,ORTA ANADOLU YTM,ORTA KARADENİZ YTM,TRAKYA YTM
2017-01-18,2386.72,5262.15,3207.78,1424.08,5596.7,8489.3,3915.0,1754.22,6519.56
2017-01-19,2394.81,5233.49,3183.71,1472.98,5622.56,8517.85,4000.39,1791.69,6700.4
2017-01-20,2385.71,5097.39,3175.25,1451.08,5597.99,8729.98,4064.11,1825.9,6695.67
2017-01-21,2320.14,5006.11,3119.81,1424.53,5518.48,8035.65,3548.5,1751.38,5915.83
2017-01-22,2153.75,4687.3,2949.4,1415.74,5204.74,6524.16,3211.71,1536.83,4427.74
2017-01-23,2429.99,5468.88,3226.07,1471.86,5746.39,8756.23,4056.21,1792.66,6601.69
2017-01-24,2605.39,5646.66,3214.42,1456.05,5660.47,8502.88,4134.03,1805.69,6724.99
2017-01-25,2439.1,5595.21,3219.06,1441.5,5735.3,8778.36,4138.13,1732.38,6873.81
2017-01-26,2503.95,5645.45,3171.49,1405.46,5685.31,8921.57,4227.84,1744.09,6896.88
2017-01-27,2561.53,5624.01,3276.53,1413.45,5672.37,8858.38,4164.23,1901.12,6971.34
2017-01-28,2563.84,5449.91,3175.14,1379.61,5336.11,8181.82,3709.22,1659.66,6074.03
2017-01-29,2262.28,4706.5,2964.93,1383.08,5110.15,6540.63,3269.49,1548.85,4475.1
2017-01-30,2574.36,5777.2,3479.3,1411.94,5546.12,8810.25,4060.33,1800.91,6875.47
2017-01-31,2567.87,5584.0,3433.46,1434.49,5559.43,8779.35,4062.56,1767.42,6799.53
2017-02-01,2530.88,5757.54,3373.99,1295.64,5749.95,8890.19,3999.65,1759.13,6813.42
2017-02-02,2492.89,5694.96,3431.63,1365.03,5695.34,8779.34,3998.07,1762.64,6759.87
2017-02-03,2465.25,5392.32,3389.37,1375.38,5555.46,8684.29,4032.45,1879.74,6529.86
2017-02-04,2516.29,5329.54,3212.64,1408.33,5599.19,7834.63,3654.7,1727.0,5552.86
2017-02-05,2380.31,4449.63,3005.05,1436.07,5443.16,6414.54,3265.75,1573.21,4192.6
2017-02-06,2558.96,5027.36,3423.38,1420.01,5709.15,8261.22,3881.6,1722.54,6131.39
2017-02-07,2396.7,5195.71,3130.63,1394.06,5533.83,8247.26,3778.74,1658.64,6072.01
2017-02-08,2368.05,5273.8,3173.97,1342.84,5536.97,8223.05,3966.33,1707.58,6202.76
2017-02-09,2306.93,5184.08,3058.78,1410.66,5552.28,8551.98,3859.5,1753.85,6562.84
2017-02-10,2305.14,5247.66,3068.98,1384.66,5487.26,8690.46,3837.86,1758.66,6610.96
2017-02-11,2273.31,5098.77,2940.04,1424.24,5425.02,8159.71,3660.07,1725.71,5981.67
2017-02-12,2170.44,4722.52,2788.99,1462.52,5361.31,6743.37,3299.1,1624.56,4525.09
2017-02-13,2496.44,5652.4,3123.71,1413.03,5634.79,8968.18,4011.75,1778.4,6949.04
2017-02-14,2574.69,5751.54,3154.91,1404.79,5635.68,8843.11,4031.52,1773.27,7030.84
2017-02-15,2559.78,5955.76,3255.0,1403.61,5745.01,9105.62,4274.41,1767.29,6966.45
