Biomass,CCGT,Coal,Hydroelectric,Interconnect,Nuclear,OCGT,Oil,Other,Pumped Storage,Wind,solar,datetime
42.8611111111,8160.67708333,11389.25,224.177083333,1688.56944444,6874.75694444,0.0,0.0,0.0,371.427083333,1165.24305556,0.0,2012-06-07
43.3611111111,8337.52777778,11346.9722222,200.996527778,1766.09027778,6880.74652778,0.0,0.0,0.0,353.576388889,378.472222222,0.0,2012-06-08
205.253472222,10384.53125,13951.8194444,210.204861111,1465.93055556,6874.28125,0.0,0.0,0.0,458.368055556,421.131944444,0.0,2012-06-09
264.576388889,10921.7777778,14200.0902778,184.78125,1332.65972222,6921.44097222,0.0,0.0,0.0,300.826388889,434.506944444,0.0,2012-06-10
265.232638889,10424.6423611,13838.6284722,253.347222222,772.166666667,7181.03472222,24.1388888889,0.0,0.0,295.590277778,731.354166667,0.0,2012-06-11
265.371527778,10706.1006944,13202.1840278,314.503472222,1238.93055556,7231.80555556,30.0,0.0,0.0,466.697916667,421.84375,0.0,2012-06-12
239.819444444,9747.63541667,13612.5729167,242.201388889,1413.59722222,7234.85069444,30.0,0.0,0.0,272.21875,535.350694444,0.0,2012-06-13
43.6875,9486.90972222,10532.0833333,192.256944444,1645.47222222,7235.35763889,30.0,0.0,0.0,326.864583333,438.729166667,0.0,2012-06-14
35.1111111111,8035.04166667,9548.79861111,152.715277778,1771.86111111,7239.54861111,30.0,0.0,0.0,271.725694444,1231.70833333,0.0,2012-06-15
176.065972222,9454.85763889,13634.3541667,177.274305556,1617.02777778,7238.15625,23.75,0.0,0.0,270.684027778,892.482638889,0.0,2012-06-16
263.0,9745.25347222,13679.34375,175.784722222,1507.51388889,7250.48263889,0.0,0.0,0.0,350.53125,733.288194444,0.0,2012-06-17
258.34375,9723.84027778,12813.9756944,201.388888889,1505.66666667,6951.26736111,16.6006944444,0.0,0.0,343.222222222,1480.84375,0.0,2012-06-18
266.618881119,11136.472028,13239.3706294,220.157342657,1598.13286713,6259.29370629,0.0,0.0,0.0,343.828671329,553.72027972,0.0,2012-06-19
239.149305556,11106.1041667,13887.5034722,223.166666667,1652.08333333,5777.11458333,0.0,0.0,0.0,269.204861111,125.114583333,0.0,2012-06-20
43.8680555556,9229.29513889,11079.2361111,175.878472222,1728.38888889,6273.28819444,0.0,0.0,0.0,292.565972222,332.142361111,0.0,2012-06-21
43.7534722222,7296.46180556,8785.48263889,164.215277778,1755.04861111,6823.1875,0.0,0.0,0.0,209.267361111,2373.23958333,0.0,2012-06-22
215.8125,9857.78819444,11813.1875,210.989583333,1493.11111111,6684.28125,0.0,0.0,0.0,241.416666667,1728.74305556,0.0,2012-06-23
244.510416667,11367.1423611,12484.4097222,210.666666667,1614.23611111,6704.21875,0.0,0.0,0.0,415.614583333,476.395833333,0.0,2012-06-24
263.041666667,11503.90625,12279.0763889,209.409722222,1999.21527778,7239.23958333,0.125,0.0,0.0,245.024305556,230.548611111,0.0,2012-06-25
260.888888889,10107.6736111,12811.09375,174.454861111,2177.31944444,7541.10763889,0.253472222222,0.0,0.0,250.739583333,351.597222222,0.0,2012-06-26
244.347222222,9716.06944444,11271.4826389,187.538194444,2030.15972222,7579.56944444,0.0,0.0,0.0,274.440972222,1255.45138889,0.0,2012-06-27
42.5659722222,8081.30555556,8764.53819444,188.784722222,2658.79166667,7348.41666667,0.0,0.0,0.0,211.871527778,1108.75,0.0,2012-06-28
32.9166666667,7605.86111111,8308.62152778,214.045138889,2687.23611111,7306.07638889,0.0,0.0,0.0,254.454861111,1043.55555556,0.0,2012-06-29
118.100694444,9642.20138889,10792.0,196.548611111,2409.63888889,7423.30208333,0.09375,0.0,0.0,218.704861111,815.055555556,0.0,2012-06-30
134.315972222,10357.5381944,10997.5173611,211.302083333,2488.28472222,7673.83333333,0.0,0.0,0.0,273.690972222,702.420138889,0.0,2012-07-01
263.743055556,9415.01388889,9853.48958333,266.243055556,2374.86805556,8025.80555556,0.0,0.0,0.0,469.888888889,1868.10763889,0.0,2012-07-02
263.409090909,9609.07692308,11178.5174825,280.307692308,2406.58041958,8140.23076923,0.0,0.0,0.0,199.297202797,661.583916084,0.0,2012-07-03
207.069444444,10055.8715278,10335.2604167,238.621527778,2055.71527778,8150.37152778,0.0,0.0,0.0,321.847222222,606.944444444,0.0,2012-07-04
