"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Slovakia (SK)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","94","97","n/e","200","50","53","n/e","n/e","n/e","","308","693","2","n/e","1959","192","57","1","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","96","97","n/e","200","50","52","n/e","n/e","n/e","","308","684","2","n/e","1960","189","57","0","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","96","97","n/e","201","49","52","n/e","n/e","n/e","","308","673","2","n/e","1957","190","56","0","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","95","98","n/e","202","50","52","n/e","n/e","n/e","","307","681","2","n/e","1953","191","56","0","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","96","98","n/e","205","49","52","n/e","n/e","n/e","","205","691","3","n/e","1952","191","56","0","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","95","97","n/e","200","49","52","n/e","n/e","n/e","","13","671","32","n/e","1954","189","56","0","n/e","n/e","2"
"Slovakia (SK)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","95","97","n/e","194","49","53","n/e","n/e","n/e","0","","747","34","n/e","1956","185","55","1","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","94","97","n/e","185","49","53","n/e","n/e","n/e","","27","771","23","n/e","1960","179","55","22","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","96","97","n/e","193","51","53","n/e","n/e","n/e","","31","780","23","n/e","1953","187","55","68","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","99","97","n/e","187","49","53","n/e","n/e","n/e","","63","778","24","n/e","1954","185","56","107","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","98","97","n/e","200","50","53","n/e","n/e","n/e","","56","779","24","n/e","1949","190","56","87","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","99","98","n/e","204","50","52","n/e","n/e","n/e","","5","813","40","n/e","1947","190","56","60","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","100","97","n/e","204","50","52","n/e","n/e","n/e","0","","812","60","n/e","1946","190","56","31","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","99","97","n/e","205","50","52","n/e","n/e","n/e","104","","817","82","n/e","1946","192","56","15","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","98","98","n/e","203","51","52","n/e","n/e","n/e","174","","844","106","n/e","1945","190","56","3","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","98","97","n/e","203","50","52","n/e","n/e","n/e","164","","857","208","n/e","1947","189","56","1","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","100","97","n/e","201","47","52","n/e","n/e","n/e","256","","889","127","n/e","1949","188","57","0","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","96","98","n/e","200","47","52","n/e","n/e","n/e","255","","902","82","n/e","1953","187","57","0","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","94","98","n/e","195","45","52","n/e","n/e","n/e","77","","886","103","n/e","1954","184","57","1","n/e","n/e","1"
"Slovakia (SK)","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","94","97","n/e","201","50","52","n/e","n/e","n/e","0","","876","78","n/e","1955","185","56","1","n/e","n/e","1"
