KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Doğal Gaz,25553.713,MWH,14958.8,14262.9,14265.6,14267.2,14267.0,14267.2,15079.98,15077.73,14735.41,15860.9,15656.3,15988.3,16819.44,16097.94,16070.8,16264.46,16451.14,16466.16,16496.63,16504.32,16559.76,16558.72,16542.16,16450.1,2021-12-04
Barajlı,23253.421,MWH,12999.55,12876.45,12876.55,12726.55,12876.55,12856.55,12685.45,12959.13,11939.23,12337.03,12314.93,13123.63,12954.03,12851.13,12869.73,12923.63,13587.8,14297.4,14282.6,14080.0,12014.75,11918.75,12775.65,12954.05,2021-12-04
Rüzgar,10490.033,MWH,6489.34,6487.14,6455.29,6434.76,6460.11,6529.0,6545.62,6562.14,6638.81,6644.75,6519.62,6489.59,6199.99,5894.85,5582.67,5212.3,4674.98,4196.78,3795.32,3586.77,3371.96,3354.34,3184.12,2954.12,2021-12-04
Linyit,10119.916,MWH,4945.02,4934.07,4933.0,4934.0,4933.0,4934.0,4934.0,4924.0,4917.0,4955.0,4955.0,4947.0,4957.0,4957.0,4957.0,4957.0,5052.0,5057.0,5136.0,5196.0,5198.0,5212.0,5157.0,5238.0,2021-12-04
İthal Kömür,8993.8,MWH,8112.5,8110.5,8086.5,8085.5,8084.5,8083.5,8083.5,8099.5,8103.5,8136.5,8136.5,8086.5,8085.5,8037.5,8034.0,8033.0,8032.0,7473.0,7471.0,7722.5,8082.5,8081.0,8082.0,8083.0,2021-12-04
Akarsu,8226.671,MWH,1930.99,1877.66,1850.5,1761.17,1713.59,1699.21,1740.51,1813.43,1824.79,1928.67,1958.5,2142.17,2023.64,1983.59,2048.96,1951.33,1887.91,2055.35,2084.44,2119.23,2078.71,2018.69,2209.42,2054.1,2021-12-04
Güneş,7751.998,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.2,95.41999999999999,813.311,1812.7179999999998,2609.4040000000005,3058.2349999999997,3016.456,2596.215,1961.99,1213.796,416.02500000000003,19.636,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-04
Jeotermal,1648.138,MWH,1102.8,1105.3,1105.64,1104.94,1107.74,1112.44,1111.94,1112.54,1108.4,1103.0,1095.1,1087.4,1079.3,1073.7,1068.1,1063.1,1072.9,1077.1,1083.7,1091.0,1096.2,1099.6,1101.6,1106.5,2021-12-04
Biyokütle,1537.917,MWH,703.78,708.35,709.47,711.67,710.77,713.07,710.27,708.67,721.94,725.46,725.06,719.44,716.39,717.79,717.21,715.07,724.05,734.16,729.16,722.15,719.38,714.1,707.9,708.38,2021-12-04
Taş Kömür,810.766,MWH,131.0,131.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,2021-12-04
Asfaltit Kömür,405.0,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,2021-12-04
Atık Isı,390.916,MWH,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,2021-12-04
Fuel Oil,251.93,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,2021-12-04
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-04
Motorin,1.04,MWH,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2021-12-04
