KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Doğal Gaz,25526.237,MWH,16045.23,15935.77,15954.95,15967.3,15979.61,16026.71,16382.61,16846.55,16869.79,17075.85,17249.7,17099.61,17029.17,16995.12,17073.72,17121.74,17025.28,17023.32,17063.66,17263.51,17578.26,17478.26,17664.87,17631.65,2021-09-06
Barajlı,23246.98,MWH,14223.03,14016.23,13924.24,13925.64,13863.64,13855.03,13817.78,13811.64,13558.94,14054.29,14046.09,13991.04,14408.64,14250.54,14515.64,14432.44,14239.64,13723.28,13758.38,13966.08,13859.08,14373.49,14396.83,14251.69,2021-09-06
Linyit,10119.916,MWH,5413.49,5469.5,5463.5,5388.5,5379.5,5379.5,5409.5,5312.5,5331.04,5209.64,5078.12,5075.04,5085.71,5027.37,5048.22,4881.16,4879.16,4879.0,4809.13,4811.34,4813.39,4877.04,4891.0,5062.04,2021-09-06
Rüzgar,10012.308,MWH,6651.59,6646.11,6627.93,6631.86,6621.97,6724.12,6778.29,6759.46,6724.04,6728.54,6713.53,6659.05,6622.4,6609.89,6736.61,6922.65,7079.82,7232.24,7334.29,7422.07,7366.51,7261.98,7249.81,7218.86,2021-09-06
İthal Kömür,8995.35,MWH,6403.0,6403.0,6403.0,6401.4,6392.7,6392.7,6394.3,6403.0,6403.0,6403.0,6403.0,6411.0,6531.0,6661.0,6861.0,6981.0,7011.0,7011.0,7011.0,7011.0,7011.0,7011.0,7011.0,7011.0,2021-09-06
Akarsu,8188.481,MWH,1595.88,1582.64,1587.98,1516.0,1479.42,1470.82,1403.18,1430.43,1501.43,1642.38,1663.72,1603.7,1603.28,1656.78,1653.73,1725.25,1786.74,1772.64,1679.44,1694.99,1752.01,1748.72,1692.72,1675.21,2021-09-06
Güneş,7464.312,MWH,0.0,0.0,0.0,0.0,0.0,0.43,48.952,916.609,2566.253,3991.3770000000004,5110.407999999999,5765.79,6047.5869999999995,5911.394,5359.8060000000005,4420.201,3141.236,1495.517,200.567,0.67,0.0,0.0,0.0,0.0,2021-09-06
Jeotermal,1647.138,MWH,967.2,976.5,987.69,999.7,1007.6,1011.7,1015.3,1012.4,961.7,904.2,877.8,852.9,826.2,804.0,786.3,796.7,798.1,806.0,825.1,856.4,880.6,900.3,912.99,929.1,2021-09-06
Biyokütle,1415.634,MWH,663.65,664.45,657.96,665.46,668.31,667.31,667.17,669.42,674.76,679.23,681.5,687.5,674.34,672.44,685.41,680.69,682.67,681.97,680.67,673.6,674.85,670.48,663.01,662.25,2021-09-06
Taş Kömür,810.766,MWH,141.0,141.0,141.0,141.0,141.0,141.0,141.0,125.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,121.0,121.0,121.0,121.0,121.0,2021-09-06
Asfaltit Kömür,405.0,MWH,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,2021-09-06
Atık Isı,388.208,MWH,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2021-09-06
Fuel Oil,251.93,MWH,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2021-09-06
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-06
Motorin,1.04,MWH,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2021-09-06
