KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8142.493,MWH,3910.96,3888.01,3907.46,3874.38,3900.14,3708.72,3743.88,3730.79,3804.98,3863.05,3929.54,3921.85,3883.47,4028.28,4036.22,4146.29,4138.79,4189.84,4170.34,4004.73,4002.43,4207.23,4214.51,4160.3,2021-05-09
Asfaltit Kömür,405.0,MWH,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,2021-05-09
Atık Isı,381.661,MWH,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,2021-05-09
Barajlı,23221.755,MWH,18574.99,19067.99,19076.19,19189.69,19045.79,18823.79,19004.29,17403.29,17453.79,17343.29,17459.29,17400.89,17400.89,17459.89,17447.09,18847.29,18849.29,18835.54,18891.54,19150.54,19172.54,19244.99,18954.92,18876.52,2021-05-09
Biyokütle,1193.543,MWH,624.5,627.25,629.06,630.11,631.76,630.91,630.77,631.35,632.11,635.48,635.88,639.88,640.93,643.53,640.81,640.14,636.06,638.04,631.07,630.27,630.07,620.57,614.77,613.61,2021-05-09
Doğal Gaz,25441.431,MWH,9788.56,9797.82,9781.68,9642.9,9023.53,9353.91,8655.99,7222.76,6482.71,6460.51,6437.91,6426.11,6416.71,6996.11,6986.21,6402.51,6416.11,7530.61,7495.1,8112.71,7990.02,8171.19,8196.78,8206.45,2021-05-09
Fuel Oil,251.93,MWH,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,2021-05-09
Güneş,7079.902,MWH,0.0,0.0,0.0,0.0,0.0,3.82,136.34,1098.493,2477.592,3564.202,4480.715,5120.952,5484.7429999999995,5464.528,5183.785,4436.07,3337.791,1915.416,444.083,8.881,0.0,0.0,0.0,0.0,2021-05-09
İthal Kömür,8986.85,MWH,4533.5,4531.5,4531.5,4531.5,4523.5,4523.5,4524.5,4541.5,4513.5,4515.5,4516.5,4512.5,4518.5,4542.5,4543.5,4525.5,4535.5,4532.5,4538.5,4538.5,4538.5,4536.5,4539.5,4537.5,2021-05-09
Jeotermal,1646.97,MWH,1013.9,1019.54,1030.14,1037.94,1042.24,1045.54,1041.74,1035.54,1017.1,990.7,962.5,942.7,926.3,909.9,894.09,882.7,880.5,884.1,907.8,931.3,953.6,972.9,991.9,1007.6,2021-05-09
Linyit,10119.916,MWH,4199.0,4158.0,4158.06,4159.11,4052.15,4120.15,3836.15,3835.15,3835.15,3835.15,3833.15,3896.15,3896.15,3893.15,3893.15,3893.15,3892.15,3784.15,3892.15,3862.15,3723.15,3743.15,3726.15,3727.15,2021-05-09
Motorin,1.04,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-09
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-09
Rüzgar,9569.031,MWH,4345.83,4502.78,4648.2,4827.09,5035.68,5123.55,5400.41,5477.34,5923.84,6214.47,6434.85,6641.2,6822.02,6897.15,7048.27,7169.39,7365.41,7308.92,7374.21,7241.36,7162.5,7138.61,6893.1,6744.87,2021-05-09
Taş Kömür,810.766,MWH,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,2021-05-09
