KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8142.493,MWH,3181.04,3087.34,3117.79,3102.31,3094.21,3065.06,3072.43,3042.23,3142.44,3167.78,3217.34,3204.37,3281.61,3238.02,3319.85,3359.09,3381.81,3391.16,3417.0,3390.05,3491.73,3542.15,3529.82,3442.92,2021-05-19
Asfaltit Kömür,405.0,MWH,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,2021-05-19
Atık Isı,381.661,MWH,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2021-05-19
Barajlı,23221.755,MWH,19172.09,19172.09,19172.09,19170.79,18974.79,18975.49,18974.79,18971.49,18980.39,19030.09,19032.09,19078.64,19058.09,19085.59,18959.64,18954.74,18951.6,18901.51,19036.0,19059.9,18879.0,18864.43,18849.43,18839.63,2021-05-19
Biyokütle,1193.543,MWH,565.03,569.63,568.33,571.03,573.93,570.13,584.09,570.07,575.63,582.4,584.3,583.6,581.0,585.49,586.72,586.62,583.85,575.29,579.39,598.89,599.29,597.86,596.41,597.06,2021-05-19
Doğal Gaz,25447.431,MWH,12806.42,12824.89,12839.52,12844.37,12876.39,12881.23,12874.03,12816.06,12742.53,12661.28,12594.73,12539.63,12545.59,12508.98,12485.89,12448.07,12491.2,12501.49,12551.08,12578.71,12664.2,12711.5,12755.56,12780.67,2021-05-19
Fuel Oil,251.93,MWH,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021-05-19
Güneş,7082.58,MWH,0.0,0.0,0.0,0.0,0.0,8.72,187.916,1440.529,3006.64,4299.764,5231.6939999999995,5776.345,5989.531,5866.577,5410.694,4603.377,3444.941,1987.5710000000001,493.54200000000003,13.916,0.0,0.0,0.0,0.0,2021-05-19
İthal Kömür,8986.85,MWH,4612.2,4611.2,4365.2,4362.2,4363.2,4364.2,4363.2,4356.2,4356.2,4358.2,4474.2,4608.2,4611.2,4609.2,4606.2,4607.2,4611.2,4610.2,4609.2,4610.2,4613.5,4614.5,4612.5,4613.5,2021-05-19
Jeotermal,1646.97,MWH,1024.7,1034.2,1038.8,1044.6,1053.7,1059.3,1060.1,1050.7,1030.8,1000.7,962.5,933.0,909.3,887.7,874.2,868.0,869.2,874.6,887.8,911.5,935.8,959.5,981.4,1000.6,2021-05-19
Linyit,10119.916,MWH,4174.15,4173.0,4173.0,4199.15,4240.09,4277.07,4277.13,4297.05,4291.01,4298.11,4293.0,4291.02,4248.08,4246.11,4256.07,4286.1,4286.07,4289.06,4293.12,4255.15,4257.15,4258.06,4244.05,4299.05,2021-05-19
Motorin,1.04,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-19
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-19
Rüzgar,9569.031,MWH,2004.47,1755.62,1565.64,1504.21,1514.25,1526.54,1405.47,1332.13,1153.8,988.6,876.25,811.01,832.96,881.17,931.23,1042.14,1270.84,1438.26,1540.54,1664.69,1694.88,1726.13,1788.69,1816.13,2021-05-19
Taş Kömür,810.766,MWH,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,2021-05-19
