datetime,Coal,region,Wind,Hydro,Solar,Other,Nuclear,Natural gas
2021-09-01 00:00:00,11247,TEX,8301,54,3295,155,4965,42925
2021-09-01 01:00:00,11213,TEX,9080,54,766,149,4962,42199
2021-09-01 02:00:00,11162,TEX,10003,54,3,122,4960,40128
2021-09-01 03:00:00,11161,TEX,11606,54,0,104,4960,35227
2021-09-01 04:00:00,11148,TEX,13234,54,0,106,4960,29269
2021-09-01 05:00:00,11089,TEX,14352,54,0,102,4960,24071
2021-09-01 06:00:00,10690,TEX,15226,10,0,97,4962,20329
2021-09-01 07:00:00,10226,TEX,15739,10,0,104,4963,17725
2021-09-01 08:00:00,10060,TEX,14744,10,0,100,4963,16941
2021-09-01 09:00:00,10048,TEX,13687,54,0,94,4965,16942
2021-09-01 10:00:00,10170,TEX,12787,53,0,97,4965,17391
2021-09-01 11:00:00,10276,TEX,11647,52,0,94,4966,19228
2021-09-01 12:00:00,10318,TEX,10737,18,0,91,4967,22072
2021-09-01 13:00:00,10324,TEX,9876,53,191,98,4969,23440
2021-09-01 14:00:00,10785,TEX,8060,68,2662,101,4969,24583
2021-09-01 15:00:00,11226,TEX,7489,141,5493,90,4968,25614
2021-09-01 16:00:00,11167,TEX,7489,193,6595,108,4966,29286
2021-09-01 17:00:00,11180,TEX,6205,191,6578,92,4972,34954
2021-09-01 18:00:00,11239,TEX,6187,119,6266,117,4973,38904
2021-09-01 19:00:00,11193,TEX,7933,52,6010,147,4966,40066
2021-09-01 20:00:00,11108,TEX,9357,71,5768,160,4963,39733
2021-09-01 21:00:00,11030,TEX,10500,71,5654,166,4961,39304
2021-09-01 22:00:00,11141,TEX,11826,71,5358,164,4961,38613
2021-09-01 23:00:00,11125,TEX,13169,105,4683,148,4961,37686
2021-09-02 00:00:00,11173,TEX,13942,72,3085,150,4962,37335
2021-09-02 01:00:00,11167,TEX,13591,52,558,136,4963,37883
2021-09-02 02:00:00,11185,TEX,13117,52,1,112,4963,37024
2021-09-02 03:00:00,11237,TEX,14315,52,0,151,4964,32622
2021-09-02 04:00:00,11257,TEX,16048,52,0,120,4965,26893
2021-09-02 05:00:00,11185,TEX,16889,7,0,107,4966,21926
2021-09-02 06:00:00,10316,TEX,17086,4,0,112,4966,18806
2021-09-02 07:00:00,9839,TEX,16110,10,0,103,4967,17661
2021-09-02 08:00:00,9756,TEX,14803,10,0,93,4967,17063
2021-09-02 09:00:00,9553,TEX,14080,45,0,119,4969,16768
2021-09-02 10:00:00,9934,TEX,13038,53,0,94,4970,17186
2021-09-02 11:00:00,10306,TEX,12014,52,0,91,4970,18647
2021-09-02 12:00:00,10364,TEX,10267,18,0,99,4971,22295
2021-09-02 13:00:00,10374,TEX,8304,53,168,91,4971,24658
2021-09-02 14:00:00,10729,TEX,5932,52,2135,125,4969,26712
2021-09-02 15:00:00,11298,TEX,5993,64,4372,134,4972,27578
2021-09-02 16:00:00,11259,TEX,6723,174,5980,132,4970,29524
2021-09-02 17:00:00,11291,TEX,6757,121,6432,132,4965,33268
2021-09-02 18:00:00,11152,TEX,6761,101,6282,133,4970,36983
2021-09-02 19:00:00,10676,TEX,7061,65,6133,167,4971,40298
2021-09-02 20:00:00,10493,TEX,8205,86,5854,148,4969,40571
2021-09-02 21:00:00,10364,TEX,9700,83,5603,152,4966,39367
2021-09-02 22:00:00,10437,TEX,10750,78,5413,157,4966,38651
2021-09-02 23:00:00,10600,TEX,12029,77,4333,144,4967,37848
2021-09-03 00:00:00,10641,TEX,13244,77,2585,137,4968,37054
2021-09-03 01:00:00,10640,TEX,12932,57,645,139,4969,37179
2021-09-03 02:00:00,10614,TEX,12669,57,3,118,4970,36304
2021-09-03 03:00:00,10601,TEX,13741,57,1,102,4971,32065
2021-09-03 04:00:00,10588,TEX,15154,57,0,109,4972,26770
2021-09-03 05:00:00,10547,TEX,15851,13,0,102,4973,22370
2021-09-03 06:00:00,10238,TEX,15682,9,0,100,4974,19554
2021-09-03 07:00:00,9866,TEX,15000,9,0,101,4975,18128
2021-09-03 08:00:00,9549,TEX,14299,9,0,100,4976,17330
2021-09-03 09:00:00,9027,TEX,14093,9,0,93,4976,16918
2021-09-03 10:00:00,8975,TEX,13905,44,0,98,4977,16821
2021-09-03 11:00:00,9009,TEX,13254,52,0,91,4977,18318
2021-09-03 12:00:00,9023,TEX,12001,51,0,101,4977,21655
2021-09-03 13:00:00,9122,TEX,11014,51,152,94,4979,23039
2021-09-03 14:00:00,9560,TEX,9175,19,2546,126,4980,23802
2021-09-03 15:00:00,10022,TEX,10227,140,5659,109,4980,23227
2021-09-03 16:00:00,10009,TEX,10411,141,6581,90,4980,26232
2021-09-03 17:00:00,10079,TEX,8974,97,6894,114,4980,31050
2021-09-03 18:00:00,10195,TEX,7344,63,6615,139,4979,35849
2021-09-03 19:00:00,10332,TEX,6463,58,6151,171,4979,39453
2021-09-03 20:00:00,10417,TEX,7225,82,5920,151,4978,40201
2021-09-03 21:00:00,10608,TEX,8569,78,5887,146,4977,38747
