nuclear,hydro,fossil,P_BS,renewables,total.prod,low.carbon,nuclear.perc,hydro.perc,fossil.perc,P_BS.perc,renewables.perc,low.carbon.perc,year,month,unit
36746.22354296875,20307.811326416035,118537.96300839844,11931.633701904299,0.0,187523.63157968753,68985.66857128909,0.1959551616690698,0.10829467814453188,0.6321227997231172,0.06362736046328109,0.0,0.3678772002768828,2015,1,Gwh
33886.7137421875,18752.07783618166,105710.10095390625,10316.151535644532,0.0,168665.04406791995,62954.943114013695,0.20091130280997416,0.11117939665453358,0.6267457583643574,0.06116354217113481,0.0,0.3732542416356426,2015,2,Gwh
36545.54855859375,20077.03673657229,104614.97997656254,11547.562865722657,0.0,172785.12813745125,68170.1481608887,0.2115086463316543,0.11619655553110408,0.6054628723216324,0.06683192581560912,0.0,0.3945371276783675,2015,3,Gwh
31105.5408671875,21102.584043945335,89536.53759785162,10740.68797290039,0.0,152485.35048188485,62948.81288403323,0.2039903555908003,0.13839089445154476,0.5871812427547819,0.07043750720287309,0.0,0.41281875724521816,2015,4,Gwh
29023.917375,31587.58736132813,78949.13468431646,10015.529324951172,0.0,149576.16874559576,70627.03406127931,0.19404105358765317,0.21118061537632624,0.5278189389821573,0.06695939205386338,0.0,0.47218106101784285,2015,5,Gwh
28596.726625,29402.59145703126,72491.01397382814,8934.764950317383,0.0,139425.0970061768,66934.08303234864,0.20510458474870638,0.21088449704093568,0.5199280153315342,0.06408290287882358,0.0,0.4800719846684656,2015,6,Gwh
30407.32794921875,28325.895431152356,73412.7930557227,9068.5713626709,0.0,141214.5877987647,67801.794743042,0.2153271019885719,0.20058760127188605,0.5198669216833198,0.06421837505622227,0.0,0.48013307831668023,2015,7,Gwh
31926.71023828125,27185.540925781264,74233.18995459964,9295.449686401367,0.0,142640.89080506354,68407.70085046388,0.22382579117451712,0.1905872907295123,0.5204201231191727,0.06516679497679773,0.0,0.47957987688082715,2015,8,Gwh
30488.54203125,25136.6125083008,77797.71976007818,9422.740774658205,0.0,142845.6150742872,65047.895314209,0.21343701740788026,0.17597048740508028,0.5446279867927293,0.06596450839431009,0.0,0.4553720132072706,2015,9,Gwh
31075.09472265625,25397.88611474611,92788.03542128914,11133.311994384765,0.0,160394.32825307627,67606.29283178713,0.1937418552208703,0.15834653501383392,0.578499479575641,0.06941213018965485,0.0,0.4215005204243591,2015,10,Gwh
33054.230421875,21944.02101879885,103678.37484785158,11642.651041870118,0.0,170319.27733039556,66640.90248254397,0.19407216223536705,0.1288405009858662,0.6087295370959686,0.06835779968279812,0.0,0.3912704629040314,2015,11,Gwh
36485.6144296875,23114.04129785158,110130.564178125,12833.18944091797,0.0,182563.40934658208,72432.84516845705,0.19985173677613824,0.1266082912264824,0.6032455494356533,0.07029442256172584,0.0,0.39675445056434644,2015,12,Gwh
