"date","year","month","month_date","coal","gas","oil","nuclear","hydro","wind","solar","other","season","weekday","unit","fossil","low.carbon","total.prod","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2016-01-01,2016,1,"1_1",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Friday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-02,2016,1,"1_2",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Saturday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-03,2016,1,"1_3",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Sunday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-04,2016,1,"1_4",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Monday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-05,2016,1,"1_5",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Tuesday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-06,2016,1,"1_6",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Wednesday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-07,2016,1,"1_7",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Thursday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-08,2016,1,"1_8",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Friday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-09,2016,1,"1_9",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Saturday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
2016-01-10,2016,1,"1_10",3777.2835483871,3432.638,101.577774193548,2341.0144516129,874.218193548387,599.063967741935,66.0435483870968,229.704806451613,"winter","Sunday","GWh",7311.49932258065,4110.04496774194,11421.5442903226,0.330715659141432,0.300540619792409,0.00889352364369981,0.204964792160061,0.0765411551473918,0.0524503475637283,0.0057823659137806,0.0201115366374966,0.640149802577541,0.359850197422459
