datetime,coal,wind,hydro,solar,other,nuclear,gas,oil
2018-07-01 18:00:00,45037,3533.0,3206.0,1.0,5226.0,58363.0,66791.0,183.0
2018-07-01 19:00:00,88501,7410.0,3159.0,0.0,6096.0,69968.0,80138.0,3181.0
2018-07-01 20:00:00,88749,7148.0,3373.0,0.0,5943.0,75643.0,88371.0,2928.0
2018-07-01 21:00:00,83739,6117.0,3097.0,0.0,5756.0,75697.0,84212.0,2912.0
2018-07-01 22:00:00,85588,7193.0,4228.0,0.0,5775.0,75730.0,83993.0,2975.0
2018-07-01 23:00:00,88359,10626.0,19947.0,60.0,6511.0,79517.0,88739.0,2976.0
2018-07-02 00:00:00,87653,14975.0,21800.0,315.0,6937.0,81673.0,98273.0,3081.0
2018-07-02 01:00:00,89922,15007.0,22228.0,970.0,7252.0,81862.0,103924.0,3056.0
2018-07-02 02:00:00,98160,14407.0,23737.0,2031.0,7762.0,81842.0,113830.0,3007.0
2018-07-02 03:00:00,108994,15625.0,24764.0,2900.0,8861.0,81739.0,126516.0,3287.0
2018-07-02 04:00:00,116836,16603.0,25531.0,3713.0,10007.0,81642.0,140479.0,4116.0
2018-07-02 05:00:00,122657,17471.0,28023.0,5427.0,10304.0,81337.0,150782.0,4546.0
2018-07-02 06:00:00,126803,17486.0,30352.0,9995.0,10599.0,81360.0,158877.0,4930.0
2018-07-02 07:00:00,129116,17184.0,32243.0,14262.0,10944.0,81230.0,166424.0,5228.0
2018-07-02 08:00:00,131324,16972.0,36127.0,16159.0,10875.0,81061.0,173188.0,5544.0
2018-07-02 09:00:00,132859,17224.0,39484.0,16792.0,10917.0,80995.0,177347.0,5668.0
2018-07-02 10:00:00,134420,16603.0,42045.0,16746.0,10865.0,80945.0,180596.0,5932.0
2018-07-02 11:00:00,135801,15871.0,42345.0,16170.0,10873.0,81041.0,182493.0,5986.0
2018-07-02 12:00:00,136844,14752.0,40297.0,14969.0,10773.0,81156.0,181878.0,6012.0
2018-07-02 13:00:00,137168,14050.0,35700.0,13755.0,10632.0,81249.0,179194.0,5979.0
2018-07-02 14:00:00,137230,13807.0,31702.0,12828.0,10746.0,81307.0,175457.0,5627.0
2018-07-02 15:00:00,135683,13534.0,30003.0,11999.0,10073.0,81199.0,170136.0,4979.0
2018-07-02 16:00:00,132181,14816.0,29710.0,10756.0,9373.0,81157.0,160596.0,4578.0
2018-07-02 17:00:00,124106,16734.0,30549.0,7861.0,8688.0,81270.0,145693.0,3577.0
2018-07-02 18:00:00,114441,17797.0,29835.0,3115.0,8457.0,81447.0,133728.0,3351.0
2018-07-02 19:00:00,106534,18004.0,27703.0,720.0,8068.0,81534.0,127463.0,3761.0
2018-07-02 20:00:00,112410,27135.0,25947.0,699.0,7891.0,86688.0,141349.0,3741.0
2018-07-02 21:00:00,108196,24949.0,24255.0,266.0,7792.0,86684.0,134331.0,3689.0
2018-07-02 22:00:00,106201,23409.0,22876.0,252.0,7565.0,86758.0,132129.0,3611.0
2018-07-02 23:00:00,107669,22471.0,21711.0,232.0,7792.0,86854.0,133683.0,3642.0
2018-07-03 00:00:00,111537,22340.0,21809.0,276.0,7821.0,86983.0,137088.0,3854.0
2018-07-03 01:00:00,119127,21432.0,21532.0,1024.0,8616.0,87078.0,145614.0,4087.0
2018-07-03 02:00:00,127179,19810.0,22231.0,2013.0,9065.0,87059.0,157369.0,4349.0
2018-07-03 03:00:00,135977,17953.0,23633.0,3296.0,10460.0,87074.0,172744.0,4652.0
2018-07-03 04:00:00,141536,15671.0,27473.0,4651.0,10562.0,86984.0,187429.0,6204.0
2018-07-03 05:00:00,145432,15608.0,32117.0,6503.0,11484.0,86919.0,204708.0,7193.0
2018-07-03 06:00:00,150007,15507.0,34388.0,11297.0,11966.0,86823.0,216722.0,7913.0
2018-07-03 07:00:00,153121,15598.0,35979.0,15541.0,12151.0,86669.0,226146.0,8213.0
2018-07-03 08:00:00,155673,16625.0,38874.0,17264.0,11830.0,86597.0,233951.0,8179.0
2018-07-03 09:00:00,157020,17873.0,42397.0,17912.0,11968.0,86569.0,239526.0,8304.0
2018-07-03 10:00:00,158077,19553.0,43059.0,17781.0,11913.0,86511.0,243995.0,8300.0
2018-07-03 11:00:00,159155,21312.0,43742.0,16824.0,11823.0,86470.0,245368.0,8050.0
2018-07-03 12:00:00,159050,23013.0,41584.0,15463.0,11787.0,86224.0,243318.0,7751.0
2018-07-03 13:00:00,159252,24333.0,37569.0,14027.0,11774.0,85992.0,237908.0,7266.0
2018-07-03 14:00:00,158584,25738.0,33119.0,13076.0,11458.0,85927.0,230464.0,6929.0
2018-07-03 15:00:00,156659,26731.0,31083.0,11980.0,10261.0,86084.0,218045.0,5904.0
2018-07-03 16:00:00,152267,27919.0,29261.0,10530.0,9675.0,86235.0,202304.0,5232.0
2018-07-03 17:00:00,144547,30731.0,28518.0,7742.0,8684.0,86401.0,180658.0,4365.0
2018-07-03 18:00:00,133955,32973.0,28367.0,2852.0,8395.0,86511.0,166419.0,4084.0
2018-07-03 19:00:00,120844,33535.0,27435.0,361.0,7694.0,86712.0,155753.0,3918.0
2018-07-03 20:00:00,111670,31669.0,27946.0,349.0,7403.0,86678.0,146714.0,3644.0
2018-07-03 21:00:00,108425,28051.0,25135.0,291.0,7249.0,86842.0,139937.0,3450.0
2018-07-03 22:00:00,107769,25106.0,22982.0,285.0,7323.0,86989.0,134724.0,3350.0
2018-07-03 23:00:00,109935,23423.0,21795.0,317.0,7750.0,87318.0,134814.0,3420.0
2018-07-04 00:00:00,115077,22283.0,19953.0,324.0,7884.0,87551.0,140205.0,3733.0
2018-07-04 01:00:00,120698,20956.0,20747.0,806.0,7869.0,87489.0,147394.0,4082.0
2018-07-04 02:00:00,127822,19466.0,22248.0,1695.0,8361.0,87547.0,157820.0,4176.0
2018-07-04 03:00:00,136852,18104.0,24138.0,2911.0,8511.0,87464.0,171876.0,4896.0
2018-07-04 04:00:00,143905,16783.0,27310.0,4184.0,8567.0,87171.0,187483.0,5705.0
2018-07-04 05:00:00,149921,16870.0,31068.0,6371.0,8804.0,86004.0,203813.0,6493.0
2018-07-04 06:00:00,152833,16783.0,34231.0,10925.0,8806.0,85978.0,219285.0,6908.0
2018-07-04 07:00:00,155212,17337.0,36807.0,15706.0,8771.0,85908.0,229853.0,7233.0
2018-07-04 08:00:00,156468,17193.0,39224.0,17666.0,8922.0,85917.0,236791.0,7855.0
2018-07-04 09:00:00,157426,17131.0,41289.0,18280.0,8673.0,85936.0,244379.0,7991.0
2018-07-04 10:00:00,157526,16660.0,42783.0,17843.0,8666.0,85856.0,247522.0,8174.0
2018-07-04 11:00:00,157648,17118.0,43338.0,17272.0,8703.0,85861.0,244551.0,8099.0
2018-07-04 12:00:00,158719,18171.0,39998.0,16182.0,8619.0,85862.0,241400.0,7792.0
2018-07-04 13:00:00,158035,18444.0,36479.0,14852.0,8623.0,85966.0,234168.0,6997.0
2018-07-04 14:00:00,158249,18488.0,32541.0,13581.0,8620.0,85969.0,226076.0,6315.0
2018-07-04 15:00:00,155208,19058.0,30881.0,12372.0,8480.0,86008.0,212847.0,5776.0
2018-07-04 16:00:00,150092,20446.0,30078.0,10751.0,8429.0,86075.0,198710.0,5597.0
2018-07-04 17:00:00,143992,23190.0,30898.0,7701.0,8283.0,85951.0,180734.0,5158.0
2018-07-04 18:00:00,136078,25664.0,30477.0,2609.0,8225.0,86004.0,162525.0,4382.0
2018-07-04 19:00:00,126432,26201.0,29012.0,111.0,7676.0,86010.0,151054.0,4197.0
2018-07-04 20:00:00,117345,26900.0,27410.0,98.0,7345.0,85803.0,140137.0,3957.0
2018-07-04 21:00:00,110111,26097.0,24960.0,50.0,7358.0,85756.0,133191.0,3943.0
