nuclear,hydro,fossil,P_BS,renewables,total.prod,low.carbon,nuclear.perc,hydro.perc,fossil.perc,P_BS.perc,renewables.perc,low.carbon.perc,year,month,unit
38451.57484765625,24132.333125000026,128929.68309023438,13614.176680908204,31.151784150451423,205158.91952794933,76229.23643771494,0.1874233639762267,0.11762751129966063,0.6284381073310827,0.06635917518104062,0.00015184221198926492,0.3715618926689172,2019,1,Gwh
35664.76081640625,22657.183759765645,112053.1084136719,12181.614969238282,63.10374178691209,182619.771700869,70566.6632871971,0.19529517797681342,0.12406752866211053,0.6135869482807961,0.06670479792950215,0.0003455471507777151,0.38641305171920387,2019,2,Gwh
36137.96916796875,25073.858818603538,113440.78846406257,13138.383259277345,143.2653403842747,187934.26505029647,74493.47658623391,0.19229047538668492,0.13341823968020453,0.6036195072447413,0.0699094614585645,0.0007623162298047825,0.3963804927552587,2019,3,Gwh
30495.07451171875,25409.437648437513,94706.514497461,12183.860480712892,196.38150059515237,162991.2686389253,68284.7541414643,0.18709636882006553,0.15589447128439168,0.5810526863697492,0.07475161450337446,0.0012048590224191485,0.41894731363025084,2019,4,Gwh
31197.49446484375,28614.33044140626,99565.92335777353,11326.51755065918,243.05556035137175,170947.32137503408,71381.39801726055,0.182497708732159,0.16738683128371748,0.5824362883074375,0.0662573561232376,0.001421815553448436,0.41756371169256246,2019,5,Gwh
31886.044265625,26936.085114746103,88525.57700619145,10612.88190197754,254.95709974344075,158215.54538828353,69689.96838209208,0.20153546977556533,0.17024929534352082,0.5595251515199537,0.06707862919495056,0.001611454166009665,0.4404748484800463,2019,6,Gwh
34101.50398046875,30364.73007031251,86293.88290986333,11362.85005090332,248.3276330507174,162371.29464459862,76077.4117347353,0.2100217532607027,0.18700799384999306,0.5314602134493355,0.0699806580699781,0.001529381369990685,0.4685397865506646,2019,7,Gwh
32127.81554296875,33489.30170410158,86370.85722014654,12471.273646240235,237.45277781451492,164696.7008912716,78325.84367112507,0.1950726114676619,0.2033392382656792,0.5244237240499814,0.07572266826688556,0.001441757949792054,0.4755762759500186,2019,8,Gwh
32577.75863671875,31549.817165039076,82439.82182698247,12927.50380456543,193.0076832019761,159687.9091165077,77248.08728952523,0.2040089247643047,0.1975717343886095,0.5162558786265695,0.08095480663557045,0.0012086555849457482,0.48374412137343037,2019,9,Gwh
36273.70072265625,30572.357636230485,92489.45486835945,13235.013104736332,166.27867860084027,172736.80501058334,80247.3501422239,0.20999404684157386,0.1769880925744653,0.5354357159882213,0.07661953168536052,0.00096261291037919,0.46456428401177885,2019,10,Gwh
35113.2968828125,32676.74634277344,103588.34306132818,14870.400757324243,94.10043815514258,186342.8874823935,82754.54442106532,0.18843379190488374,0.17535816249418634,0.5559017811780751,0.07980127901972789,0.0005049854031269834,0.4440982188219249,2019,11,Gwh
35957.08984375,29033.954254394543,121403.75127187502,14260.138071044923,59.57607619717344,200714.50951726167,79310.75824538663,0.1791454435966307,0.14465299157606537,0.6048578728257519,0.0710468720240603,0.0002968199774917111,0.39514212717424807,2019,12,Gwh
