unit,year,month,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Gwh,2016,1,744.416757,201.703,3693.906,41454.8065,6638.413273,2601.556,151.4035,249.91275,4640.025757,51096.092023000005,55736.11778,0.01335609272139011,0.0036188921660485268,0.06627490659791697,0.743769177889806,0.11910433552625524,0.04667630440765155,0.002716434262565892,0.004483856428365685,0.08324989148535562,0.9167501085146444,192.244
Gwh,2016,2,434.240094,194.5965,2996.032,37201.146,7614.068727,2673.953,158.9005,252.48575,3624.868594,47900.553976999996,51525.422570999996,0.00842768622424463,0.0037767084730232674,0.0581466749908084,0.7219959418816662,0.14777304769326471,0.05189579952139933,0.003083924246929589,0.004900216968664053,0.07035106968807629,0.9296489303119237,198.974
Gwh,2016,3,777.453,189.9845,3419.4975,37104.853,7318.4126670000005,2271.786,193.8215,288.2095,4386.935,47177.082667,51564.017667,0.015077432581393968,0.0036844394326857603,0.06631557537046641,0.7195880902768833,0.14192867426006733,0.04405758322928161,0.003758851787921136,0.005589353061300509,0.08507744738454615,0.9149225526154539,222.374
Gwh,2016,4,473.156,111.5295,1896.689,30949.036,7037.200333,1569.727,211.727,278.2605,2481.3745,40045.950832999995,42527.32533299999,0.01112592894791915,0.002622537371600379,0.04459930139383168,0.7277447090232225,0.16547479245160365,0.03691102103667772,0.004978610771830174,0.0065430990033148815,0.058347767713351206,0.9416522322866488,217.56
Gwh,2016,5,149.99,103.9295,1203.047,29325.965,7160.6705,1461.316,252.0685,370.592,1456.9665,38570.612,40027.5785,0.0037471664692382027,0.0025964473469210735,0.030055452892310233,0.7326439944399834,0.17889342219390061,0.036507729289694604,0.006297370699054403,0.009258416668897419,0.036399066708469506,0.9636009332915304,223.391
Gwh,2016,6,138.733,91.7325,1302.3995,28536.1915,7734.5665,1033.158,242.4315,345.4055,1532.865,37891.753,39424.618,0.003518943417536728,0.002326782215112395,0.03303518375244625,0.7238165630419044,0.1961862128886068,0.02620591022594055,0.006149241572866984,0.008761162885585854,0.03888090938509537,0.9611190906149045,208.002
Gwh,2016,7,171.738,109.1735,1655.8685,28255.4035,5984.697,988.3525,217.3385,414.5245,1936.78,35860.316,37797.096,0.004543682403537034,0.002888409733911833,0.043809410648902765,0.7475548782901206,0.1583374818001891,0.02614890043404393,0.0057501375237928335,0.010967099165502028,0.05124150278635163,0.9487584972136484,220.531
Gwh,2016,8,142.4315,104.797,1823.816,27026.165,4906.2825,1132.973,237.6235,386.413,2071.0445,33689.457,35760.5015,0.003982927923983393,0.002930523779147784,0.051000850757084604,0.7557546417518781,0.13719836954747405,0.031682245843224544,0.006644859273016628,0.01080558112419089,0.057914302460215776,0.9420856975397843,204.112
Gwh,2016,9,769.464,130.3565,3191.673,26392.606,4268.1777,971.973,189.4545,370.166,4091.4935,32192.3772,36283.8707,0.021206778250370074,0.0035926845037511394,0.08796396135321913,0.727392240431504,0.1176329211205132,0.026788018512038186,0.005221452296708796,0.010201943531895566,0.11276342410734035,0.8872365758926596,186.1255
Gwh,2016,10,957.225,157.1895,3809.9295,28888.8435,3998.2753,1325.75,168.814,376.4705,4924.344,34758.1533,39682.497299999995,0.024122095763363164,0.0039611796306982935,0.09601032594286854,0.7279996337327289,0.10075664517212732,0.03340893568207967,0.004254117343567488,0.009487066732566754,0.12409360133692998,0.8759063986630701,193.1495
Gwh,2016,11,1174.392,183.02122200000002,5099.6205,31038.2815,5085.7045,2122.2935,152.2655,424.021,6457.033722,38822.566,45279.599722000006,0.025936448361079438,0.0040420238501153415,0.11262512326323076,0.6854804744424325,0.11231778839089444,0.04687085382887873,0.003362783702480893,0.009364504160887731,0.14260359547442555,0.8573964045255743,217.7865
Gwh,2016,12,1303.453,162.57577799999999,5829.663,36517.602,5335.6935,1448.09,130.632,426.1375,7295.691778,43858.155,51153.846778,0.02548103577931861,0.0031781730649809077,0.11396333545158119,0.7138779251242022,0.10430678895286424,0.028308525970382886,0.002553708239517611,0.008330507417152275,0.14262254429588073,0.8573774557041193,216.352
