unit,year,month,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2016,1,20110.11075,2456.39625,148.32125,7813.47525,2427.194253,9251.5945,654.31425,5089.093461,22714.82825,25235.671713999996,47950.499964,0.4193931401152887,0.05122775053115606,0.003093215922907076,0.1629487754218654,0.05061874755888416,0.19294052214149712,0.013645618929755524,0.1061322293786459,0.47371410656935187,0.526285893430648
Gwh,2016,2,17365.4325,1684.95825,138.639,7218.705,2538.285625,9767.09475,1257.14675,4818.033199,19189.02975,25599.265324,44788.295074,0.3877225616940437,0.03762050435758009,0.003095429280595259,0.16117391805321302,0.0566729682566885,0.2180724837563617,0.02806864489757693,0.10757348970394078,0.4284384953322191,0.5715615046677809
Gwh,2016,3,19150.657,1508.4465,150.53275,7697.48625,2747.231375,6007.896,2414.15325,5148.676616000001,20809.63625,24015.443491,44825.079740999994,0.4272308518055694,0.03365184197587215,0.003358226039301671,0.1717227564228819,0.06128781902616895,0.1340297894552272,0.05385719922750868,0.11486151604747016,0.4642409198207432,0.535759080179257
Gwh,2016,4,17753.618,1130.53875,91.01375,5124.66975,2924.105501,5909.565,3751.5355,4857.2119809999995,18975.1705,22567.087732,41542.258232,0.4273628530459711,0.02721418618329097,0.0021908715094812086,0.12336040379365962,0.07038869877197869,0.14225430324459015,0.09030648933548327,0.11692219411554496,0.4567679107387433,0.5432320892612567
Gwh,2016,5,15743.74575,1188.48025,128.88625,4869.5705,3293.931872,6102.94475,4716.76525,4893.89444,17061.11225,23877.106812,40938.219062000004,0.3845732938737871,0.02903106869891125,0.0031483111125279947,0.11894925112949212,0.08046104465393121,0.14907694789451462,0.1152166693635736,0.11954341327326204,0.4167526736852263,0.5832473263147736
Gwh,2016,6,16568.6665,1335.31775,158.9105,5969.336,3199.4955010000003,3344.55175,4741.3405,4628.8657889999995,18062.89475,21883.589540000004,39946.48429000001,0.4147715823929895,0.03342766638250256,0.00397808475074691,0.14943332576314688,0.08009454543665424,0.0837258099040585,0.11869231008113829,0.1158766752887629,0.452177333526239,0.5478226664737609
Gwh,2016,7,16793.325,1413.62675,158.883,6137.49625,3320.106248,4651.70525,4942.8115,4812.903113,18365.83475,23865.022361000003,42230.857111000005,0.3976553200390951,0.0334737878107567,0.003762249001539096,0.1453320313596322,0.07861801713551302,0.11014943972776615,0.11704265170390137,0.11396650322179627,0.4348913568513909,0.5651086431486091
Gwh,2016,8,16285.9535,2009.69025,159.467,7015.7645,3277.364251,4748.3315,4719.89325,4813.9956600000005,18455.11075,24575.349161000002,43030.459911,0.3784750043035625,0.04670389891617815,0.003705909728360468,0.16304182001565223,0.07616382111133788,0.11034814663429081,0.10968726013531267,0.11187413915530531,0.42888481294810116,0.5711151870518989
Gwh,2016,9,17958.12,2442.92175,130.3995,6844.40375,2761.1182519999998,4167.92075,3848.414,4692.268709,20531.44125,22314.125461,42845.56671099999,0.41913601286056756,0.05701690834148342,0.0030434770738257447,0.15974590314481232,0.06444349938522628,0.09727775986984309,0.08982058811260803,0.10951585121163368,0.4791963982758768,0.5208036017241234
Gwh,2016,10,19209.076,2733.075,164.8745,7820.637,2577.916001,5586.01175,1679.7355,4730.464559999999,22107.0255,22394.764811,44501.790311000004,0.43164726330688497,0.061414944902215204,0.003704895889531126,0.1757375814623549,0.057928366094583565,0.12552330391569083,0.03774534660878129,0.10629829781995799,0.4967671040986313,0.5032328959013687
Gwh,2016,11,19378.6595,2626.2795,144.73225,7424.18375,2627.438621,8040.010877000001,1020.888,4612.339972,22149.67125,23724.86122,45874.53247,0.4224274004900829,0.05724918290377075,0.0031549585839299563,0.16183671746093767,0.05727445010405792,0.17526087883855443,0.022253916171627853,0.10054249544703861,0.48283154197778355,0.5171684580222164
Gwh,2016,12,18742.07825,3142.1475,163.78275,6307.79575,2593.6164980000003,9229.271875,791.9385,5002.664465,22048.0085,23925.287088,45973.295588,0.4076731504732951,0.06834723201397305,0.003562562742244451,0.13720564665471727,0.05641571840407693,0.20075288832260776,0.017226054601287115,0.10881674678779828,0.47958294522951267,0.5204170547704874
