datetime,Coal,region,Wind,Hydro,Solar,Other,Nuclear,Natural gas
2018-07-02 06:00:00,12538,TEX,9253,0,0,19,5029,19898
2018-07-02 07:00:00,12951,TEX,7030,0,0,19,5030,19214
2018-07-02 08:00:00,12915,TEX,5346,0,0,14,5030,19130
2018-07-02 09:00:00,12635,TEX,4706,0,0,17,5030,18832
2018-07-02 10:00:00,11934,TEX,5444,0,0,22,5030,18291
2018-07-02 11:00:00,11804,TEX,5810,0,0,29,5031,18777
2018-07-02 12:00:00,12301,TEX,5123,42,0,28,5031,19942
2018-07-02 13:00:00,13030,TEX,4619,59,134,30,5031,20963
2018-07-02 14:00:00,13868,TEX,3624,72,570,32,5032,23532
2018-07-02 15:00:00,14107,TEX,4212,100,828,67,5032,25886
2018-07-02 16:00:00,14575,TEX,4171,114,1002,117,5029,29129
2018-07-02 17:00:00,14806,TEX,3718,85,1051,126,5029,32935
2018-07-02 18:00:00,14622,TEX,4070,25,1044,126,5028,36229
2018-07-02 19:00:00,14479,TEX,4639,35,1126,127,5026,38794
2018-07-02 20:00:00,14635,TEX,5723,106,1075,126,5025,40080
2018-07-02 21:00:00,14884,TEX,6272,132,922,130,5022,40802
2018-07-02 22:00:00,14944,TEX,7079,133,624,124,5021,40776
2018-07-02 23:00:00,14957,TEX,8004,134,304,120,5019,39969
2018-07-03 00:00:00,14955,TEX,9087,113,241,117,5018,38519
2018-07-03 01:00:00,14965,TEX,9099,49,90,113,5017,36730
2018-07-03 02:00:00,14957,TEX,8224,45,4,93,5017,35025
2018-07-03 03:00:00,14878,TEX,8859,8,0,84,5018,32055
2018-07-03 04:00:00,14489,TEX,10744,0,0,81,5019,26380
2018-07-03 05:00:00,13201,TEX,12039,0,0,84,5021,21912
2018-07-03 06:00:00,11769,TEX,9950,0,0,86,5022,21009
2018-07-03 07:00:00,13406,TEX,6322,4,0,88,5022,20013
2018-07-03 08:00:00,13852,TEX,4671,4,0,83,5022,19175
2018-07-03 09:00:00,13362,TEX,4465,4,0,82,5022,18445
2018-07-03 10:00:00,12972,TEX,4550,4,0,85,5021,18185
2018-07-03 11:00:00,12642,TEX,4747,37,0,91,5021,18743
2018-07-03 12:00:00,11449,TEX,5240,38,0,99,5021,20704
2018-07-03 13:00:00,11960,TEX,5088,63,132,96,5022,21352
2018-07-03 14:00:00,12851,TEX,4709,76,548,98,5023,23066
2018-07-03 15:00:00,13240,TEX,5890,104,1071,98,5023,24853
2018-07-03 16:00:00,14082,TEX,6793,121,1142,97,5027,27464
2018-07-03 17:00:00,14589,TEX,6563,93,1185,111,5027,31291
2018-07-03 18:00:00,14873,TEX,5741,63,1186,124,5023,35034
2018-07-03 19:00:00,14903,TEX,5621,64,1205,125,5020,38068
2018-07-03 20:00:00,14893,TEX,5677,100,1188,123,5019,40549
2018-07-03 21:00:00,14856,TEX,6051,161,1119,126,5017,41322
2018-07-03 22:00:00,14903,TEX,6306,151,972,131,5018,41641
2018-07-03 23:00:00,14989,TEX,6707,151,850,131,5016,40913
2018-07-04 00:00:00,15046,TEX,6893,125,582,132,5015,40029
2018-07-04 01:00:00,15244,TEX,6867,44,243,131,5014,38004
2018-07-04 02:00:00,15316,TEX,6758,42,29,111,5014,35045
2018-07-04 03:00:00,15195,TEX,8116,8,0,99,5016,30465
2018-07-04 04:00:00,14067,TEX,10101,8,0,103,5016,25557
2018-07-04 05:00:00,12354,TEX,11206,0,0,102,5015,21910
2018-07-04 06:00:00,11374,TEX,12084,0,0,101,5016,18783
2018-07-04 07:00:00,10442,TEX,11685,23,0,101,5016,16970
2018-07-04 08:00:00,9208,TEX,11040,3,0,101,5016,16371
2018-07-04 09:00:00,8561,TEX,10178,0,0,101,5016,16243
2018-07-04 10:00:00,8517,TEX,9543,0,0,101,5017,16160
2018-07-04 11:00:00,8870,TEX,8775,0,0,101,5017,16521
2018-07-04 12:00:00,9415,TEX,7487,0,0,100,5017,17121
2018-07-04 13:00:00,9471,TEX,6368,44,164,100,5018,17946
2018-07-04 14:00:00,10228,TEX,4655,68,808,100,5019,20562
