KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8248.595,MWH,5712.34,5710.03,5728.98,5623.04,5641.34,5814.83,5831.74,5763.36,5782.12,5795.05,5696.1,5800.1,5834.3,5817.06,5680.76,5821.48,5731.23,5721.72,5779.83,5841.74,5880.71,5848.39,5796.09,5815.95,2022-04-25
Asfaltit Kömür,405.0,MWH,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,2022-04-25
Atık Isı,390.916,MWH,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,2022-04-25
Barajlı,23259.258,MWH,16749.86,15898.26,16287.66,16063.66,16063.56,16805.3,17311.1,17358.14,16785.34,16588.82,16467.88,16763.38,16983.32,16953.32,16386.18,17113.24,16604.1,16284.7,16236.7,16290.7,16246.7,16246.7,16381.0,16325.6,2022-04-25
Biyokütle,1707.443,MWH,825.06,824.93,833.35,838.43,848.53,847.23,841.03,841.35,849.49,852.49,852.43,859.64,863.34,860.04,864.83,867.01,868.61,859.89,859.4,857.75,854.81,849.09,843.69,838.91,2022-04-25
Doğal Gaz,25257.419,MWH,8299.3,8361.37,9127.9,8663.64,8643.69,10951.56,10913.91,11265.95,12004.47,12278.14,12219.84,12364.78,12486.76,12766.63,13236.19,13220.29,13235.78,13271.19,13309.7,12915.73,12089.59,12137.82,12164.11,12190.36,2022-04-25
Fuel Oil,251.93,MWH,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2022-04-25
Güneş,8028.897,MWH,0.0,0.0,0.0,0.0,0.0,2.38,147.39600000000002,1569.9319999999998,3606.92,5213.664,6309.416,6958.174,7184.291,7050.527,6502.396,5479.466,4096.241,2304.089,508.574,7.8309999999999995,0.0,0.0,0.0,0.0,2022-04-25
İthal Kömür,9053.8,MWH,3714.5,3713.5,3711.5,3712.5,3711.5,3712.5,3711.5,3712.5,3581.5,3581.5,3582.5,3579.5,3581.5,3579.5,3582.5,3580.5,3581.5,3582.5,3581.5,3583.5,3580.5,3578.5,3578.5,3580.5,2022-04-25
Jeotermal,1676.17,MWH,1087.9,1091.6,1097.4,1104.2,1109.4,1115.4,1115.2,1107.6,1090.7,1070.8,1047.1,1012.6,988.8,966.4,944.2,930.7,927.91,936.7,949.7,970.8,997.1,1021.91,1042.71,1062.2,2022-04-25
Linyit,10142.52,MWH,3952.0,4002.0,4049.0,4024.0,4034.0,4044.0,4044.0,4044.0,4032.1,4029.1,4029.1,4134.1,4162.1,4182.1,3997.1,3997.1,3997.1,4012.1,3957.1,3957.1,3929.1,3939.1,3952.1,3952.1,2022-04-25
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-25
Motorin,1.04,MWH,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2022-04-25
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-25
Rüzgar,10861.538,MWH,971.62,855.64,746.43,710.69,660.89,613.64,608.36,572.9,518.34,474.13,463.88,533.75,660.78,850.27,1052.06,1253.94,1397.25,1520.78,1669.84,1825.51,1799.53,1737.77,1593.26,1556.33,2022-04-25
Taş Kömür,840.766,MWH,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,2022-04-25
