KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8272.42,MWH,4023.18,3920.38,3836.33,3847.38,3803.03,3889.53,3901.09,3945.88,3909.65,3893.61,3854.14,3858.09,3888.64,3962.24,3948.96,3859.47,3866.97,3913.56,3969.59,4017.91,4072.02,4021.59,4005.07,3991.08,2022-06-06
Asfaltit Kömür,405.0,MWH,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,2022-06-06
Atık Isı,390.916,MWH,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,2022-06-06
Barajlı,23275.233,MWH,17323.94,17340.94,17264.24,17264.24,17260.24,17262.24,17537.24,17264.66,16502.66,16537.16,16698.16,16631.16,16813.16,16809.66,16644.36,16610.16,16698.46,16722.06,16921.96,16751.96,16909.96,16899.96,16899.96,16871.66,2022-06-06
Biyokütle,1736.85,MWH,860.78,865.48,867.48,873.59,874.68,862.88,863.58,878.29,884.18,877.61,875.96,877.77,863.86,830.62,844.69,872.76,876.57,876.06,872.01,868.5,874.62,871.36,869.16,867.87,2022-06-06
Doğal Gaz,25256.467,MWH,10781.64,10746.33,10745.4,10625.3,10754.18,10795.68,11013.18,11780.05,11695.03,11928.38,12212.4,12325.72,12256.25,12291.43,12348.29,12339.32,12333.46,12305.25,12345.4,12405.4,12471.2,12513.31,12911.97,12872.75,2022-06-06
Fuel Oil,251.93,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-06
Güneş,8274.747,MWH,0.0,0.0,0.0,0.0,0.03,11.441,278.877,1682.807,3373.88,4790.413,5862.166,6457.637000000001,6608.039000000001,6369.811,5726.272,4785.067,3598.0789999999997,2215.655,772.5640000000001,49.754999999999995,0.022,0.0,0.0,0.0,2022-06-06
İthal Kömür,9053.8,MWH,4957.5,4957.5,4956.5,4955.8,4949.8,4952.5,4955.5,4959.5,4958.5,4958.5,4960.5,5558.5,5559.5,5558.5,5559.5,5557.5,5555.5,5556.5,5499.5,5558.5,5552.5,5553.5,5552.5,5554.5,2022-06-06
Jeotermal,1679.17,MWH,967.3,978.2,985.5,992.5,1002.0,1010.0,1011.9,1000.7,975.6,945.8,920.1,888.6,864.4,845.5,828.0,822.3,809.1,808.6,831.5,861.1,890.2,916.8,939.2,949.2,2022-06-06
Linyit,10142.52,MWH,4236.0,4236.0,4236.0,4236.0,4247.0,4271.0,4311.0,4351.0,4379.6,4392.6,4259.6,4198.6,4169.6,4300.6,4502.75,4552.75,4552.75,4505.75,4512.75,4532.75,4533.75,4563.75,4571.75,4598.75,2022-06-06
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-06
Motorin,1.04,MWH,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2022-06-06
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-06-06
Rüzgar,10886.314,MWH,2911.87,2542.96,2416.55,2412.92,2291.56,2290.58,2224.68,2101.76,1875.46,1719.24,1799.86,1945.63,2282.89,2874.33,3433.43,3920.4,4069.87,4201.83,4554.46,4582.67,4733.6,4818.61,4776.45,4690.99,2022-06-06
Taş Kömür,840.766,MWH,262.0,262.0,262.0,238.0,236.0,236.0,236.0,237.0,237.0,262.0,262.0,246.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,248.0,262.0,262.0,262.0,262.0,2022-06-06
