KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8293.89,MWH,4042.17,3909.1,3835.67,3799.01,3835.66,3731.21,3793.73,3746.87,3832.2,3900.76,3851.06,3855.77,3740.71,3821.92,3894.29,3944.57,4026.6,4108.3,4215.08,4260.19,4390.28,4321.29,4300.93,4230.89,2022-05-28
Asfaltit Kömür,405.0,MWH,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2022-05-28
Atık Isı,390.916,MWH,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,2022-05-28
Barajlı,23275.233,MWH,17255.08,17481.88,17344.78,17344.78,17073.78,17074.78,17826.72,17531.72,17954.72,17310.82,17873.17,17877.27,17665.02,17677.12,17597.62,17565.92,17582.92,16671.92,17168.92,17224.72,17107.52,17117.02,17065.42,16556.22,2022-05-28
Biyokütle,1746.168,MWH,822.52,827.39,824.59,827.34,831.19,833.29,835.29,836.54,857.59,863.19,860.27,841.02,850.77,852.43,858.83,853.15,855.72,849.87,849.17,850.42,850.27,865.92,842.32,840.17,2022-05-28
Doğal Gaz,25276.777,MWH,10657.41,10621.4,10554.97,10545.66,10463.65,10466.26,10461.8,10439.84,10981.19,11516.45,11365.63,11332.45,11276.32,11362.92,11356.62,11339.44,11327.44,11383.61,11416.17,11458.31,11507.94,11577.82,11613.29,11623.54,2022-05-28
Fuel Oil,251.93,MWH,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2022-05-28
Güneş,8335.817,MWH,0.0,0.0,0.0,0.0,0.0,19.374000000000002,351.49,1949.266,3770.228,5221.963,6198.472,6681.898999999999,6700.573,6423.168,5960.385,5048.921,3850.889,2299.257,723.7059999999999,34.787,0.01,0.0,0.0,0.0,2022-05-28
İthal Kömür,9053.8,MWH,5176.6,4925.6,4926.6,4929.8,4923.8,4926.6,4928.6,4924.6,4925.6,4926.6,4926.6,4932.6,4926.6,4926.6,4927.6,4926.6,4931.6,4937.6,4933.6,4932.6,4932.6,4932.6,4929.6,4928.6,2022-05-28
Jeotermal,1679.17,MWH,953.0,963.9,978.6,986.0,989.8,1004.8,1006.8,991.2,964.8,933.9,900.6,872.8,843.0,820.4,799.7,792.9,786.6,785.3,800.3,825.0,850.6,875.8,904.9,923.6,2022-05-28
Linyit,10142.52,MWH,4662.15,4605.15,4605.15,4660.15,4660.15,4650.15,4650.15,4710.15,4710.15,4740.15,4815.14,4815.15,4765.15,4765.15,4625.15,4660.15,4461.15,4591.15,4611.15,4611.15,4611.15,4602.15,4562.15,4572.15,2022-05-28
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-28
Motorin,1.04,MWH,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2022-05-28
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-28
Rüzgar,10930.686,MWH,1030.73,935.07,959.32,908.89,864.46,820.03,729.61,646.06,505.9,400.71,310.34,241.2,293.15,406.0,606.88,752.57,848.59,947.02,997.22,989.78,985.89,914.14,864.38,711.79,2022-05-28
Taş Kömür,840.766,MWH,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,2022-05-28
