KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Akarsu,8293.89,MWH,4255.15,4213.0,4137.97,4121.05,4120.65,4075.25,4118.27,4092.07,4033.79,4078.58,4070.94,4073.23,4211.29,4320.44,4158.83,4163.84,4138.24,4117.79,4096.57,4183.67,4220.65,4210.52,4181.07,4174.02,2022-05-25
Asfaltit Kömür,405.0,MWH,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,2022-05-25
Atık Isı,390.916,MWH,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,2022-05-25
Barajlı,23275.233,MWH,16127.04,16415.04,16415.04,16611.04,16457.54,16483.54,16412.34,16281.34,15953.7,16086.9,15949.9,16123.9,16542.44,16457.44,16011.5,16025.9,16684.9,16434.7,16616.2,16379.2,16354.7,16065.7,16003.7,16092.7,2022-05-25
Biyokütle,1746.168,MWH,854.62,856.19,827.99,863.9,865.09,864.19,870.79,870.3,879.69,870.79,865.72,873.03,874.52,875.98,874.58,878.32,875.93,871.57,875.17,872.12,876.53,854.92,847.52,840.33,2022-05-25
Doğal Gaz,25276.169,MWH,10054.53,9805.51,9821.29,9878.27,9819.08,9924.11,9959.97,10367.69,10814.39,10748.03,10709.72,10665.06,10621.26,10599.05,10583.98,10211.71,10247.48,10340.01,10471.87,10603.17,10674.9,10713.14,10742.76,11129.78,2022-05-25
Fuel Oil,251.93,MWH,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2022-05-25
Güneş,8312.669,MWH,0.0,0.0,0.0,0.0,0.0,11.32,301.296,1742.5900000000001,3439.608,4822.997,6052.171,6575.5779999999995,6613.6669999999995,6321.798,5714.246,4845.108,3742.408,2270.824,725.4079999999999,34.543,0.007,0.0,0.0,0.0,2022-05-25
İthal Kömür,9053.8,MWH,5532.1,5533.1,5532.1,5532.3,5534.3,5533.1,5535.1,5540.1,5516.5,5519.5,5517.5,5516.5,5516.5,5518.5,5527.5,5520.5,5515.5,5515.5,5513.5,5512.5,5510.5,5507.5,5535.9,5534.9,2022-05-25
Jeotermal,1679.17,MWH,999.0,1005.3,1010.1,1022.1,1028.4,1030.3,1037.1,1024.4,986.5,956.3,927.4,889.1,866.1,848.7,831.6,823.7,818.4,824.4,838.6,859.6,888.7,915.4,939.1,956.3,2022-05-25
Linyit,10142.52,MWH,5201.15,5201.15,5201.15,5201.15,5171.15,5171.15,5181.15,5181.15,5161.15,5063.15,5003.15,5003.15,4998.15,5038.15,5046.15,4964.15,4959.15,5024.15,5009.15,5134.15,5120.15,5084.15,5167.15,5162.15,2022-05-25
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-25
Motorin,1.04,MWH,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2022-05-25
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-25
Rüzgar,10914.87,MWH,901.37,876.34,927.17,993.79,912.1,771.9,705.32,577.93,497.39,496.38,624.26,816.74,1016.5,1225.99,1456.77,1613.81,1648.51,1662.45,1591.5,1572.61,1476.43,1293.42,1060.11,907.9,2022-05-25
Taş Kömür,840.766,MWH,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,224.0,224.0,234.0,234.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,107.0,107.0,107.0,2022-05-25
