date,mw,region
2004-02-05 0:00,10770,ОЭС СЕВ.ЗАПАДА
2004-02-05 1:00,10699,ОЭС СЕВ.ЗАПАДА
2004-02-05 2:00,10559,ОЭС СЕВ.ЗАПАДА
2004-02-05 3:00,10510,ОЭС СЕВ.ЗАПАДА
2004-02-05 4:00,10570,ОЭС СЕВ.ЗАПАДА
2004-02-05 5:00,10607,ОЭС СЕВ.ЗАПАДА
2004-02-05 6:00,10643,ОЭС СЕВ.ЗАПАДА
2004-02-05 7:00,10717,ОЭС СЕВ.ЗАПАДА
2004-02-05 8:00,10904,ОЭС СЕВ.ЗАПАДА
2004-02-05 9:00,11271,ОЭС СЕВ.ЗАПАДА
2004-02-05 10:00,11297,ОЭС СЕВ.ЗАПАДА
2004-02-05 11:00,11278,ОЭС СЕВ.ЗАПАДА
2004-02-05 12:00,11257,ОЭС СЕВ.ЗАПАДА
2004-02-05 13:00,11063,ОЭС СЕВ.ЗАПАДА
2004-02-05 14:00,11079,ОЭС СЕВ.ЗАПАДА
2004-02-05 15:00,11074,ОЭС СЕВ.ЗАПАДА
2004-02-05 16:00,11111,ОЭС СЕВ.ЗАПАДА
2004-02-05 17:00,11124,ОЭС СЕВ.ЗАПАДА
2004-02-05 18:00,11437,ОЭС СЕВ.ЗАПАДА
2004-02-05 19:00,11419,ОЭС СЕВ.ЗАПАДА
2004-02-05 20:00,11434,ОЭС СЕВ.ЗАПАДА
2004-02-05 21:00,11388,ОЭС СЕВ.ЗАПАДА
2004-02-05 22:00,10893,ОЭС СЕВ.ЗАПАДА
2004-02-05 23:00,10766,ОЭС СЕВ.ЗАПАДА
