M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
2015-01-01,551568.318359375,294240.4937744145,1871947.40625,190132.3041992188,0.0
2015-01-02,551371.1015625,303991.39514160197,1872545.1609375,189980.39404296875,0.0
2015-01-03,561251.39453125,312706.5301513675,1844695.979296875,190006.8515625,0.0
2015-01-04,568886.0,316804.6480712892,1860815.04609375,192020.24365234375,0.0
2015-01-05,565158.0,318502.84655761754,1834642.388671875,193424.13500976568,0.0
2015-01-06,573761.0,323103.4366455082,1893988.996875,192270.97778320315,0.0
2015-01-07,571319.873046875,322922.7817382815,1907434.4361328126,192582.8349609375,0.0
2015-01-08,558842.52734375,319015.50134277367,1983989.105859375,192772.720703125,0.0
2015-01-09,559166.115234375,321991.4187011721,1983961.6628906252,191936.75390625,0.0
2015-01-10,563464.0,326200.73107910214,1930664.9794921875,191604.7138671875,0.0
2015-01-11,576882.462890625,324255.12023925816,1888146.9263671876,191255.90185546875,0.0
2015-01-12,589774.390625,335131.3194580082,1895308.8960937501,198804.05419921875,0.0
2015-01-13,596937.0,344733.0996093755,1897600.4683593751,193571.74902343756,0.0
2015-01-14,598761.0,342794.6560058597,1874508.3087890625,190345.27941894534,0.0
2015-01-15,609986.0,335854.983398438,1848678.4001953127,188465.01953125,0.0
2015-01-16,621576.0,335710.96337890637,1828356.8888671875,188651.8657226563,0.0
2015-01-17,625776.0,318292.6138916021,1810914.69375,189022.3342285156,0.0
2015-01-18,627342.619140625,318250.326416016,1804357.1654296876,188341.90844726557,0.0
2015-01-19,626171.0,342581.527587891,1860638.755078125,190030.83007812494,0.0
2015-01-20,626986.2734375,339595.18261718773,1868775.190136719,191036.8579101563,0.0
2015-01-21,627623.0,336782.5788574222,1936667.6859375,188795.4594726563,0.0
2015-01-22,627555.0,334711.76464843756,1960001.9138671877,189972.55371093756,0.0
2015-01-23,592986.0,337902.6562500004,2007413.3232421875,192767.9506835938,0.0
2015-01-24,600520.02734375,327057.50146484416,1965160.3798828125,195097.1206054688,0.0
2015-01-25,602437.232421875,318530.6308593755,1961208.938671875,193355.22753906256,0.0
2015-01-26,601832.89453125,340926.59033203154,2013734.01796875,197544.02343750006,0.0
2015-01-27,597033.630859375,340781.3096923832,2010582.2496093751,197898.88623046887,0.0
2015-01-28,596058.0,333361.8432617193,1992896.3302734375,193106.666015625,0.0
2015-01-29,597669.052734375,332596.17358398467,1979116.1103515625,197182.1901855469,0.0
2015-01-30,598686.0,334988.8005371098,1960682.4052734375,198813.02880859375,0.0
2015-01-31,605729.857421875,319586.23791503947,1919547.2935546876,195026.01416015625,0.0
2015-02-01,625145.0,317655.89538574254,1878600.4435546875,184783.3525390626,0.0
2015-02-02,631287.0,342310.2026367191,1916912.457421875,182945.94482421887,0.0
2015-02-03,632828.3984375,340467.2395019534,1899348.451171875,180629.28271484387,0.0
2015-02-04,621213.099609375,339114.3491210941,1925445.52265625,182646.38281249994,0.0
2015-02-05,609479.0,341779.79565429746,1930039.5498046875,184758.96777343744,0.0
2015-02-06,608930.0,343786.4127197269,1931409.4921875,185784.64843750012,0.0
2015-02-07,608775.0,319421.3677978519,1931649.235839844,183361.16845703137,0.0
2015-02-08,609183.0,319992.98962402384,1900575.9000000001,182370.72460937512,0.0
2015-02-09,619154.0,347478.7020263675,1926420.6708984375,182462.11230468762,0.0
2015-02-10,623559.33984375,343651.4659423833,1913534.3408203125,182677.43176269537,0.0
2015-02-11,615048.0,340403.68774414103,1894858.0365234376,185354.03112792977,0.0
2015-02-12,608164.0,346431.5957031256,1865016.71015625,182970.1879882812,0.0
2015-02-13,613671.0,340009.8482666021,1873509.457324219,183877.4951171875,0.0
2015-02-14,614311.283203125,317791.865844727,1839897.181933594,184464.4331054687,0.0
2015-02-15,611877.0,312824.7359619146,1850284.2770507813,184498.1728515625,0.0
2015-02-16,594008.220703125,348882.75268554717,1977083.518359375,184259.33447265625,0.0
2015-02-17,573835.060546875,350866.051757813,1993726.030078125,183786.33984375012,0.0
2015-02-18,574769.0,347045.5958251958,1999953.509765625,183900.06518554696,0.0
2015-02-19,575780.0,339938.10522460984,2012458.0763671875,184942.15039062506,0.0
2015-02-20,579287.099609375,349847.6949462894,1985609.9126953126,186612.75292968762,0.0
2015-02-21,578931.65234375,321901.57739257853,1893830.9765625,185875.57031250012,0.0
2015-02-22,600615.0,328610.01110839855,1809007.22109375,184819.17138671887,0.0
