date,mw,region
2021-10-08 0:00,5052,ОЭС ВОСТОКА
2021-10-08 1:00,5387,ОЭС ВОСТОКА
2021-10-08 2:00,5768,ОЭС ВОСТОКА
2021-10-08 3:00,5656,ОЭС ВОСТОКА
2021-10-08 4:00,5749,ОЭС ВОСТОКА
2021-10-08 5:00,5483,ОЭС ВОСТОКА
2021-10-08 6:00,5462,ОЭС ВОСТОКА
2021-10-08 7:00,5396,ОЭС ВОСТОКА
2021-10-08 8:00,5538,ОЭС ВОСТОКА
2021-10-08 9:00,5273,ОЭС ВОСТОКА
2021-10-08 10:00,5351,ОЭС ВОСТОКА
2021-10-08 11:00,5395,ОЭС ВОСТОКА
2021-10-08 12:00,5589,ОЭС ВОСТОКА
2021-10-08 13:00,5816,ОЭС ВОСТОКА
2021-10-08 14:00,5856,ОЭС ВОСТОКА
2021-10-08 15:00,5718,ОЭС ВОСТОКА
2021-10-08 16:00,5493,ОЭС ВОСТОКА
2021-10-08 17:00,5361,ОЭС ВОСТОКА
2021-10-08 18:00,4870,ОЭС ВОСТОКА
2021-10-08 19:00,4652,ОЭС ВОСТОКА
2021-10-08 20:00,4274,ОЭС ВОСТОКА
2021-10-08 21:00,4379,ОЭС ВОСТОКА
2021-10-08 22:00,4350,ОЭС ВОСТОКА
2021-10-08 23:00,4428,ОЭС ВОСТОКА
