date,mw,region
2008-11-14 0:00,3607,ОЭС ВОСТОКА
2008-11-14 1:00,3728,ОЭС ВОСТОКА
2008-11-14 2:00,3875,ОЭС ВОСТОКА
2008-11-14 3:00,3986,ОЭС ВОСТОКА
2008-11-14 4:00,3862,ОЭС ВОСТОКА
2008-11-14 5:00,3683,ОЭС ВОСТОКА
2008-11-14 6:00,3594,ОЭС ВОСТОКА
2008-11-14 7:00,3592,ОЭС ВОСТОКА
2008-11-14 8:00,3562,ОЭС ВОСТОКА
2008-11-14 9:00,3609,ОЭС ВОСТОКА
2008-11-14 10:00,3657,ОЭС ВОСТОКА
2008-11-14 11:00,4068,ОЭС ВОСТОКА
2008-11-14 12:00,4144,ОЭС ВОСТОКА
2008-11-14 13:00,4262,ОЭС ВОСТОКА
2008-11-14 14:00,4078,ОЭС ВОСТОКА
2008-11-14 15:00,3952,ОЭС ВОСТОКА
2008-11-14 16:00,3733,ОЭС ВОСТОКА
2008-11-14 17:00,3708,ОЭС ВОСТОКА
2008-11-14 18:00,3456,ОЭС ВОСТОКА
2008-11-14 19:00,3264,ОЭС ВОСТОКА
2008-11-14 20:00,3214,ОЭС ВОСТОКА
2008-11-14 21:00,3328,ОЭС ВОСТОКА
2008-11-14 22:00,3215,ОЭС ВОСТОКА
2008-11-14 23:00,3322,ОЭС ВОСТОКА
