date,mw,region
2008-04-02 0:00,3125,ОЭС ВОСТОКА
2008-04-02 1:00,3470,ОЭС ВОСТОКА
2008-04-02 2:00,3549,ОЭС ВОСТОКА
2008-04-02 3:00,3632,ОЭС ВОСТОКА
2008-04-02 4:00,3546,ОЭС ВОСТОКА
2008-04-02 5:00,3524,ОЭС ВОСТОКА
2008-04-02 6:00,3365,ОЭС ВОСТОКА
2008-04-02 7:00,3332,ОЭС ВОСТОКА
2008-04-02 8:00,3351,ОЭС ВОСТОКА
2008-04-02 9:00,3308,ОЭС ВОСТОКА
2008-04-02 10:00,3324,ОЭС ВОСТОКА
2008-04-02 11:00,3382,ОЭС ВОСТОКА
2008-04-02 12:00,3388,ОЭС ВОСТОКА
2008-04-02 13:00,3617,ОЭС ВОСТОКА
2008-04-02 14:00,3808,ОЭС ВОСТОКА
2008-04-02 15:00,3886,ОЭС ВОСТОКА
2008-04-02 16:00,3507,ОЭС ВОСТОКА
2008-04-02 17:00,3256,ОЭС ВОСТОКА
2008-04-02 18:00,3115,ОЭС ВОСТОКА
2008-04-02 19:00,3068,ОЭС ВОСТОКА
2008-04-02 20:00,2922,ОЭС ВОСТОКА
2008-04-02 21:00,2872,ОЭС ВОСТОКА
2008-04-02 22:00,2989,ОЭС ВОСТОКА
2008-04-02 23:00,2999,ОЭС ВОСТОКА
