datetime,data,type,unit,network,region
2001-12-01 07:35:00,5927.0,coal_brown,MW,nem,VIC1
2001-12-01 07:40:00,5888.0,coal_brown,MW,nem,VIC1
2001-12-01 07:45:00,5878.0,coal_brown,MW,nem,VIC1
2001-12-01 07:50:00,5886.0,coal_brown,MW,nem,VIC1
2001-12-01 07:55:00,5888.0,coal_brown,MW,nem,VIC1
2001-12-01 08:00:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 08:05:00,5951.0,coal_brown,MW,nem,VIC1
2001-12-01 08:10:00,5972.0,coal_brown,MW,nem,VIC1
2001-12-01 08:15:00,5993.0,coal_brown,MW,nem,VIC1
2001-12-01 08:20:00,6000.0,coal_brown,MW,nem,VIC1
2001-12-01 08:25:00,6028.0,coal_brown,MW,nem,VIC1
2001-12-01 08:30:00,6026.0,coal_brown,MW,nem,VIC1
2001-12-01 08:35:00,6017.0,coal_brown,MW,nem,VIC1
2001-12-01 08:40:00,6024.0,coal_brown,MW,nem,VIC1
2001-12-01 08:45:00,6016.0,coal_brown,MW,nem,VIC1
2001-12-01 08:50:00,6014.0,coal_brown,MW,nem,VIC1
2001-12-01 08:55:00,6051.0,coal_brown,MW,nem,VIC1
2001-12-01 09:00:00,6041.0,coal_brown,MW,nem,VIC1
2001-12-01 09:05:00,6032.0,coal_brown,MW,nem,VIC1
2001-12-01 09:10:00,5977.0,coal_brown,MW,nem,VIC1
2001-12-01 09:15:00,6006.0,coal_brown,MW,nem,VIC1
2001-12-01 09:20:00,6021.0,coal_brown,MW,nem,VIC1
2001-12-01 09:25:00,6003.0,coal_brown,MW,nem,VIC1
2001-12-01 09:30:00,6015.0,coal_brown,MW,nem,VIC1
2001-12-01 09:35:00,6014.0,coal_brown,MW,nem,VIC1
2001-12-01 09:40:00,6043.0,coal_brown,MW,nem,VIC1
2001-12-01 09:45:00,6039.0,coal_brown,MW,nem,VIC1
2001-12-01 09:50:00,6054.0,coal_brown,MW,nem,VIC1
2001-12-01 09:55:00,6031.0,coal_brown,MW,nem,VIC1
2001-12-01 10:00:00,6016.0,coal_brown,MW,nem,VIC1
2001-12-01 10:05:00,6032.0,coal_brown,MW,nem,VIC1
2001-12-01 10:10:00,6008.0,coal_brown,MW,nem,VIC1
2001-12-01 10:15:00,6015.0,coal_brown,MW,nem,VIC1
2001-12-01 10:20:00,6036.0,coal_brown,MW,nem,VIC1
2001-12-01 10:25:00,6024.0,coal_brown,MW,nem,VIC1
2001-12-01 10:30:00,6024.0,coal_brown,MW,nem,VIC1
2001-12-01 10:35:00,6037.0,coal_brown,MW,nem,VIC1
2001-12-01 10:40:00,6002.0,coal_brown,MW,nem,VIC1
2001-12-01 10:45:00,6025.0,coal_brown,MW,nem,VIC1
2001-12-01 10:50:00,6032.0,coal_brown,MW,nem,VIC1
2001-12-01 10:55:00,6037.0,coal_brown,MW,nem,VIC1
2001-12-01 11:00:00,6010.0,coal_brown,MW,nem,VIC1
2001-12-01 11:05:00,6013.0,coal_brown,MW,nem,VIC1
2001-12-01 11:10:00,6006.0,coal_brown,MW,nem,VIC1
2001-12-01 11:15:00,6019.0,coal_brown,MW,nem,VIC1
2001-12-01 11:20:00,6017.0,coal_brown,MW,nem,VIC1
2001-12-01 11:25:00,6023.0,coal_brown,MW,nem,VIC1
2001-12-01 11:30:00,6022.0,coal_brown,MW,nem,VIC1
2001-12-01 11:35:00,5986.0,coal_brown,MW,nem,VIC1
2001-12-01 11:40:00,5967.0,coal_brown,MW,nem,VIC1
2001-12-01 11:45:00,5929.0,coal_brown,MW,nem,VIC1
2001-12-01 11:50:00,5954.0,coal_brown,MW,nem,VIC1
2001-12-01 11:55:00,5988.0,coal_brown,MW,nem,VIC1
2001-12-01 12:00:00,5959.0,coal_brown,MW,nem,VIC1
2001-12-01 12:05:00,5958.0,coal_brown,MW,nem,VIC1
2001-12-01 12:10:00,5968.0,coal_brown,MW,nem,VIC1
2001-12-01 12:15:00,5963.0,coal_brown,MW,nem,VIC1
2001-12-01 12:20:00,5951.0,coal_brown,MW,nem,VIC1
2001-12-01 12:25:00,5971.0,coal_brown,MW,nem,VIC1
2001-12-01 12:30:00,5934.0,coal_brown,MW,nem,VIC1
2001-12-01 12:35:00,5928.0,coal_brown,MW,nem,VIC1
2001-12-01 12:40:00,5950.0,coal_brown,MW,nem,VIC1
2001-12-01 12:45:00,5915.0,coal_brown,MW,nem,VIC1
2001-12-01 12:50:00,5922.0,coal_brown,MW,nem,VIC1
2001-12-01 12:55:00,5911.0,coal_brown,MW,nem,VIC1
2001-12-01 13:00:00,5919.0,coal_brown,MW,nem,VIC1
2001-12-01 13:05:00,5906.0,coal_brown,MW,nem,VIC1
2001-12-01 13:10:00,5930.0,coal_brown,MW,nem,VIC1
2001-12-01 13:15:00,5951.0,coal_brown,MW,nem,VIC1
2001-12-01 13:20:00,5951.0,coal_brown,MW,nem,VIC1
2001-12-01 13:25:00,5909.0,coal_brown,MW,nem,VIC1
2001-12-01 13:30:00,5917.0,coal_brown,MW,nem,VIC1
2001-12-01 13:35:00,5905.0,coal_brown,MW,nem,VIC1
2001-12-01 13:40:00,5913.0,coal_brown,MW,nem,VIC1
2001-12-01 13:45:00,5910.0,coal_brown,MW,nem,VIC1
2001-12-01 13:50:00,5901.0,coal_brown,MW,nem,VIC1
2001-12-01 13:55:00,5899.0,coal_brown,MW,nem,VIC1
2001-12-01 14:00:00,5918.0,coal_brown,MW,nem,VIC1
2001-12-01 14:05:00,5888.0,coal_brown,MW,nem,VIC1
2001-12-01 14:10:00,5897.0,coal_brown,MW,nem,VIC1
2001-12-01 14:15:00,5895.0,coal_brown,MW,nem,VIC1
2001-12-01 14:20:00,5913.0,coal_brown,MW,nem,VIC1
2001-12-01 14:25:00,5881.0,coal_brown,MW,nem,VIC1
2001-12-01 14:30:00,5872.0,coal_brown,MW,nem,VIC1
2001-12-01 14:35:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 14:40:00,5883.0,coal_brown,MW,nem,VIC1
2001-12-01 14:45:00,5909.0,coal_brown,MW,nem,VIC1
2001-12-01 14:50:00,5877.0,coal_brown,MW,nem,VIC1
2001-12-01 14:55:00,5909.0,coal_brown,MW,nem,VIC1
2001-12-01 15:00:00,5891.0,coal_brown,MW,nem,VIC1
2001-12-01 15:05:00,5870.0,coal_brown,MW,nem,VIC1
2001-12-01 15:10:00,5868.0,coal_brown,MW,nem,VIC1
2001-12-01 15:15:00,5839.0,coal_brown,MW,nem,VIC1
2001-12-01 15:20:00,5898.0,coal_brown,MW,nem,VIC1
2001-12-01 15:25:00,5874.0,coal_brown,MW,nem,VIC1
2001-12-01 15:30:00,5873.0,coal_brown,MW,nem,VIC1
2001-12-01 15:35:00,5897.0,coal_brown,MW,nem,VIC1
2001-12-01 15:40:00,5915.0,coal_brown,MW,nem,VIC1
2001-12-01 15:45:00,5914.0,coal_brown,MW,nem,VIC1
2001-12-01 15:50:00,5901.0,coal_brown,MW,nem,VIC1
2001-12-01 15:55:00,5895.0,coal_brown,MW,nem,VIC1
2001-12-01 16:00:00,5898.0,coal_brown,MW,nem,VIC1
2001-12-01 16:05:00,5883.0,coal_brown,MW,nem,VIC1
2001-12-01 16:10:00,5896.0,coal_brown,MW,nem,VIC1
2001-12-01 16:15:00,5907.0,coal_brown,MW,nem,VIC1
2001-12-01 16:20:00,5906.0,coal_brown,MW,nem,VIC1
2001-12-01 16:25:00,5893.0,coal_brown,MW,nem,VIC1
2001-12-01 16:30:00,5911.0,coal_brown,MW,nem,VIC1
2001-12-01 16:35:00,5929.0,coal_brown,MW,nem,VIC1
2001-12-01 16:40:00,5914.0,coal_brown,MW,nem,VIC1
2001-12-01 16:45:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 16:50:00,5906.0,coal_brown,MW,nem,VIC1
2001-12-01 16:55:00,5913.0,coal_brown,MW,nem,VIC1
2001-12-01 17:00:00,5919.0,coal_brown,MW,nem,VIC1
2001-12-01 17:05:00,5904.0,coal_brown,MW,nem,VIC1
2001-12-01 17:10:00,5920.0,coal_brown,MW,nem,VIC1
2001-12-01 17:15:00,5896.0,coal_brown,MW,nem,VIC1
2001-12-01 17:20:00,5899.0,coal_brown,MW,nem,VIC1
2001-12-01 17:25:00,5902.0,coal_brown,MW,nem,VIC1
2001-12-01 17:30:00,5916.0,coal_brown,MW,nem,VIC1
2001-12-01 17:35:00,5894.0,coal_brown,MW,nem,VIC1
2001-12-01 17:40:00,5890.0,coal_brown,MW,nem,VIC1
2001-12-01 17:45:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 17:50:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 17:55:00,5887.0,coal_brown,MW,nem,VIC1
2001-12-01 18:00:00,5886.0,coal_brown,MW,nem,VIC1
2001-12-01 18:05:00,5874.0,coal_brown,MW,nem,VIC1
2001-12-01 18:10:00,5900.0,coal_brown,MW,nem,VIC1
2001-12-01 18:15:00,5865.0,coal_brown,MW,nem,VIC1
2001-12-01 18:20:00,5903.0,coal_brown,MW,nem,VIC1
2001-12-01 18:25:00,5873.0,coal_brown,MW,nem,VIC1
2001-12-01 18:30:00,5852.0,coal_brown,MW,nem,VIC1
2001-12-01 18:35:00,5839.0,coal_brown,MW,nem,VIC1
2001-12-01 18:40:00,5847.0,coal_brown,MW,nem,VIC1
2001-12-01 18:45:00,5805.0,coal_brown,MW,nem,VIC1
2001-12-01 18:50:00,5819.0,coal_brown,MW,nem,VIC1
2001-12-01 18:55:00,5827.0,coal_brown,MW,nem,VIC1
2001-12-01 19:00:00,5833.0,coal_brown,MW,nem,VIC1
2001-12-01 19:05:00,5828.0,coal_brown,MW,nem,VIC1
2001-12-01 19:10:00,5842.0,coal_brown,MW,nem,VIC1
2001-12-01 19:15:00,5852.0,coal_brown,MW,nem,VIC1
2001-12-01 19:20:00,5850.0,coal_brown,MW,nem,VIC1
2001-12-01 19:25:00,5844.0,coal_brown,MW,nem,VIC1
2001-12-01 19:30:00,5851.0,coal_brown,MW,nem,VIC1
2001-12-01 19:35:00,5849.0,coal_brown,MW,nem,VIC1
2001-12-01 19:40:00,5923.0,coal_brown,MW,nem,VIC1
2001-12-01 19:45:00,5899.0,coal_brown,MW,nem,VIC1
2001-12-01 19:50:00,5906.0,coal_brown,MW,nem,VIC1
2001-12-01 19:55:00,5883.0,coal_brown,MW,nem,VIC1
2001-12-01 20:00:00,5910.0,coal_brown,MW,nem,VIC1
2001-12-01 20:05:00,5933.0,coal_brown,MW,nem,VIC1
2001-12-01 20:10:00,5922.0,coal_brown,MW,nem,VIC1
2001-12-01 20:15:00,5892.0,coal_brown,MW,nem,VIC1
2001-12-01 20:20:00,5893.0,coal_brown,MW,nem,VIC1
2001-12-01 20:25:00,5914.0,coal_brown,MW,nem,VIC1
2001-12-01 20:30:00,5916.0,coal_brown,MW,nem,VIC1
2001-12-01 20:35:00,5918.0,coal_brown,MW,nem,VIC1
2001-12-01 20:40:00,5967.0,coal_brown,MW,nem,VIC1
2001-12-01 20:45:00,5989.0,coal_brown,MW,nem,VIC1
2001-12-01 20:50:00,5987.0,coal_brown,MW,nem,VIC1
2001-12-01 20:55:00,5929.0,coal_brown,MW,nem,VIC1
2001-12-01 21:00:00,5965.0,coal_brown,MW,nem,VIC1
2001-12-01 21:05:00,5948.0,coal_brown,MW,nem,VIC1
2001-12-01 21:10:00,5913.0,coal_brown,MW,nem,VIC1
2001-12-01 21:15:00,5891.0,coal_brown,MW,nem,VIC1
2001-12-01 21:20:00,5918.0,coal_brown,MW,nem,VIC1
2001-12-01 21:25:00,5913.0,coal_brown,MW,nem,VIC1
2001-12-01 21:30:00,5894.0,coal_brown,MW,nem,VIC1
2001-12-01 21:35:00,5801.0,coal_brown,MW,nem,VIC1
2001-12-01 21:40:00,5814.0,coal_brown,MW,nem,VIC1
2001-12-01 21:45:00,5864.0,coal_brown,MW,nem,VIC1
2001-12-01 21:50:00,5821.0,coal_brown,MW,nem,VIC1
2001-12-01 21:55:00,5833.0,coal_brown,MW,nem,VIC1
2001-12-01 22:00:00,5790.0,coal_brown,MW,nem,VIC1
2001-12-01 22:05:00,5821.0,coal_brown,MW,nem,VIC1
