datetime,Coal,region,Wind,Hydro,Solar,Other,Nuclear,Natural gas
2020-08-01 00:00:00,12926,TEX,4301,79,3011,22,5014,36747
2020-08-01 01:00:00,12801,TEX,4513,79,1583,27,5014,35176
2020-08-01 02:00:00,12700,TEX,4393,3,99,19,5015,34217
2020-08-01 03:00:00,11425,TEX,5312,0,0,19,5016,32295
2020-08-01 04:00:00,10148,TEX,6260,0,0,22,5016,29587
2020-08-01 05:00:00,9435,TEX,4576,0,0,21,5016,28492
2020-08-01 06:00:00,8070,TEX,4180,0,0,20,5017,27293
2020-08-01 07:00:00,6898,TEX,3365,24,0,19,5018,26709
2020-08-01 08:00:00,6358,TEX,2384,1,0,19,5018,26345
2020-08-01 09:00:00,6040,TEX,1775,0,0,20,5019,25608
2020-08-01 10:00:00,5840,TEX,1610,1,0,25,5020,24827
2020-08-01 11:00:00,5398,TEX,2336,2,0,29,5021,24005
2020-08-01 12:00:00,5398,TEX,1805,2,0,29,5020,24292
2020-08-01 13:00:00,5630,TEX,965,4,235,31,5020,24910
2020-08-01 14:00:00,5848,TEX,701,62,1605,31,5021,25696
2020-08-01 15:00:00,6051,TEX,350,63,2811,34,5019,27728
2020-08-01 16:00:00,6980,TEX,423,106,3247,31,5020,29282
2020-08-01 17:00:00,8658,TEX,463,142,3562,34,5020,30448
2020-08-01 18:00:00,10308,TEX,431,135,3409,33,5019,32105
2020-08-01 19:00:00,11328,TEX,468,85,3122,37,5018,33716
2020-08-01 20:00:00,11879,TEX,760,87,2743,36,5018,35614
2020-08-01 21:00:00,11884,TEX,1194,81,2638,36,5017,36561
2020-08-01 22:00:00,11841,TEX,2197,82,2834,43,5018,36060
2020-08-01 23:00:00,12182,TEX,2518,82,3045,47,5019,35452
2020-08-02 00:00:00,12004,TEX,2936,82,2684,38,5018,35110
2020-08-02 01:00:00,11640,TEX,3934,82,1456,28,5018,33715
2020-08-02 02:00:00,11303,TEX,4692,6,117,27,5017,32370
2020-08-02 03:00:00,10272,TEX,5159,2,0,27,5018,31037
2020-08-02 04:00:00,7961,TEX,6363,3,0,29,5019,28906
2020-08-02 05:00:00,6398,TEX,6985,2,0,35,5020,26414
2020-08-02 06:00:00,5917,TEX,7359,2,0,30,5021,24084
2020-08-02 07:00:00,5970,TEX,6550,26,0,30,5022,22374
2020-08-02 08:00:00,5970,TEX,5336,3,0,30,5022,21589
2020-08-02 09:00:00,5776,TEX,4774,2,0,30,5023,20924
2020-08-02 10:00:00,5826,TEX,4356,2,0,31,5023,20456
2020-08-02 11:00:00,5833,TEX,3681,2,0,30,5023,20753
2020-08-02 12:00:00,5834,TEX,3202,2,0,32,5023,20929
2020-08-02 13:00:00,5842,TEX,2836,3,320,30,5024,21214
2020-08-02 14:00:00,5971,TEX,1891,26,2083,27,5023,23194
2020-08-02 15:00:00,6407,TEX,938,61,3310,27,5022,26806
2020-08-02 16:00:00,8363,TEX,618,104,3581,22,5022,29659
2020-08-02 17:00:00,11177,TEX,330,140,3409,24,5021,31843
2020-08-02 18:00:00,12552,TEX,237,133,3228,25,5021,34231
2020-08-02 19:00:00,12671,TEX,399,97,2986,30,5020,37105
2020-08-02 20:00:00,12641,TEX,462,87,3105,33,5017,39096
2020-08-02 21:00:00,12542,TEX,779,78,2777,28,5012,40380
2020-08-02 22:00:00,12399,TEX,1845,78,2962,21,5005,39914
2020-08-02 23:00:00,12244,TEX,2641,80,2857,17,5000,38900
2020-08-03 00:00:00,12014,TEX,3324,79,2564,15,4998,37718
2020-08-03 01:00:00,11596,TEX,5827,79,1262,15,4997,34615
2020-08-03 02:00:00,11022,TEX,7503,3,50,13,4996,32230
2020-08-03 03:00:00,9432,TEX,8451,0,0,11,4998,30379
2020-08-03 04:00:00,7865,TEX,8504,0,0,10,4999,28396
2020-08-03 05:00:00,6357,TEX,9218,0,0,11,5002,25458
2020-08-03 06:00:00,5569,TEX,9263,1,0,14,5004,23175
2020-08-03 07:00:00,5223,TEX,8333,24,0,11,5006,21888
2020-08-03 08:00:00,5355,TEX,7726,0,0,10,5007,20528
2020-08-03 09:00:00,5273,TEX,7864,0,0,11,5008,19431
2020-08-03 10:00:00,5286,TEX,6072,0,0,14,5009,21035
2020-08-03 11:00:00,5685,TEX,3341,0,0,16,5011,24116
2020-08-03 12:00:00,6531,TEX,2610,0,0,16,5011,25348
2020-08-03 13:00:00,6873,TEX,2780,1,70,15,5012,25951
2020-08-03 14:00:00,8417,TEX,2495,24,711,57,5012,26885
2020-08-03 15:00:00,10089,TEX,1543,24,1265,88,5012,29317
2020-08-03 16:00:00,11441,TEX,1140,102,1667,88,5012,32053
2020-08-03 17:00:00,11987,TEX,799,144,2037,90,5012,35580
2020-08-03 18:00:00,12049,TEX,785,237,2917,91,5011,37907
2020-08-03 19:00:00,12218,TEX,1268,143,3111,124,5011,40471
2020-08-03 20:00:00,12210,TEX,1755,88,3410,122,5010,42255
2020-08-03 21:00:00,12185,TEX,1861,80,3488,129,5008,43658
2020-08-03 22:00:00,12155,TEX,1850,80,3360,129,5002,43983
2020-08-03 23:00:00,12112,TEX,2031,80,3247,128,5000,42731
2020-08-04 00:00:00,12143,TEX,2405,80,2902,106,4997,40061
