yearmonth,coal,gas,oil,nuclear,hydro,wind,solar,other,total.prod,fossil,low.carbon,unit,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
2018-01,395281.9 ,14974.7 ,1426.6 ,20362.0 ,75247.4 ,31216.2 ,11407.1 ,12871.8 ,562787.8 ,411683.3 ,151104.6 ,GWh,0.702 ,0.027 ,0.003 ,0.036 ,0.134 ,0.055 ,0.020 ,0.023 ,0.732 ,0.268 
2018-02,349952.7 ,13257.5 ,1263.0 ,19751.1 ,64152.6 ,34573.8 ,12491.3 ,12871.8 ,508313.7 ,364473.2 ,143840.5 ,GWh,0.688 ,0.026 ,0.002 ,0.039 ,0.126 ,0.068 ,0.025 ,0.025 ,0.717 ,0.283 
2018-03,367855.8 ,14960.4 ,1247.1 ,22053.2 ,70380.0 ,34850.0 ,17580.7 ,11936.7 ,540863.9 ,384063.3 ,156800.5 ,GWh,0.680 ,0.028 ,0.002 ,0.041 ,0.130 ,0.064 ,0.033 ,0.022 ,0.710 ,0.290 
2018-04,335630.1 ,13162.7 ,2072.3 ,22053.2 ,77520.0 ,37400.0 ,18932.9 ,19834.9 ,526606.0 ,350865.1 ,175740.9 ,GWh,0.637 ,0.025 ,0.004 ,0.042 ,0.147 ,0.071 ,0.036 ,0.038 ,0.666 ,0.334 
2018-05,354524.5 ,14796.1 ,1483.2 ,23198.3 ,105400.0 ,32130.0 ,18482.8 ,14196.2 ,564211.1 ,370803.8 ,193407.2 ,GWh,0.628 ,0.026 ,0.003 ,0.041 ,0.187 ,0.057 ,0.033 ,0.025 ,0.657 ,0.343 
2018-06,358374.6 ,17932.8 ,1153.4 ,23383.0 ,119000.0 ,24140.0 ,16465.0 ,11039.2 ,571488.0 ,377460.8 ,194027.2 ,GWh,0.627 ,0.031 ,0.002 ,0.041 ,0.208 ,0.042 ,0.029 ,0.019 ,0.660 ,0.340 
2018-07,416126.0 ,21026.1 ,962.8 ,22323.6 ,141919.4 ,25330.0 ,16422.6 ,9215.1 ,653325.6 ,438114.9 ,215210.7 ,GWh,0.637 ,0.032 ,0.001 ,0.034 ,0.217 ,0.039 ,0.025 ,0.014 ,0.671 ,0.329 
2018-08,419390.9 ,20979.4 ,1393.3 ,26050.6 ,140225.8 ,20400.0 ,17653.9 ,13336.3 ,659430.3 ,441763.7 ,217666.6 ,GWh,0.636 ,0.032 ,0.002 ,0.040 ,0.213 ,0.031 ,0.027 ,0.020 ,0.670 ,0.330 
2018-09,347824.5 ,15886.0 ,1298.7 ,24628.6 ,128032.3 ,27540.0 ,16143.9 ,12430.8 ,573784.7 ,365009.2 ,208775.5 ,GWh,0.606 ,0.028 ,0.002 ,0.043 ,0.223 ,0.048 ,0.028 ,0.022 ,0.636 ,0.364 
2018-10,325672.4 ,13227.3 ,1844.6 ,25817.6 ,124306.5 ,28620.0 ,18221.5 ,17655.7 ,555365.6 ,340744.3 ,214621.3 ,GWh,0.586 ,0.024 ,0.003 ,0.046 ,0.224 ,0.052 ,0.033 ,0.032 ,0.614 ,0.386 
2018-11,364375.8 ,14059.4 ,1283.2 ,29538.5 ,96250.0 ,30060.0 ,14804.2 ,12281.6 ,562652.7 ,379718.4 ,182934.3 ,GWh,0.648 ,0.025 ,0.002 ,0.052 ,0.171 ,0.053 ,0.026 ,0.022 ,0.675 ,0.325 
2018-12,434496.5 ,19483.8 ,1808.6 ,17545.5 ,89250.0 ,37536.0 ,10931.8 ,17311.1 ,628363.4 ,455788.9 ,172574.5 ,GWh,0.691 ,0.031 ,0.003 ,0.028 ,0.142 ,0.060 ,0.017 ,0.028 ,0.725 ,0.275 
