datetime,Wind,region,Coal,Natural gas,Nuclear,Petroleum,Other,Solar,Hydro
2022-06-01 00:00:00,0,SE,7481,20832,5780,-1,70,385,2719
2022-06-01 01:00:00,0,SE,7314,20476,5756,0,71,25,1860
2022-06-01 02:00:00,0,SE,7434,19677,5777,-1,71,-3,1075
2022-06-01 03:00:00,0,SE,7326,18007,5787,-1,72,0,759
2022-06-01 04:00:00,0,SE,5978,15206,5823,0,70,0,370
2022-06-01 05:00:00,0,SE,5079,15831,5838,-1,70,-1,244
2022-06-01 06:00:00,0,SE,4164,13602,5882,0,60,0,237
2022-06-01 07:00:00,0,SE,3520,13206,5905,0,57,0,246
2022-06-01 08:00:00,0,SE,3517,12494,5931,-1,57,-2,204
2022-06-01 09:00:00,0,SE,3510,12016,5936,-2,58,0,333
2022-06-01 10:00:00,0,SE,3521,12298,5938,0,57,0,199
2022-06-01 11:00:00,0,SE,3522,13259,5939,0,57,8,145
2022-06-01 12:00:00,0,SE,3546,14348,5933,0,57,335,127
2022-06-01 13:00:00,0,SE,3899,14314,5939,1,59,981,99
2022-06-01 14:00:00,0,SE,4074,13908,5919,26,57,1293,200
2022-06-01 15:00:00,0,SE,5086,18079,5915,46,63,1452,326
2022-06-01 16:00:00,0,SE,6482,18010,5905,8,110,1498,326
2022-06-01 17:00:00,0,SE,7027,20409,5903,0,121,1522,626
2022-06-01 18:00:00,0,SE,7352,21357,5899,0,108,1537,972
2022-06-01 19:00:00,0,SE,7447,23042,5899,0,107,1457,1351
2022-06-01 20:00:00,0,SE,7649,22949,5900,-3,108,1412,2346
2022-06-01 21:00:00,0,SE,7651,23127,5902,-1,106,1362,3042
2022-06-01 22:00:00,0,SE,7664,23171,5896,-2,106,1252,3287
2022-06-01 23:00:00,0,SE,7601,22628,5902,-1,107,984,3300
2022-06-02 00:00:00,0,SE,7618,22654,5896,0,107,390,2699
2022-06-02 01:00:00,0,SE,7582,22014,5899,0,110,29,2063
2022-06-02 02:00:00,0,SE,7559,21057,5903,-1,107,0,1255
2022-06-02 03:00:00,0,SE,7437,18775,5893,-1,68,0,738
2022-06-02 04:00:00,0,SE,7099,16357,5896,-2,58,-1,456
2022-06-02 05:00:00,0,SE,5526,14816,5894,0,58,0,336
