datetime,Wind,region,Coal,Natural gas,Nuclear,Petroleum,Other,Solar,Hydro
2022-06-01 00:00:00,0,TEN,4856,8225,7102,0,22,300,4465
2022-06-01 01:00:00,0,TEN,4831,7941,7090,0,20,52,4306
2022-06-01 02:00:00,0,TEN,4838,7173,7096,0,22,0,4040
2022-06-01 03:00:00,0,TEN,4798,6646,7092,0,23,-4,2864
2022-06-01 04:00:00,0,TEN,4116,6297,7106,0,22,0,2284
2022-06-01 05:00:00,0,TEN,3908,5296,7100,0,23,0,2156
2022-06-01 06:00:00,0,TEN,3862,4993,7109,0,19,-4,1430
2022-06-01 07:00:00,0,TEN,3612,4924,7110,0,23,0,916
2022-06-01 08:00:00,0,TEN,3420,4467,7112,0,22,-1,933
2022-06-01 09:00:00,0,TEN,3398,4116,7111,0,20,-1,935
2022-06-01 10:00:00,0,TEN,3394,4100,7120,0,22,0,1031
2022-06-01 11:00:00,0,TEN,3403,4437,7114,0,22,0,1149
2022-06-01 12:00:00,0,TEN,3504,4639,7117,0,23,139,1360
2022-06-01 13:00:00,0,TEN,3654,5461,7110,0,22,415,1500
2022-06-01 14:00:00,0,TEN,3899,6257,7117,0,25,528,1893
2022-06-01 15:00:00,0,TEN,4309,6346,7099,0,26,567,2886
2022-06-01 16:00:00,0,TEN,4723,7198,7095,0,22,516,3199
2022-06-01 17:00:00,0,TEN,4935,8100,7098,0,28,446,3743
2022-06-01 18:00:00,0,TEN,5023,8332,7094,0,25,463,4077
2022-06-01 19:00:00,0,TEN,5036,8748,7089,0,25,378,4375
2022-06-01 20:00:00,0,TEN,5104,9233,7086,0,28,307,4470
2022-06-01 21:00:00,0,TEN,5120,9360,7098,0,28,334,4561
2022-06-01 22:00:00,0,TEN,5104,9247,7087,0,26,367,4576
2022-06-01 23:00:00,0,TEN,5130,8830,7086,0,19,326,4620
2022-06-02 00:00:00,0,TEN,5131,8886,7095,0,20,205,3868
2022-06-02 01:00:00,0,TEN,4968,8777,7088,0,22,19,3185
2022-06-02 02:00:00,0,TEN,4766,8115,7090,0,20,0,2813
2022-06-02 03:00:00,0,TEN,4773,6989,7078,0,22,-2,2540
2022-06-02 04:00:00,0,TEN,4816,6159,6961,0,20,-2,2195
2022-06-02 05:00:00,0,TEN,4771,5031,6814,0,19,0,2106
2022-06-02 06:00:00,0,TEN,4225,4845,6667,0,23,-2,1878
2022-06-02 07:00:00,0,TEN,3973,4843,6478,0,22,-2,1321
2022-06-02 08:00:00,0,TEN,3958,4910,6319,0,17,-2,791
2022-06-02 09:00:00,0,TEN,3989,4919,6180,0,22,-2,522
2022-06-02 10:00:00,0,TEN,3907,5239,6129,0,17,0,396
2022-06-02 11:00:00,0,TEN,4059,5633,6112,0,20,-2,609
2022-06-02 12:00:00,0,TEN,4253,6046,6120,0,19,49,688
2022-06-02 13:00:00,0,TEN,4263,6440,6021,0,17,178,1473
2022-06-02 14:00:00,0,TEN,4659,6217,5939,0,17,345,2435
2022-06-02 15:00:00,0,TEN,4943,6544,5927,0,3,488,2776
2022-06-02 16:00:00,0,TEN,4930,7168,5926,0,0,451,3520
2022-06-02 17:00:00,0,TEN,5098,7265,5930,0,0,457,3907
2022-06-02 18:00:00,0,TEN,5274,7557,5923,0,0,352,4136
2022-06-02 19:00:00,0,TEN,5311,7780,5916,0,0,269,4179
2022-06-02 20:00:00,0,TEN,5333,7941,5509,0,0,239,3948
2022-06-02 21:00:00,0,TEN,5353,7721,5410,0,8,91,4000
2022-06-02 22:00:00,0,TEN,5360,7162,5383,0,11,78,4072
2022-06-02 23:00:00,0,TEN,5391,6487,5379,0,14,59,3971
2022-06-03 00:00:00,0,TEN,5432,6268,5409,0,14,27,3466
2022-06-03 01:00:00,0,TEN,5410,5940,5418,0,17,2,3153
2022-06-03 02:00:00,0,TEN,5124,6571,5449,0,23,-2,2695
2022-06-03 03:00:00,0,TEN,5023,6166,5466,0,19,0,2338
2022-06-03 04:00:00,0,TEN,5025,5744,5451,0,20,0,1602
2022-06-03 05:00:00,0,TEN,4896,5396,5465,0,19,-3,1175
2022-06-03 06:00:00,0,TEN,4738,5339,5481,0,20,0,346
2022-06-03 07:00:00,0,TEN,4528,5253,5493,0,22,-2,-6
2022-06-03 08:00:00,0,TEN,4486,4834,5485,0,23,-2,-111
2022-06-03 09:00:00,0,TEN,4413,4562,5487,0,22,0,-79
2022-06-03 10:00:00,0,TEN,4432,4677,5506,0,20,-2,-46
2022-06-03 11:00:00,0,TEN,4383,5261,5496,0,22,-2,101
2022-06-03 12:00:00,0,TEN,4347,5511,5498,0,22,34,484
2022-06-03 13:00:00,0,TEN,4283,5954,5511,0,20,148,901
2022-06-03 14:00:00,0,TEN,4234,6095,5504,0,20,360,1174
2022-06-03 15:00:00,0,TEN,4247,5873,5502,0,19,570,1722
2022-06-03 16:00:00,0,TEN,4232,6379,5510,0,20,564,1988
2022-06-03 17:00:00,0,TEN,4104,6740,5518,0,19,555,2520
2022-06-03 18:00:00,0,TEN,4046,7046,5517,0,20,509,3120
