datetime,Coal,region,Petroleum,Hydro,Solar,Other,Nuclear,Natural gas
2022-06-01 00:00:00,2791,FLA,0,34.0,237,2141,3867,27457
2022-06-01 01:00:00,2479,FLA,0,36.0,4,2030,3858,26533
2022-06-01 02:00:00,2135,FLA,0,36.0,-1,1810,3869,25206
2022-06-01 03:00:00,1936,FLA,0,36.0,0,1790,3866,22629
2022-06-01 04:00:00,1651,FLA,0,37.0,0,1297,3871,20365
2022-06-01 05:00:00,1376,FLA,0,36.0,0,1139,3871,18302
2022-06-01 06:00:00,1250,FLA,0,37.0,0,1135,3867,16581
2022-06-01 07:00:00,1206,FLA,0,36.0,0,1136,3869,15254
2022-06-01 08:00:00,1186,FLA,0,37.0,0,1143,3872,14503
2022-06-01 09:00:00,1193,FLA,0,37.0,0,1135,3868,14325
2022-06-01 10:00:00,1188,FLA,0,36.0,0,1138,3853,14932
2022-06-01 11:00:00,1204,FLA,0,37.0,15,1211,3860,16190
2022-06-01 12:00:00,1372,FLA,0,37.0,781,1206,3865,16899
2022-06-01 13:00:00,1572,FLA,0,37.0,2261,1429,3862,17284
2022-06-01 14:00:00,1817,FLA,0,37.0,3057,1827,3863,18560
2022-06-01 15:00:00,2055,FLA,7,37.0,3345,1893,3854,20466
2022-06-01 16:00:00,2251,FLA,0,39.0,3425,1968,3861,22548
2022-06-01 17:00:00,2523,FLA,0,39.0,3672,2061,3859,23959
2022-06-01 18:00:00,2930,FLA,0,39.0,3568,2128,3857,25410
2022-06-01 19:00:00,3134,FLA,0,39.0,3728,2099,3858,26253
2022-06-01 20:00:00,3309,FLA,0,39.0,3614,2214,3860,26431
2022-06-01 21:00:00,3537,FLA,0,39.0,2963,2244,3862,26980
2022-06-01 22:00:00,3570,FLA,0,38.0,2347,2255,3861,27029
2022-06-01 23:00:00,3501,FLA,0,39.0,1748,2110,3847,26287
2022-06-02 00:00:00,3084,FLA,0,38.0,574,2048,3859,26213
2022-06-02 01:00:00,2892,FLA,0,38.0,13,1964,3860,25440
2022-06-02 02:00:00,2597,FLA,0,38.0,0,1867,3857,24460
2022-06-02 03:00:00,2261,FLA,0,38.0,-1,1826,3861,22067
2022-06-02 04:00:00,1938,FLA,0,38.0,0,1787,3863,19414
2022-06-02 05:00:00,1638,FLA,0,39.0,0,1706,3857,17188
2022-06-02 06:00:00,1474,FLA,0,38.0,0,1686,3857,15539
2022-06-02 07:00:00,1422,FLA,0,38.0,0,1636,3860,14388
2022-06-02 08:00:00,1417,FLA,0,39.0,0,1491,3860,13744
2022-06-02 09:00:00,1415,FLA,0,38.0,0,1369,3859,13714
2022-06-02 10:00:00,1415,FLA,0,39.0,0,1492,3858,14290
2022-06-02 11:00:00,1446,FLA,0,38.0,14,1722,3861,15365
2022-06-02 12:00:00,1658,FLA,0,38.0,623,1754,3861,16056
2022-06-02 13:00:00,2020,FLA,0,38.0,1850,1752,3858,16824
2022-06-02 14:00:00,2345,FLA,0,39.0,2644,1863,3850,18249
2022-06-02 15:00:00,2661,FLA,0,35.0,3033,1901,3844,20396
2022-06-02 16:00:00,2969,FLA,5,33.0,3238,1915,3853,22538
2022-06-02 17:00:00,3194,FLA,2,32.0,3308,2012,3850,23585
2022-06-02 18:00:00,3265,FLA,0,31.0,3053,2088,3850,26827
2022-06-02 19:00:00,3352,FLA,47,32.0,3008,2172,3852,28090
2022-06-02 20:00:00,3750,FLA,3,32.0,2965,2209,3851,28189
2022-06-02 21:00:00,3847,FLA,38,33.0,2338,2200,3849,28526
2022-06-02 22:00:00,3840,FLA,142,37.0,1840,2183,3857,28480
2022-06-02 23:00:00,3819,FLA,112,34.0,1162,2107,3861,28024
2022-06-03 00:00:00,3457,FLA,35,34.0,379,1985,3862,27407
2022-06-03 01:00:00,3054,FLA,0,34.0,11,1984,3863,26434
2022-06-03 02:00:00,2760,FLA,0,34.0,0,1974,3858,24730
2022-06-03 03:00:00,2394,FLA,0,34.0,1,1857,3871,22320
2022-06-03 04:00:00,2132,FLA,0,35.0,0,1777,3868,19878
2022-06-03 05:00:00,1753,FLA,0,34.0,-1,1690,3858,17641
2022-06-03 06:00:00,1534,FLA,0,35.0,0,1502,3861,16180
2022-06-03 07:00:00,1473,FLA,0,35.0,0,1141,3861,15300
2022-06-03 08:00:00,1430,FLA,0,34.0,0,1134,3861,14581
2022-06-03 09:00:00,1423,FLA,0,35.0,0,1099,3860,14372
2022-06-03 10:00:00,1435,FLA,0,35.0,0,1133,3864,14975
2022-06-03 11:00:00,1473,FLA,0,34.0,5,1195,3864,16161
2022-06-03 12:00:00,1518,FLA,0,35.0,424,1306,3865,16743
2022-06-03 13:00:00,1651,FLA,0,34.0,1170,1676,3866,17072
2022-06-03 14:00:00,1823,FLA,0,35.0,1863,1737,3865,18207
2022-06-03 15:00:00,2157,FLA,0,34.0,2033,1889,3865,19769
2022-06-03 16:00:00,2638,FLA,0,35.0,2103,1966,3870,21170
2022-06-03 17:00:00,2962,FLA,0,35.0,1990,2065,3867,22324
2022-06-03 18:00:00,3157,FLA,0,34.0,1891,2119,3869,23085
2022-06-03 19:00:00,3214,FLA,0,35.0,1685,2265,3871,23167
2022-06-03 20:00:00,3233,FLA,16,34.0,1551,2396,3873,22599
2022-06-03 21:00:00,3410,FLA,91,35.0,1238,2402,3869,23385
2022-06-03 22:00:00,3466,FLA,92,37.0,998,2395,3872,22739
2022-06-03 23:00:00,3318,FLA,7,35.0,749,2304,3876,22053
2022-06-04 00:00:00,2992,FLA,0,35.0,270,2214,3869,21738
2022-06-04 01:00:00,2816,FLA,0,34.0,7,2155,3875,21500
2022-06-04 02:00:00,2696,FLA,0,35.0,0,2104,3877,20580
2022-06-04 03:00:00,2395,FLA,0,35.0,0,1909,3878,19347
2022-06-04 04:00:00,2178,FLA,0,35.0,0,1742,3880,17703
2022-06-04 05:00:00,1845,FLA,0,36.0,0,1630,3878,14903
2022-06-04 06:00:00,1585,FLA,0,35.0,-1,1608,3877,13730
2022-06-04 07:00:00,1511,FLA,0,35.0,0,1176,3880,13029
2022-06-04 08:00:00,1472,FLA,0,35.0,0,1083,3881,12670
2022-06-04 09:00:00,1381,FLA,0,34.0,0,1076,3882,12648
2022-06-04 10:00:00,1380,FLA,0,35.0,0,1079,3884,12733
2022-06-04 11:00:00,1421,FLA,0,35.0,5,1161,3878,13114
2022-06-04 12:00:00,1529,FLA,0,34.0,299,1273,3875,13499
2022-06-04 13:00:00,1638,FLA,0,35.0,894,1564,3875,14458
2022-06-04 14:00:00,1972,FLA,0,34.0,1443,1997,3877,15583
2022-06-04 15:00:00,2340,FLA,0,29.0,1743,2058,3872,16929
2022-06-04 16:00:00,2527,FLA,0,29.0,2199,2167,3877,17888
2022-06-04 17:00:00,2848,FLA,0,30.0,2549,2166,3877,18735
2022-06-04 18:00:00,3199,FLA,0,31.0,2482,2158,3878,19495
2022-06-04 19:00:00,3323,FLA,0,30.0,2661,2229,3875,20044
2022-06-04 20:00:00,3657,FLA,0,32.0,2505,2198,3877,20853
2022-06-04 21:00:00,3851,FLA,0,31.0,2344,2218,3877,21541
2022-06-04 22:00:00,4088,FLA,0,36.0,1953,2291,3872,22335
2022-06-04 23:00:00,3915,FLA,0,30.0,1275,2322,3876,22948
2022-06-05 00:00:00,3740,FLA,0,31.0,394,2133,3886,22731
2022-06-05 01:00:00,3391,FLA,0,31.0,2,1907,3870,22312
2022-06-05 02:00:00,2898,FLA,0,32.0,0,1831,3876,21431
2022-06-05 03:00:00,2398,FLA,0,31.0,0,1829,3877,19986
2022-06-05 04:00:00,2120,FLA,0,32.0,0,1722,3873,18177
2022-06-05 05:00:00,1772,FLA,0,31.0,0,1685,3874,16824
2022-06-05 06:00:00,1517,FLA,34,32.0,0,1673,3877,15087
2022-06-05 07:00:00,1430,FLA,0,32.0,0,1662,3881,13854
2022-06-05 08:00:00,1432,FLA,0,32.0,-2,1582,3884,13175
2022-06-05 09:00:00,1432,FLA,0,31.0,0,1419,3883,12881
2022-06-05 10:00:00,1405,FLA,0,32.0,0,1338,3882,12801
2022-06-05 11:00:00,1370,FLA,0,31.0,14,1378,3884,12878
2022-06-05 12:00:00,1429,FLA,0,32.0,590,1468,3882,13390
2022-06-05 13:00:00,1550,FLA,0,32.0,1761,1650,3882,14911
2022-06-05 14:00:00,1783,FLA,0,32.0,2605,1784,3879,17126
2022-06-05 15:00:00,2196,FLA,0,31.0,3171,1898,3880,19197
2022-06-05 16:00:00,2607,FLA,0,30.0,3674,1929,3880,21094
2022-06-05 17:00:00,2864,FLA,0,30.0,3820,2037,3877,23263
2022-06-05 18:00:00,3019,FLA,0,30.0,3860,2287,3877,25061
2022-06-05 19:00:00,3278,FLA,0,30.0,3724,2475,3875,26272
2022-06-05 20:00:00,3808,FLA,0,31.0,3701,2536,3872,26941
2022-06-05 21:00:00,3899,FLA,0,31.0,3247,2573,3870,27809
2022-06-05 22:00:00,4013,FLA,0,36.0,2705,2544,3868,28247
2022-06-05 23:00:00,3914,FLA,0,29.0,1892,2386,3864,28458
2022-06-06 00:00:00,3511,FLA,0,30.0,562,2288,3867,28465
2022-06-06 01:00:00,3006,FLA,0,30.0,6,2135,3867,27822
2022-06-06 02:00:00,2772,FLA,0,30.0,0,2001,3864,26514
2022-06-06 03:00:00,2502,FLA,0,31.0,0,1843,3865,24180
2022-06-06 04:00:00,2080,FLA,0,30.0,0,1712,3869,21643
2022-06-06 05:00:00,1750,FLA,0,30.0,0,1616,3862,19228
2022-06-06 06:00:00,1581,FLA,0,30.0,0,1595,3868,17436
2022-06-06 07:00:00,1483,FLA,0,31.0,0,1582,3867,16219
2022-06-06 08:00:00,1435,FLA,0,30.0,0,1537,3872,15497
