datetime,Coal,region,Hydro,Natural gas,Wind,Solar,Other,Petroleum,Nuclear
2022-06-01 00:00:00,211,CAL,2345,7284,1269,13289,891,77,2278
2022-06-01 01:00:00,211,CAL,3588,8687,1967,10031,727,76,2278
2022-06-01 02:00:00,209,CAL,4971,11281,2173,3448,1427,76,2279
2022-06-01 03:00:00,209,CAL,5171,12513,2808,250,2047,76,2279
2022-06-01 04:00:00,208,CAL,5119,12165,2716,111,2637,77,2278
2022-06-01 05:00:00,208,CAL,4175,11281,2420,30,1522,76,2277
2022-06-01 06:00:00,208,CAL,3245,10171,2176,33,1115,77,2278
2022-06-01 07:00:00,209,CAL,2617,9422,1849,33,892,76,2279
2022-06-01 08:00:00,208,CAL,2510,8681,2026,0,836,77,2280
2022-06-01 09:00:00,209,CAL,2368,7639,2192,0,694,76,2277
2022-06-01 10:00:00,209,CAL,2366,6566,2015,0,718,77,2278
2022-06-01 11:00:00,208,CAL,2437,6864,1816,0,725,77,2279
2022-06-01 12:00:00,208,CAL,2640,7244,1245,0,926,77,2277
2022-06-01 13:00:00,207,CAL,2577,7487,952,750,1491,77,2278
2022-06-01 14:00:00,207,CAL,1706,6506,891,6984,680,77,2278
2022-06-01 15:00:00,207,CAL,1050,5509,936,11947,614,76,2274
2022-06-01 16:00:00,207,CAL,908,5684,1081,13498,556,76,2277
2022-06-01 17:00:00,206,CAL,885,5667,923,14683,538,77,2277
2022-06-01 18:00:00,208,CAL,789,5744,747,15132,515,76,2277
2022-06-01 19:00:00,208,CAL,660,6151,607,15323,560,80,2276
2022-06-01 20:00:00,208,CAL,672,6453,536,15500,595,80,2278
2022-06-01 21:00:00,209,CAL,883,6612,507,15481,873,80,2277
2022-06-01 22:00:00,209,CAL,1442,8011,600,15127,875,80,2278
2022-06-01 23:00:00,209,CAL,2481,8980,823,14397,730,80,2278
2022-06-02 00:00:00,210,CAL,3110,10430,1069,13126,1038,80,2278
2022-06-02 01:00:00,210,CAL,4351,12170,1469,10029,916,80,2277
2022-06-02 02:00:00,209,CAL,5482,15189,2552,3637,1928,83,2278
2022-06-02 03:00:00,209,CAL,5814,16006,2627,289,1926,83,2278
2022-06-02 04:00:00,208,CAL,5213,15426,2868,116,2160,82,2278
2022-06-02 05:00:00,208,CAL,4213,14432,3325,59,1239,82,2277
2022-06-02 06:00:00,210,CAL,3385,12588,3384,19,1029,81,2280
