datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Petroleum,Solar,Other
2022-06-01 00:00:00,3257,NY,417,4470,0,12881,785,0,210
2022-06-01 01:00:00,3257,NY,379,4363,0,12361,653,0,208
2022-06-01 02:00:00,3252,NY,516,3587,0,11482,652,0,206
2022-06-01 03:00:00,3226,NY,567,3175,0,9589,581,0,206
2022-06-01 04:00:00,3212,NY,473,2959,0,8399,570,0,204
2022-06-01 05:00:00,3222,NY,514,2549,0,7177,571,0,203
2022-06-01 06:00:00,3149,NY,537,2406,0,6483,525,0,203
2022-06-01 07:00:00,3062,NY,483,2339,0,5928,514,0,194
2022-06-01 08:00:00,3020,NY,497,2161,0,5652,486,0,191
2022-06-01 09:00:00,3063,NY,510,2328,0,5270,553,0,186
2022-06-01 10:00:00,3128,NY,527,2345,0,5604,558,0,189
2022-06-01 11:00:00,3223,NY,483,2621,0,6628,569,0,194
2022-06-01 12:00:00,3206,NY,411,3059,0,7257,574,0,203
2022-06-01 13:00:00,3201,NY,361,3164,0,7364,578,0,213
2022-06-01 14:00:00,3219,NY,358,3242,0,7992,582,0,217
2022-06-01 15:00:00,3274,NY,375,3404,0,8381,606,0,228
2022-06-01 16:00:00,3278,NY,398,3456,0,8838,609,0,225
2022-06-01 17:00:00,3278,NY,486,3493,0,9254,589,0,220
2022-06-01 18:00:00,3281,NY,534,3436,0,9121,589,0,227
2022-06-01 19:00:00,3285,NY,530,3514,0,9278,589,0,211
2022-06-01 20:00:00,3285,NY,442,3492,0,9224,586,0,211
2022-06-01 21:00:00,3283,NY,309,3495,0,9140,585,0,207
2022-06-01 22:00:00,3282,NY,295,3512,0,9371,588,0,208
2022-06-01 23:00:00,3285,NY,223,3481,0,9418,587,0,202
2022-06-02 00:00:00,3265,NY,213,3398,0,9131,585,0,196
2022-06-02 01:00:00,3256,NY,213,3321,0,8648,584,0,197
2022-06-02 02:00:00,3244,NY,228,3388,0,7796,582,0,198
2022-06-02 03:00:00,3234,NY,184,3227,0,6773,581,0,198
2022-06-02 04:00:00,3236,NY,166,2904,0,5917,582,0,198
2022-06-02 05:00:00,3230,NY,197,2635,0,5089,581,0,198
2022-06-02 06:00:00,3248,NY,163,2539,0,4927,583,0,198
2022-06-02 07:00:00,3247,NY,113,2531,0,4565,582,0,199
2022-06-02 08:00:00,3247,NY,69,2503,0,4515,581,0,207
2022-06-02 09:00:00,3251,NY,81,2497,0,4609,582,0,206
2022-06-02 10:00:00,3258,NY,78,2478,0,5243,583,0,207
2022-06-02 11:00:00,3254,NY,77,2826,0,5735,583,0,206
2022-06-02 12:00:00,3235,NY,59,3170,0,6457,579,0,205
2022-06-02 13:00:00,3241,NY,61,3267,0,7144,580,0,212
2022-06-02 14:00:00,3238,NY,53,3258,0,7713,577,0,227
2022-06-02 15:00:00,3228,NY,82,3426,0,7968,586,0,234
2022-06-02 16:00:00,3231,NY,133,3590,0,8372,634,0,236
2022-06-02 17:00:00,3239,NY,151,3632,0,8681,567,0,235
2022-06-02 18:00:00,3245,NY,147,3561,0,8527,579,0,232
2022-06-02 19:00:00,3248,NY,180,3523,0,9106,591,0,236
2022-06-02 20:00:00,3250,NY,215,3515,0,9535,602,0,225
2022-06-02 21:00:00,3247,NY,230,3522,0,9873,590,0,217
2022-06-02 22:00:00,3249,NY,229,3557,0,9789,631,0,220
2022-06-02 23:00:00,3247,NY,175,3827,0,9349,658,0,214
2022-06-03 00:00:00,3245,NY,145,3670,0,9034,636,0,205
2022-06-03 01:00:00,3250,NY,143,3603,0,8718,580,0,204
2022-06-03 02:00:00,3243,NY,188,3617,0,7977,580,0,204
2022-06-03 03:00:00,3242,NY,200,3273,0,6963,583,0,203
2022-06-03 04:00:00,3245,NY,210,2727,0,6020,599,0,204
2022-06-03 05:00:00,3236,NY,300,2521,0,5173,577,0,201
2022-06-03 06:00:00,3237,NY,398,2501,0,4632,576,0,204
2022-06-03 07:00:00,3205,NY,555,2433,0,4397,568,0,202
2022-06-03 08:00:00,3148,NY,599,2382,0,4094,556,0,197
2022-06-03 09:00:00,3151,NY,617,2332,0,4107,559,0,201
2022-06-03 10:00:00,3170,NY,632,2390,0,4548,559,0,197
2022-06-03 11:00:00,3257,NY,475,2851,0,5322,573,0,206
2022-06-03 12:00:00,3253,NY,267,3349,0,5812,578,0,218
2022-06-03 13:00:00,3269,NY,231,3491,0,6322,582,0,228
2022-06-03 14:00:00,3262,NY,254,3572,0,6420,580,0,235
2022-06-03 15:00:00,3249,NY,273,3559,0,6746,574,0,233
2022-06-03 16:00:00,3247,NY,339,3687,0,6875,595,0,240
2022-06-03 17:00:00,3247,NY,275,3631,0,7038,581,0,237
2022-06-03 18:00:00,3249,NY,254,3650,0,7556,582,0,239
2022-06-03 19:00:00,3259,NY,292,3619,0,7771,583,0,243
2022-06-03 20:00:00,3262,NY,226,3688,0,7971,584,0,240
2022-06-03 21:00:00,3267,NY,395,3657,0,8071,585,0,239
2022-06-03 22:00:00,3271,NY,402,3626,0,8150,587,0,230
2022-06-03 23:00:00,3259,NY,326,3577,0,8197,585,0,219
2022-06-04 00:00:00,3245,NY,253,3649,0,7981,649,0,208
2022-06-04 01:00:00,3225,NY,151,3640,0,7819,611,0,204
2022-06-04 02:00:00,3230,NY,270,3475,0,7293,626,0,202
2022-06-04 03:00:00,3237,NY,447,3261,0,6437,592,0,201
2022-06-04 04:00:00,3227,NY,458,2716,0,5628,582,0,202
2022-06-04 05:00:00,3217,NY,492,2604,0,4793,580,0,201
2022-06-04 06:00:00,3226,NY,416,2327,0,4813,646,0,205
2022-06-04 07:00:00,3226,NY,324,2067,0,4240,618,0,203
2022-06-04 08:00:00,3211,NY,469,2254,0,3790,585,0,206
2022-06-04 09:00:00,3192,NY,531,2460,0,3656,582,0,200
2022-06-04 10:00:00,3195,NY,579,2172,0,3912,606,0,202
2022-06-04 11:00:00,3203,NY,637,2319,0,4167,592,0,205
2022-06-04 12:00:00,3206,NY,590,2566,0,4481,595,0,210
2022-06-04 13:00:00,3199,NY,667,3086,0,4643,578,0,229
2022-06-04 14:00:00,3192,NY,784,2765,0,5026,589,0,234
2022-06-04 15:00:00,3188,NY,888,2843,0,5042,577,0,237
2022-06-04 16:00:00,3189,NY,885,2797,0,5228,583,0,238
2022-06-04 17:00:00,3200,NY,926,2841,0,5326,583,0,244
2022-06-04 18:00:00,3200,NY,965,2879,0,5445,581,0,244
2022-06-04 19:00:00,3196,NY,930,3026,0,5657,579,0,243
2022-06-04 20:00:00,3200,NY,996,3036,0,5859,578,0,239
2022-06-04 21:00:00,3208,NY,971,2893,0,6293,614,0,235
2022-06-04 22:00:00,3216,NY,876,2984,0,6711,653,0,230
2022-06-04 23:00:00,3230,NY,783,3178,0,6668,662,0,220
2022-06-05 00:00:00,3243,NY,654,3271,0,6669,655,0,208
2022-06-05 01:00:00,3249,NY,596,3164,0,6596,646,0,199
2022-06-05 02:00:00,3254,NY,553,3156,0,6294,635,0,195
2022-06-05 03:00:00,3241,NY,619,3268,0,5755,651,0,190
2022-06-05 04:00:00,3210,NY,454,2889,0,5097,639,0,189
2022-06-05 05:00:00,3207,NY,425,2665,0,4462,352,0,187
2022-06-05 06:00:00,3216,NY,457,2360,0,3884,306,0,189
2022-06-05 07:00:00,3125,NY,409,2204,0,3602,288,0,181
2022-06-05 08:00:00,3124,NY,371,2182,0,3458,286,0,182
2022-06-05 09:00:00,3132,NY,394,2092,0,3542,287,0,183
2022-06-05 10:00:00,3220,NY,280,1947,0,3537,295,0,190
2022-06-05 11:00:00,3217,NY,338,2010,0,3685,294,0,196
2022-06-05 12:00:00,3199,NY,273,2251,0,4017,290,0,205
2022-06-05 13:00:00,3176,NY,269,2812,0,4041,292,0,217
2022-06-05 14:00:00,3178,NY,258,2897,0,4116,298,0,221
2022-06-05 15:00:00,3180,NY,331,2709,0,3858,289,0,226
2022-06-05 16:00:00,3197,NY,450,2772,0,3703,288,0,232
2022-06-05 17:00:00,3175,NY,512,2792,0,3945,345,0,231
2022-06-05 18:00:00,3178,NY,509,2844,0,4140,442,0,231
2022-06-05 19:00:00,3188,NY,474,3007,0,4324,595,0,228
2022-06-05 20:00:00,3201,NY,414,3163,0,4722,601,0,227
2022-06-05 21:00:00,3239,NY,356,3053,0,5764,607,0,221
2022-06-05 22:00:00,3251,NY,284,3141,0,6296,636,0,217
2022-06-05 23:00:00,3254,NY,186,3236,0,6606,663,0,199
2022-06-06 00:00:00,3260,NY,72,3247,0,6664,670,0,194
2022-06-06 01:00:00,3274,NY,53,3183,0,6594,669,0,191
2022-06-06 02:00:00,3260,NY,89,3176,0,6504,664,0,192
2022-06-06 03:00:00,3241,NY,78,3221,0,5377,645,0,191
2022-06-06 04:00:00,3239,NY,44,2446,0,4955,650,0,189
2022-06-06 05:00:00,3236,NY,48,2071,0,4538,641,0,190
2022-06-06 06:00:00,3113,NY,81,2038,0,4520,575,0,183
2022-06-06 07:00:00,2956,NY,109,2047,0,4334,546,0,173
2022-06-06 08:00:00,2963,NY,120,2163,0,4486,547,0,171
2022-06-06 09:00:00,2980,NY,124,2099,0,4438,550,0,170
2022-06-06 10:00:00,3144,NY,148,2302,0,4824,580,0,182
2022-06-06 11:00:00,3223,NY,169,2875,0,5369,601,0,188
2022-06-06 12:00:00,3219,NY,219,2939,0,5593,590,0,203
2022-06-06 13:00:00,3214,NY,197,3027,0,5724,588,0,219
2022-06-06 14:00:00,3211,NY,140,3160,0,5729,606,0,220
2022-06-06 15:00:00,3191,NY,121,3179,0,5868,583,0,221
2022-06-06 16:00:00,3217,NY,138,3220,0,6313,640,0,230
2022-06-06 17:00:00,3218,NY,163,3206,0,6901,652,0,225
2022-06-06 18:00:00,3220,NY,179,3169,0,7233,652,0,218
2022-06-06 19:00:00,3227,NY,230,3174,0,7357,659,0,226
2022-06-06 20:00:00,3229,NY,294,3308,0,8037,657,0,217
2022-06-06 21:00:00,3228,NY,376,3468,0,8108,661,0,211
2022-06-06 22:00:00,3252,NY,441,3542,0,8778,665,0,205
2022-06-06 23:00:00,3253,NY,449,3567,0,8658,667,0,195
2022-06-07 00:00:00,3250,NY,520,3705,0,7795,666,0,190
2022-06-07 01:00:00,3233,NY,732,3642,0,7540,664,0,187
2022-06-07 02:00:00,3226,NY,907,3333,0,7040,643,0,188
2022-06-07 03:00:00,3216,NY,907,2951,0,6239,602,0,187
2022-06-07 04:00:00,3212,NY,791,2563,0,5865,596,0,185
2022-06-07 05:00:00,3208,NY,668,2299,0,5558,595,0,186
2022-06-07 06:00:00,3205,NY,737,2117,0,4996,583,0,186
2022-06-07 07:00:00,3128,NY,776,2067,0,4671,569,0,181
2022-06-07 08:00:00,3121,NY,736,2052,0,4631,569,0,177
2022-06-07 09:00:00,3120,NY,844,2027,0,4580,571,0,173
2022-06-07 10:00:00,3130,NY,890,2090,0,4906,572,0,173
2022-06-07 11:00:00,3208,NY,1004,2390,0,5450,589,0,176
2022-06-07 12:00:00,3210,NY,991,2888,0,6351,581,0,189
2022-06-07 13:00:00,3204,NY,1026,3043,0,6445,579,0,209
2022-06-07 14:00:00,3191,NY,1067,3182,0,6489,584,0,219
2022-06-07 15:00:00,3193,NY,1155,3362,0,6889,581,0,224
2022-06-07 16:00:00,3194,NY,1118,3421,0,7183,579,0,223
2022-06-07 17:00:00,3200,NY,1191,3342,0,7545,578,0,222
2022-06-07 18:00:00,3215,NY,1235,3372,0,7874,575,0,220
2022-06-07 19:00:00,3216,NY,1153,3527,0,7891,575,0,221
2022-06-07 20:00:00,3223,NY,1097,3615,0,8185,626,0,220
2022-06-07 21:00:00,3235,NY,1050,3693,0,8626,624,0,204
2022-06-07 22:00:00,3233,NY,1042,3676,0,8457,638,0,191
2022-06-07 23:00:00,3229,NY,1042,3576,0,7816,641,0,192
2022-06-08 00:00:00,3231,NY,1121,3489,0,7584,652,0,188
2022-06-08 01:00:00,3224,NY,1032,3276,0,7535,656,0,188
2022-06-08 02:00:00,3227,NY,903,3307,0,7402,600,0,187
2022-06-08 03:00:00,3235,NY,753,2961,0,6611,584,0,188
2022-06-08 04:00:00,3237,NY,751,2448,0,5694,585,0,188
2022-06-08 05:00:00,3177,NY,657,2105,0,4990,573,0,183
2022-06-08 06:00:00,3151,NY,611,1994,0,4616,548,0,196
2022-06-08 07:00:00,3074,NY,580,1886,0,4531,529,0,192
2022-06-08 08:00:00,3110,NY,622,1981,0,4608,507,0,194
2022-06-08 09:00:00,3124,NY,679,2064,0,4758,560,0,195
2022-06-08 10:00:00,3162,NY,660,2115,0,5148,567,0,199
2022-06-08 11:00:00,3241,NY,605,2451,0,5918,582,0,204
2022-06-08 12:00:00,3231,NY,449,2995,0,6981,581,0,211
2022-06-08 13:00:00,3225,NY,333,3237,0,7778,582,0,219
2022-06-08 14:00:00,3236,NY,332,3224,0,8026,592,0,222
2022-06-08 15:00:00,3241,NY,261,3228,0,8468,593,0,225
2022-06-08 16:00:00,3239,NY,250,3307,0,8760,594,0,221
2022-06-08 17:00:00,3239,NY,337,3311,0,8733,596,0,221
2022-06-08 18:00:00,3238,NY,198,3290,0,8822,648,0,228
2022-06-08 19:00:00,3250,NY,266,3368,0,9150,599,0,235
2022-06-08 20:00:00,3247,NY,243,3486,0,9669,587,0,235
2022-06-08 21:00:00,3257,NY,179,3593,0,10133,658,0,237
2022-06-08 22:00:00,3272,NY,131,3933,0,10784,771,0,234
2022-06-08 23:00:00,3272,NY,108,3980,0,10802,799,0,219
2022-06-09 00:00:00,3275,NY,66,3785,0,10630,689,0,208
2022-06-09 01:00:00,3273,NY,67,3739,0,9770,678,0,205
2022-06-09 02:00:00,3261,NY,105,3478,0,8985,692,0,207
2022-06-09 03:00:00,3253,NY,139,3165,0,7681,645,0,208
2022-06-09 04:00:00,3254,NY,138,2629,0,6990,590,0,208
2022-06-09 05:00:00,3256,NY,257,2196,0,6424,591,0,209
2022-06-09 06:00:00,3249,NY,379,2181,0,5561,589,0,208
