datetime,Wind,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal,Hydro
2022-06-01 00:00:00,3748,NW,1142,991,4095,60,5203,6998,19683
2022-06-01 01:00:00,3892,NW,1143,977,3750,60,5491,6856,19893
2022-06-01 02:00:00,3920,NW,1143,988,2274,61,6537,6951,20306
2022-06-01 03:00:00,3852,NW,1143,1024,448,60,7484,6993,20706
2022-06-01 04:00:00,3706,NW,1144,991,32,59,7235,6911,20815
2022-06-01 05:00:00,3364,NW,1146,907,24,62,6924,6734,20676
2022-06-01 06:00:00,3196,NW,1148,950,22,61,6345,6508,19982
2022-06-01 07:00:00,2879,NW,1147,866,-1,60,5840,6563,19463
2022-06-01 08:00:00,2289,NW,1147,884,-3,60,5448,6645,18762
2022-06-01 09:00:00,2217,NW,1150,899,-1,60,5002,6476,18278
2022-06-01 10:00:00,2224,NW,1152,852,-3,58,5029,6216,18122
2022-06-01 11:00:00,2001,NW,1151,854,-2,60,5170,6829,18093
2022-06-01 12:00:00,1738,NW,1151,898,-2,61,5472,6987,18566
2022-06-01 13:00:00,1873,NW,1152,904,222,60,5801,7021,19153
2022-06-01 14:00:00,1865,NW,1152,898,2029,61,5252,6736,19118
2022-06-01 15:00:00,1755,NW,1149,919,3901,60,5223,6334,19018
2022-06-01 16:00:00,1614,NW,1148,928,4483,61,5241,6382,18771
2022-06-01 17:00:00,1523,NW,1145,827,4648,61,5009,6112,18829
2022-06-01 18:00:00,1552,NW,1145,807,4850,60,4871,5744,18748
2022-06-01 19:00:00,1440,NW,1144,859,5035,60,4683,6095,18725
2022-06-01 20:00:00,1268,NW,1142,872,4946,60,4745,6634,18488
2022-06-01 21:00:00,1402,NW,1142,871,4944,58,4779,6987,19032
2022-06-01 22:00:00,1518,NW,1142,850,4798,60,4830,7121,19382
2022-06-01 23:00:00,1648,NW,1141,861,4602,60,5254,7110,19368
2022-06-02 00:00:00,1748,NW,1141,775,4292,60,5749,7267,19526
2022-06-02 01:00:00,1763,NW,1140,761,3806,59,6226,7400,20050
2022-06-02 02:00:00,1630,NW,1140,776,2021,62,7593,7482,20289
2022-06-02 03:00:00,1438,NW,1139,919,276,59,8459,7465,20315
2022-06-02 04:00:00,1448,NW,1138,924,28,60,8446,7460,20381
2022-06-02 05:00:00,1410,NW,1141,860,26,60,7894,7477,20394
2022-06-02 06:00:00,1349,NW,1142,840,23,59,7236,7509,19315
2022-06-02 07:00:00,1724,NW,1144,807,-3,62,6314,7447,18257
2022-06-02 08:00:00,1823,NW,1145,826,-1,61,5865,7323,18352
2022-06-02 09:00:00,1784,NW,1145,846,-1,60,5551,7398,17845
2022-06-02 10:00:00,1454,NW,1144,890,-4,61,5364,7580,17621
2022-06-02 11:00:00,1267,NW,1145,895,0,59,5468,7788,17395
2022-06-02 12:00:00,1342,NW,1146,968,0,60,5713,7753,18097
2022-06-02 13:00:00,1306,NW,1145,944,283,61,5968,7766,18698
2022-06-02 14:00:00,1268,NW,1143,961,2061,61,5020,7730,18935
2022-06-02 15:00:00,1209,NW,1144,981,3706,61,5027,7653,18893
2022-06-02 16:00:00,1187,NW,1141,891,4380,61,4798,7688,18876
2022-06-02 17:00:00,1436,NW,1140,894,4786,61,4548,7698,18993
2022-06-02 18:00:00,1659,NW,1137,882,4846,60,4513,7522,19102
2022-06-02 19:00:00,1941,NW,1136,873,4996,60,4563,7285,19379
2022-06-02 20:00:00,2204,NW,1137,863,4919,58,4738,7325,19142
2022-06-02 21:00:00,2308,NW,1136,853,4701,60,5159,7257,19324
