datetime,Coal,region,Wind,Nuclear,Hydro,Solar,Other,Petroleum,Natural gas
2022-06-01 00:00:00,13272,CENT,11535,2006,2454,183,187,118,10134
2022-06-01 01:00:00,12785,CENT,12258,2006,2370,137,188,56,8547
2022-06-01 02:00:00,13011,CENT,12248,2005,2194,23,190,32,7930
2022-06-01 03:00:00,12648,CENT,12747,2005,1984,0,194,10,6907
2022-06-01 04:00:00,12094,CENT,13971,2005,1290,0,197,0,5760
2022-06-01 05:00:00,11133,CENT,13656,2005,1182,0,197,0,4540
2022-06-01 06:00:00,10112,CENT,13622,2004,1085,0,200,0,3528
2022-06-01 07:00:00,9192,CENT,13691,2005,1083,0,198,0,3045
2022-06-01 08:00:00,9015,CENT,13850,2005,1084,0,200,0,2842
2022-06-01 09:00:00,8535,CENT,13894,2005,1084,0,199,0,2875
2022-06-01 10:00:00,8706,CENT,13798,2005,1141,0,201,0,2901
2022-06-01 11:00:00,9228,CENT,13962,2005,1324,0,200,0,3115
2022-06-01 12:00:00,9908,CENT,12689,2006,1710,0,201,0,3839
2022-06-01 13:00:00,11222,CENT,11392,2005,1903,9,201,0,4363
2022-06-01 14:00:00,12328,CENT,10271,2006,2041,48,201,0,5307
2022-06-01 15:00:00,12998,CENT,9462,2006,2000,134,204,0,5797
2022-06-01 16:00:00,12999,CENT,10402,2006,2240,60,202,0,6415
2022-06-01 17:00:00,12235,CENT,10955,2007,2473,97,203,0,7104
2022-06-01 18:00:00,12532,CENT,11033,2007,2388,97,203,0,7539
2022-06-01 19:00:00,12718,CENT,11590,2008,2222,102,204,0,7811
2022-06-01 20:00:00,13054,CENT,11367,2007,2375,70,203,0,7908
2022-06-01 21:00:00,13042,CENT,11683,2009,2396,62,201,0,7414
2022-06-01 22:00:00,12710,CENT,12519,2008,2427,63,201,0,7074
2022-06-01 23:00:00,11945,CENT,12807,2008,2447,39,200,0,6803
2022-06-02 00:00:00,12167,CENT,12052,2008,2184,67,201,0,6500
2022-06-02 01:00:00,12948,CENT,10119,2008,2020,28,201,0,6679
2022-06-02 02:00:00,13904,CENT,7823,2008,1872,6,201,0,7173
2022-06-02 03:00:00,14472,CENT,6752,2007,1719,0,197,0,6931
2022-06-02 04:00:00,14693,CENT,6300,2008,1230,0,196,0,6469
2022-06-02 05:00:00,14358,CENT,5993,2007,1131,0,197,0,5402
2022-06-02 06:00:00,13884,CENT,6084,2008,1091,0,199,0,4358
2022-06-02 07:00:00,13879,CENT,5885,2008,1091,0,199,0,3931
2022-06-02 08:00:00,13805,CENT,5469,2008,1050,0,198,0,3786
2022-06-02 09:00:00,13627,CENT,5520,2010,1074,0,198,0,3347
2022-06-02 10:00:00,13686,CENT,5854,2011,1070,0,200,0,3078
2022-06-02 11:00:00,13450,CENT,5829,2011,1174,0,201,0,3961
2022-06-02 12:00:00,13182,CENT,5644,2011,1715,0,199,0,4865
2022-06-02 13:00:00,13369,CENT,5109,2012,1948,1,198,0,6083
2022-06-02 14:00:00,13729,CENT,3401,2012,1950,5,198,0,7506
2022-06-02 15:00:00,13706,CENT,3300,2011,1987,21,196,3,7965
2022-06-02 16:00:00,13481,CENT,3098,2011,2075,39,204,1,9105
2022-06-02 17:00:00,13718,CENT,2687,2011,2133,58,198,0,9916
2022-06-02 18:00:00,13791,CENT,3176,2010,2082,96,197,0,10232
2022-06-02 19:00:00,13704,CENT,3418,2010,2233,157,195,16,11338
2022-06-02 20:00:00,13230,CENT,3489,2009,2715,159,195,48,11874
2022-06-02 21:00:00,13488,CENT,3678,2008,2831,149,193,54,12014
2022-06-02 22:00:00,13729,CENT,3830,2007,2927,189,194,85,12555
2022-06-02 23:00:00,13993,CENT,3996,2006,2894,181,197,64,12344
2022-06-03 00:00:00,14290,CENT,3838,2006,2740,143,197,58,11940
2022-06-03 01:00:00,14293,CENT,3944,2006,2463,44,203,24,11451
2022-06-03 02:00:00,14676,CENT,4202,2005,2255,6,203,0,10063
2022-06-03 03:00:00,15017,CENT,4367,2006,2007,0,205,0,8998
2022-06-03 04:00:00,14986,CENT,4730,2006,1368,0,208,0,7161
2022-06-03 05:00:00,14812,CENT,5044,2007,1242,0,206,0,5374
2022-06-03 06:00:00,14152,CENT,5200,2007,1268,0,207,0,4232
2022-06-03 07:00:00,13633,CENT,5298,2007,1268,0,208,0,3864
2022-06-03 08:00:00,12972,CENT,5340,2008,1256,0,208,0,3379
2022-06-03 09:00:00,13304,CENT,4724,2011,1297,0,208,0,3566
2022-06-03 10:00:00,13419,CENT,4436,2010,1308,0,208,0,3660
2022-06-03 11:00:00,12742,CENT,5129,2013,1403,0,209,0,4177
2022-06-03 12:00:00,13195,CENT,4730,2014,1891,0,209,0,4708
2022-06-03 13:00:00,13700,CENT,4172,2013,2085,17,208,0,5703
2022-06-03 14:00:00,14248,CENT,2655,2013,2199,62,208,0,7256
2022-06-03 15:00:00,14550,CENT,2555,2011,2285,123,207,0,7765
2022-06-03 16:00:00,14928,CENT,2921,2011,2330,121,207,0,8046
2022-06-03 17:00:00,15417,CENT,3516,2010,2273,164,207,0,8146
2022-06-03 18:00:00,15345,CENT,4706,2010,2203,184,206,0,8267
2022-06-03 19:00:00,15083,CENT,5892,2009,2378,179,205,4,8409
2022-06-03 20:00:00,14858,CENT,6721,2007,2507,148,205,60,8917
2022-06-03 21:00:00,14744,CENT,7461,2006,2552,96,204,193,9428
2022-06-03 22:00:00,14743,CENT,8059,2005,2624,92,205,148,9345
2022-06-03 23:00:00,14585,CENT,8885,2006,2542,146,205,89,8512
2022-06-04 00:00:00,14274,CENT,9875,2005,2467,134,207,1,7581
2022-06-04 01:00:00,14264,CENT,10073,2005,2345,20,206,0,6772
2022-06-04 02:00:00,14419,CENT,10387,2005,2262,5,206,0,5205
2022-06-04 03:00:00,14127,CENT,11846,1960,1951,0,206,0,3483
2022-06-04 04:00:00,13561,CENT,12710,1877,1510,0,206,0,2747
2022-06-04 05:00:00,12352,CENT,13152,1883,1291,0,207,0,2162
2022-06-04 06:00:00,11330,CENT,13214,1907,1290,0,208,0,1881
2022-06-04 07:00:00,11509,CENT,12438,1937,1294,0,208,0,1662
2022-06-04 08:00:00,10683,CENT,12296,1969,1297,0,208,0,1690
2022-06-04 09:00:00,10610,CENT,12053,1988,1288,0,207,0,1757
2022-06-04 10:00:00,10747,CENT,11664,1995,1286,0,207,0,1708
2022-06-04 11:00:00,10639,CENT,11657,1998,1388,0,209,0,1728
2022-06-04 12:00:00,10565,CENT,11096,2000,1658,0,176,0,1714
2022-06-04 13:00:00,10906,CENT,10466,2002,1825,30,73,0,1827
2022-06-04 14:00:00,12724,CENT,8509,2002,1802,154,51,0,2117
2022-06-04 15:00:00,14017,CENT,7788,2004,2004,170,50,0,2612
2022-06-04 16:00:00,13987,CENT,8692,2011,2139,204,50,0,2741
2022-06-04 17:00:00,14376,CENT,8901,2011,2167,198,49,0,3547
2022-06-04 18:00:00,14731,CENT,9229,2011,2231,208,49,0,4290
2022-06-04 19:00:00,14660,CENT,9377,2010,2216,215,72,0,4963
2022-06-04 20:00:00,15220,CENT,9061,2010,2280,214,114,0,5638
2022-06-04 21:00:00,15849,CENT,8881,2009,2321,213,140,0,5926
2022-06-04 22:00:00,16085,CENT,9093,2010,2318,179,143,0,6180
2022-06-04 23:00:00,15962,CENT,9902,2010,2310,200,175,0,5882
2022-06-05 00:00:00,16152,CENT,10462,2009,2231,154,203,0,5855
2022-06-05 01:00:00,15124,CENT,11496,2009,2152,83,216,0,5135
2022-06-05 02:00:00,14660,CENT,12272,2009,2046,10,203,0,4347
2022-06-05 03:00:00,13171,CENT,14127,2008,1719,0,201,0,3405
2022-06-05 04:00:00,12442,CENT,14792,2008,1453,0,203,0,2748
2022-06-05 05:00:00,11726,CENT,14687,2009,1310,0,201,0,2171
2022-06-05 06:00:00,10252,CENT,14450,2009,1295,0,203,0,2051
2022-06-05 07:00:00,9660,CENT,13892,2009,1296,0,201,0,2085
2022-06-05 08:00:00,9068,CENT,13449,2009,1293,0,201,0,2058
2022-06-05 09:00:00,9009,CENT,12996,2009,1303,0,204,0,2117
2022-06-05 10:00:00,9765,CENT,12198,2011,1303,0,205,0,2050
2022-06-05 11:00:00,10041,CENT,11892,2011,1435,0,201,0,2048
2022-06-05 12:00:00,9970,CENT,11477,2011,1651,0,202,0,1794
2022-06-05 13:00:00,9725,CENT,11182,2011,1811,26,202,0,1958
2022-06-05 14:00:00,10513,CENT,10870,2012,1825,132,199,0,2236
2022-06-05 15:00:00,11170,CENT,10953,2014,2027,171,199,0,2689
2022-06-05 16:00:00,11353,CENT,11084,2015,2140,181,198,0,3301
2022-06-05 17:00:00,12234,CENT,10679,2015,2091,195,199,0,4234
2022-06-05 18:00:00,13348,CENT,10784,2014,2165,209,199,0,4320
2022-06-05 19:00:00,13646,CENT,11369,2013,2215,199,200,0,4502
2022-06-05 20:00:00,13964,CENT,11995,2010,2340,204,199,0,4509
2022-06-05 21:00:00,13838,CENT,12536,2008,2397,201,200,0,4921
2022-06-05 22:00:00,14131,CENT,12548,2008,2372,174,199,0,4851
