datetime,Wind,region,Coal,Natural gas,Nuclear,Petroleum,Other,Solar,Hydro
2022-06-01 00:00:00,301,NE,0,10473,2089,0,601,23,1285
2022-06-01 01:00:00,307,NE,2,10138,2094,0,599,1,936
2022-06-01 02:00:00,370,NE,1,9345,2081,0,594,0,726
2022-06-01 03:00:00,386,NE,1,7942,2056,0,588,0,481
2022-06-01 04:00:00,301,NE,0,6294,2075,0,598,0,451
2022-06-01 05:00:00,278,NE,0,5309,2075,0,587,0,434
2022-06-01 06:00:00,230,NE,0,5029,2100,0,583,0,425
2022-06-01 07:00:00,246,NE,1,5096,2095,0,595,0,414
2022-06-01 08:00:00,281,NE,0,5018,2110,0,592,0,414
2022-06-01 09:00:00,272,NE,0,5092,2109,0,596,0,422
2022-06-01 10:00:00,241,NE,0,5350,2103,0,608,5,419
2022-06-01 11:00:00,195,NE,0,6165,2121,0,601,26,490
2022-06-01 12:00:00,128,NE,0,6855,2136,0,600,75,548
2022-06-01 13:00:00,134,NE,0,7148,2129,8,591,146,551
2022-06-01 14:00:00,146,NE,0,7111,2114,0,601,223,543
2022-06-01 15:00:00,130,NE,0,7041,2108,3,575,276,578
2022-06-01 16:00:00,125,NE,0,7377,2117,11,582,287,552
2022-06-01 17:00:00,129,NE,1,7693,2120,0,579,276,497
2022-06-01 18:00:00,129,NE,0,8225,2130,0,581,265,511
2022-06-01 19:00:00,105,NE,0,8378,2107,0,590,201,641
2022-06-01 20:00:00,88,NE,0,8086,2089,0,591,201,590
2022-06-01 21:00:00,72,NE,0,8203,2121,0,612,149,766
2022-06-01 22:00:00,69,NE,0,8367,2112,0,609,111,766
2022-06-01 23:00:00,65,NE,0,8422,2107,0,610,61,954
2022-06-02 00:00:00,68,NE,0,8406,2106,0,596,14,920
2022-06-02 01:00:00,63,NE,0,8568,2108,0,597,0,795
2022-06-02 02:00:00,108,NE,0,7989,2082,0,590,0,614
2022-06-02 03:00:00,147,NE,1,6850,2076,0,598,0,428
2022-06-02 04:00:00,130,NE,0,5763,2068,0,591,0,407
2022-06-02 05:00:00,112,NE,0,5330,2105,0,606,0,429
2022-06-02 06:00:00,128,NE,0,5407,2096,0,597,0,510
2022-06-02 07:00:00,117,NE,0,5254,2093,0,585,0,471
2022-06-02 08:00:00,129,NE,0,5196,2100,0,587,0,404
2022-06-02 09:00:00,162,NE,0,5380,2098,0,586,0,394
2022-06-02 10:00:00,147,NE,0,5826,2130,0,580,1,414
2022-06-02 11:00:00,114,NE,0,6881,2126,0,564,26,476
2022-06-02 12:00:00,54,NE,0,7614,2115,0,571,77,694
2022-06-02 13:00:00,11,NE,0,7607,2088,0,567,143,881
2022-06-02 14:00:00,12,NE,0,7546,2028,2,562,200,888
2022-06-02 15:00:00,10,NE,0,7467,2026,1,584,271,605
2022-06-02 16:00:00,17,NE,0,7535,2045,0,571,353,479
2022-06-02 17:00:00,24,NE,0,7927,2080,0,587,370,483
2022-06-02 18:00:00,17,NE,0,8819,2095,53,595,313,588
2022-06-02 19:00:00,16,NE,0,8426,2096,19,594,269,585
2022-06-02 20:00:00,27,NE,0,8511,2104,0,587,249,742
2022-06-02 21:00:00,49,NE,0,8830,2110,0,591,200,977
2022-06-02 22:00:00,54,NE,0,9091,2105,0,592,102,1074
2022-06-02 23:00:00,43,NE,0,8927,2098,0,593,52,1253
2022-06-03 00:00:00,61,NE,0,8851,2102,0,580,22,1061
2022-06-03 01:00:00,72,NE,0,8863,2102,0,572,2,1009
2022-06-03 02:00:00,94,NE,0,8506,2083,0,569,0,668
2022-06-03 03:00:00,132,NE,0,7482,2087,0,578,0,498
2022-06-03 04:00:00,119,NE,0,6456,2071,0,567,0,476
2022-06-03 05:00:00,130,NE,0,6122,2100,0,574,0,424
2022-06-03 06:00:00,139,NE,0,5982,2091,0,571,0,404
2022-06-03 07:00:00,115,NE,0,5675,2093,0,569,0,400
2022-06-03 08:00:00,113,NE,0,5522,2104,0,575,0,400
2022-06-03 09:00:00,114,NE,0,5726,2120,0,584,0,403
2022-06-03 10:00:00,136,NE,0,6229,2120,0,580,2,426
2022-06-03 11:00:00,122,NE,0,7082,2127,0,588,22,443
2022-06-03 12:00:00,101,NE,0,8059,2142,0,589,45,472
2022-06-03 13:00:00,82,NE,0,8414,2119,0,577,69,622
2022-06-03 14:00:00,79,NE,0,8403,2106,0,564,106,729
2022-06-03 15:00:00,128,NE,0,8185,2094,0,540,135,821
2022-06-03 16:00:00,132,NE,0,7771,2094,0,540,212,870
2022-06-03 17:00:00,99,NE,0,7728,2090,0,560,278,526
2022-06-03 18:00:00,102,NE,0,7549,2105,0,556,268,487
2022-06-03 19:00:00,96,NE,0,7631,2117,0,549,288,513
2022-06-03 20:00:00,105,NE,0,7636,2110,0,554,274,661
2022-06-03 21:00:00,98,NE,0,8029,2127,0,558,238,800
2022-06-03 22:00:00,81,NE,0,8486,2202,0,556,157,1014
2022-06-03 23:00:00,52,NE,0,8583,2221,0,555,78,1161
2022-06-04 00:00:00,36,NE,0,8210,2220,0,561,25,994
2022-06-04 01:00:00,36,NE,0,8078,2239,0,579,4,915
2022-06-04 02:00:00,46,NE,0,7895,2225,0,581,0,800
2022-06-04 03:00:00,48,NE,0,7204,2118,0,597,0,505
2022-06-04 04:00:00,39,NE,0,6318,2094,0,597,0,526
2022-06-04 05:00:00,36,NE,0,5692,2086,0,587,0,513
2022-06-04 06:00:00,27,NE,0,5504,2106,0,612,0,541
2022-06-04 07:00:00,23,NE,0,5627,2112,2,603,0,569
2022-06-04 08:00:00,37,NE,0,5296,2197,0,598,0,467
2022-06-04 09:00:00,41,NE,0,5211,2241,0,595,0,469
2022-06-04 10:00:00,28,NE,0,5122,2262,0,604,7,503
2022-06-04 11:00:00,21,NE,0,4897,2307,0,614,37,606
2022-06-04 12:00:00,11,NE,0,5026,2344,27,597,78,656
2022-06-04 13:00:00,11,NE,0,5181,2369,0,598,141,865
2022-06-04 14:00:00,17,NE,0,5289,2361,29,581,254,942
2022-06-04 15:00:00,26,NE,0,5181,2352,49,567,340,858
2022-06-04 16:00:00,38,NE,0,5314,2344,17,564,389,699
2022-06-04 17:00:00,77,NE,0,5548,2357,28,574,403,536
2022-06-04 18:00:00,128,NE,0,5814,2367,28,584,408,514
2022-06-04 19:00:00,169,NE,0,5967,2450,12,578,399,519
2022-06-04 20:00:00,220,NE,0,6410,2537,0,595,385,527
2022-06-04 21:00:00,346,NE,0,6951,2516,0,590,288,691
2022-06-04 22:00:00,415,NE,0,7081,2554,0,591,188,1109
2022-06-04 23:00:00,457,NE,0,7405,2578,0,604,80,1430
2022-06-05 00:00:00,404,NE,0,7509,2552,0,603,21,1272
2022-06-05 01:00:00,357,NE,0,7446,2561,0,599,2,1057
2022-06-05 02:00:00,367,NE,0,7360,2538,0,592,0,839
2022-06-05 03:00:00,378,NE,0,6444,2522,0,596,0,656
2022-06-05 04:00:00,319,NE,1,5589,2537,0,600,0,592
2022-06-05 05:00:00,319,NE,0,5005,2610,0,618,0,505
2022-06-05 06:00:00,337,NE,0,4590,2645,0,614,0,490
2022-06-05 07:00:00,401,NE,0,4443,2678,0,614,0,496
2022-06-05 08:00:00,434,NE,0,3976,2714,0,615,0,503
2022-06-05 09:00:00,403,NE,0,3948,2778,0,617,0,489
2022-06-05 10:00:00,385,NE,0,3959,2819,0,616,5,473
2022-06-05 11:00:00,363,NE,0,3685,2858,0,611,44,596
2022-06-05 12:00:00,281,NE,0,3796,2896,0,615,152,599
2022-06-05 13:00:00,278,NE,2,3662,2934,0,609,303,601
2022-06-05 14:00:00,331,NE,0,3785,2950,0,608,419,605
2022-06-05 15:00:00,401,NE,0,4119,2958,0,609,461,569
2022-06-05 16:00:00,431,NE,0,4189,2954,0,610,464,532
2022-06-05 17:00:00,481,NE,0,4143,2962,0,608,448,531
2022-06-05 18:00:00,468,NE,0,4182,2954,0,598,451,480
2022-06-05 19:00:00,453,NE,0,4639,2972,0,583,447,473
2022-06-05 20:00:00,464,NE,0,5268,2974,0,593,404,477
2022-06-05 21:00:00,481,NE,0,5996,2972,0,590,341,532
2022-06-05 22:00:00,415,NE,0,6700,2976,0,586,222,1037
2022-06-05 23:00:00,338,NE,0,7147,2978,0,604,103,1321
2022-06-06 00:00:00,224,NE,0,7193,2964,0,611,27,1429
2022-06-06 01:00:00,197,NE,0,7145,2969,0,608,3,1195
2022-06-06 02:00:00,199,NE,0,6924,2950,0,602,0,695
2022-06-06 03:00:00,169,NE,0,6056,2963,0,591,0,515
2022-06-06 04:00:00,149,NE,0,5149,2991,0,597,0,500
2022-06-06 05:00:00,128,NE,0,5029,2994,0,587,0,680
2022-06-06 06:00:00,133,NE,0,4641,3029,0,584,0,565
2022-06-06 07:00:00,142,NE,0,4783,3070,0,592,0,445
2022-06-06 08:00:00,197,NE,0,4697,3108,0,575,0,423
2022-06-06 09:00:00,213,NE,0,4662,3147,0,575,0,421
2022-06-06 10:00:00,216,NE,0,4762,3190,0,588,4,424
2022-06-06 11:00:00,184,NE,0,5413,3236,0,601,39,583
2022-06-06 12:00:00,128,NE,0,5641,3223,0,576,139,605
2022-06-06 13:00:00,130,NE,0,5734,3229,11,566,274,473
