datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2019-08-01 00:00:00,14652,NW,3305,19416,1457,695,45,1135,12959
2019-08-01 01:00:00,14166,NW,3855,19519,1370,688,49,1134,12585
2019-08-01 02:00:00,14041,NW,4177,19594,676,680,49,1134,12484
2019-08-01 03:00:00,14243,NW,4099,19634,101,683,52,1135,12948
2019-08-01 04:00:00,14163,NW,4187,18682,0,707,52,1136,12456
2019-08-01 05:00:00,13762,NW,4234,16901,0,713,48,1138,11594
2019-08-01 06:00:00,13611,NW,4238,14325,0,727,50,1138,10953
2019-08-01 07:00:00,12760,NW,4451,12650,0,717,53,1139,10246
2019-08-01 08:00:00,12451,NW,4601,11717,-1,732,54,1142,9347
2019-08-01 09:00:00,12251,NW,4085,11167,1,754,57,1142,9195
2019-08-01 10:00:00,12018,NW,3725,10871,-1,756,59,1144,9070
2019-08-01 11:00:00,12039,NW,3383,11009,1,777,60,1146,9051
2019-08-01 12:00:00,12232,NW,3389,11759,-1,781,60,1145,9099
2019-08-01 13:00:00,12433,NW,2868,12965,27,790,59,1145,9507
2019-08-01 14:00:00,12531,NW,2261,14049,614,781,58,1145,9422
2019-08-01 15:00:00,12447,NW,1490,14602,1744,776,59,1142,9586
2019-08-01 16:00:00,12727,NW,1076,14511,2218,765,59,1142,9731
2019-08-01 17:00:00,13207,NW,763,15062,2337,750,55,1140,10350
2019-08-01 18:00:00,14001,NW,630,15884,2380,755,53,1137,11184
2019-08-01 19:00:00,14744,NW,545,16800,2373,719,50,1137,11975
2019-08-01 20:00:00,14949,NW,640,17706,2371,696,47,1135,12491
2019-08-01 21:00:00,14979,NW,846,18363,1985,694,47,1133,13053
2019-08-01 22:00:00,14863,NW,1355,18874,1824,686,46,1133,13020
2019-08-01 23:00:00,14580,NW,1751,19587,1764,684,46,1135,13228
2019-08-02 00:00:00,14378,NW,2496,20202,1775,669,45,1135,13089
2019-08-02 01:00:00,14209,NW,2473,20141,1601,676,53,1135,13016
2019-08-02 02:00:00,14233,NW,3051,20112,871,672,55,1135,12885
2019-08-02 03:00:00,14393,NW,2243,19799,104,671,57,1135,13381
2019-08-02 04:00:00,14523,NW,2652,18699,2,697,58,1136,13120
2019-08-02 05:00:00,14282,NW,3446,17413,0,706,58,1138,12664
2019-08-02 06:00:00,13814,NW,3711,15052,0,715,59,1140,11720
2019-08-02 07:00:00,13360,NW,3407,12794,0,719,60,1140,10912
2019-08-02 08:00:00,13120,NW,3644,11468,-1,722,60,1141,9829
2019-08-02 09:00:00,12621,NW,4069,10765,0,734,61,1142,9121
2019-08-02 10:00:00,12163,NW,4316,10560,0,737,60,1142,8915
2019-08-02 11:00:00,11689,NW,4817,10082,-1,749,60,1141,8876
2019-08-02 12:00:00,11607,NW,4819,10238,-2,747,60,1139,9131
2019-08-02 13:00:00,12394,NW,4752,10599,39,763,60,1143,9363
2019-08-02 14:00:00,12654,NW,4388,11761,672,797,60,1145,9429
2019-08-02 15:00:00,12925,NW,3699,12925,1811,789,57,1142,9492
2019-08-02 16:00:00,12866,NW,3425,13668,2312,760,57,1137,9770
2019-08-02 17:00:00,13968,NW,3239,14271,2442,732,56,1137,10406
2019-08-02 18:00:00,14692,NW,2920,14642,2503,749,51,1138,11510
2019-08-02 19:00:00,14735,NW,2702,15129,2507,748,50,1137,12334
2019-08-02 20:00:00,14848,NW,2816,16183,2465,745,48,1135,12909
2019-08-02 21:00:00,15051,NW,2999,16362,2352,745,46,1135,13502
2019-08-02 22:00:00,15145,NW,3531,16552,2271,733,44,1135,13461
2019-08-02 23:00:00,15170,NW,3989,16672,2097,728,44,1132,13693
2019-08-03 00:00:00,15268,NW,4423,16734,1892,722,45,1131,13739
2019-08-03 01:00:00,15242,NW,4305,17137,1469,706,45,1131,13827
2019-08-03 02:00:00,15179,NW,4256,17625,825,715,44,1131,13477
2019-08-03 03:00:00,15100,NW,4166,17624,196,712,48,1133,13016
2019-08-03 04:00:00,14816,NW,4092,16567,76,715,50,1134,13013
2019-08-03 05:00:00,14526,NW,3975,15523,76,749,51,1137,12389
2019-08-03 06:00:00,14263,NW,3503,13935,78,762,52,1140,11610
2019-08-03 07:00:00,13434,NW,3169,12897,76,770,54,1139,10858
2019-08-03 08:00:00,12758,NW,2603,11547,77,779,55,1141,10454
2019-08-03 09:00:00,12593,NW,2145,11021,78,792,55,1141,10075
2019-08-03 10:00:00,12612,NW,1881,10596,75,804,57,1142,9667
2019-08-03 11:00:00,12437,NW,1598,10179,77,816,58,1143,9484
2019-08-03 12:00:00,12551,NW,1375,10187,76,833,60,1146,9495
2019-08-03 13:00:00,12695,NW,1121,10580,112,834,59,1146,9505
2019-08-03 14:00:00,12647,NW,860,10693,620,837,59,1151,9612
2019-08-03 15:00:00,12663,NW,548,11390,1513,844,59,1150,9546
2019-08-03 16:00:00,12716,NW,502,11943,2018,826,59,1149,9581
2019-08-03 17:00:00,13385,NW,397,12667,2080,791,56,1147,10218
2019-08-03 18:00:00,14055,NW,498,13409,2145,769,54,1146,10951
2019-08-03 19:00:00,14491,NW,480,14059,2288,757,50,1145,11898
2019-08-03 20:00:00,14675,NW,571,14995,2252,728,49,1144,12773
2019-08-03 21:00:00,14835,NW,627,15793,2176,718,48,1142,13426
2019-08-03 22:00:00,14869,NW,561,16796,1826,723,46,1141,13715
2019-08-03 23:00:00,14833,NW,597,17454,1626,716,44,1141,14319
2019-08-04 00:00:00,14824,NW,741,17731,1490,722,44,1142,14465
2019-08-04 01:00:00,14695,NW,1364,17799,1388,734,44,1141,14260
2019-08-04 02:00:00,14569,NW,2105,18442,797,717,43,1142,13880
2019-08-04 03:00:00,14357,NW,2554,18344,128,717,45,1142,13478
2019-08-04 04:00:00,14153,NW,2782,17570,1,724,47,1145,12993
2019-08-04 05:00:00,13811,NW,3035,15816,-1,750,49,1148,12598
2019-08-04 06:00:00,13234,NW,3138,13948,0,754,53,1149,12048
2019-08-04 07:00:00,12789,NW,2922,12660,-1,767,55,1151,11374
2019-08-04 08:00:00,12359,NW,2336,10798,1,774,57,1151,10722
2019-08-04 09:00:00,12250,NW,1719,10154,-1,782,56,1151,10302
2019-08-04 10:00:00,12175,NW,1577,9160,0,783,57,1151,10123
2019-08-04 11:00:00,12170,NW,1308,8687,-1,795,59,1153,9971
2019-08-04 12:00:00,12275,NW,1247,8239,-1,802,59,1153,9927
2019-08-04 13:00:00,12425,NW,1241,8139,23,808,60,1152,9883
2019-08-04 14:00:00,12357,NW,1085,8764,512,824,59,1153,9853
2019-08-04 15:00:00,12290,NW,937,9444,1658,826,58,1152,9582
2019-08-04 16:00:00,12392,NW,1058,9924,2051,804,59,1150,9556
2019-08-04 17:00:00,12948,NW,1463,10310,2101,783,56,1147,10044
2019-08-04 18:00:00,13710,NW,1949,11297,2145,766,53,1146,10422
2019-08-04 19:00:00,14226,NW,2089,12145,2233,729,50,1144,11251
2019-08-04 20:00:00,14643,NW,1904,13027,2199,715,49,1142,11833
2019-08-04 21:00:00,14967,NW,1922,14125,2123,709,47,1142,12139
2019-08-04 22:00:00,15025,NW,1863,15122,1869,692,46,1142,12609
2019-08-04 23:00:00,15099,NW,2021,16323,1633,693,45,1143,12707
2019-08-05 00:00:00,15053,NW,2392,17027,1698,693,45,1142,12759
2019-08-05 01:00:00,14809,NW,2948,17897,1379,687,46,1140,12652
2019-08-05 02:00:00,14565,NW,3003,18522,630,682,44,1140,12778
2019-08-05 03:00:00,14117,NW,3017,18658,111,672,46,1138,12735
2019-08-05 04:00:00,13674,NW,3495,17188,53,694,48,1140,12527
2019-08-05 05:00:00,13370,NW,3594,15590,52,709,51,1140,12112
2019-08-05 06:00:00,13135,NW,3103,12655,53,740,52,1141,11676
2019-08-05 07:00:00,12937,NW,2363,10489,50,784,52,1144,11372
2019-08-05 08:00:00,12866,NW,1693,9167,51,792,54,1146,10652
2019-08-05 09:00:00,12568,NW,1556,8303,53,797,56,1144,10210
2019-08-05 10:00:00,12537,NW,1299,7921,51,804,55,1146,9786
2019-08-05 11:00:00,12185,NW,1390,7974,53,824,57,1148,9697
2019-08-05 12:00:00,12464,NW,1597,8426,52,835,59,1149,9875
2019-08-05 13:00:00,13109,NW,1831,9470,66,843,58,1148,9927
2019-08-05 14:00:00,13254,NW,1927,11195,627,858,60,1149,9984
2019-08-05 15:00:00,13409,NW,1877,11752,1790,860,58,1148,10027
2019-08-05 16:00:00,13995,NW,1391,11945,2260,846,58,1144,10427
2019-08-05 17:00:00,14736,NW,789,12522,2416,824,59,1142,11076
2019-08-05 18:00:00,15118,NW,863,13350,2466,772,57,1141,11852
2019-08-05 19:00:00,15381,NW,1123,14309,2442,745,55,1138,12750
2019-08-05 20:00:00,15567,NW,994,15707,2327,741,52,1136,13365
2019-08-05 21:00:00,15668,NW,874,15686,2192,737,51,1135,13984
2019-08-05 22:00:00,15672,NW,1087,17336,2228,728,53,1137,14639
2019-08-05 23:00:00,15739,NW,1159,18278,1935,726,49,1137,15009
2019-08-06 00:00:00,15766,NW,1377,18407,1907,712,48,1138,14817
2019-08-06 01:00:00,15754,NW,1422,18997,1549,708,48,1137,14468
2019-08-06 02:00:00,15790,NW,1079,18839,794,729,50,1136,14475
2019-08-06 03:00:00,15853,NW,1200,18302,71,734,50,1135,14296
2019-08-06 04:00:00,15326,NW,1375,16991,-3,721,51,1135,14094
2019-08-06 05:00:00,14895,NW,1252,15603,-5,746,54,1136,13381
2019-08-06 06:00:00,14588,NW,1284,13547,-5,751,55,1138,12350
2019-08-06 07:00:00,13926,NW,1693,10674,-4,773,55,1142,11352
2019-08-06 08:00:00,13502,NW,1489,10643,-5,783,56,1143,10799
2019-08-06 09:00:00,13064,NW,1321,10051,-4,778,57,1144,10360
2019-08-06 10:00:00,12686,NW,1280,9579,-5,792,59,1144,10150
2019-08-06 11:00:00,12369,NW,1227,9490,-4,791,59,1145,10088
2019-08-06 12:00:00,12722,NW,1196,9468,-4,799,60,1146,10199
2019-08-06 13:00:00,13455,NW,1105,10108,33,822,60,1147,10341
2019-08-06 14:00:00,13691,NW,978,11922,537,845,58,1147,10429
2019-08-06 15:00:00,14209,NW,695,12784,1349,841,60,1147,10795
2019-08-06 16:00:00,14418,NW,641,13547,1746,809,58,1147,11083
2019-08-06 17:00:00,14855,NW,571,13876,1897,795,57,1143,11603
2019-08-06 18:00:00,15113,NW,577,14633,2131,760,52,1140,12269
2019-08-06 19:00:00,15385,NW,579,15259,2144,743,48,1137,13126
2019-08-06 20:00:00,15468,NW,660,16172,1993,719,47,1136,13973
2019-08-06 21:00:00,15493,NW,832,17074,2010,706,48,1134,14809
2019-08-06 22:00:00,15522,NW,1001,17641,2004,709,47,1133,14968
2019-08-06 23:00:00,15510,NW,961,18538,1611,709,47,1135,15444
2019-08-07 00:00:00,15527,NW,1346,19100,1109,707,45,1134,15373
2019-08-07 01:00:00,15391,NW,2039,19143,779,720,46,1133,14591
2019-08-07 02:00:00,15269,NW,2754,19286,406,708,46,1132,14117
