date,Brazil,China,EU27&UK,France,Germany,India,Italy,Japan,Russia,Spain,United Kingdom,United States
2019-01-01,96.79895216535388,14059.675630639384,1872.3911035781807,51.07432567645836,316.43987337810995,3351.5552583808135,167.74274326441173,1288.8582488714183,27188.669921608,131.52508910859981,186.63690492125522,3738.417015748461
2019-01-02,116.75772730962656,15279.443743189042,2793.86720265101,102.41371712990838,556.5597871782606,3393.32083217555,237.9730381796553,1265.6924182764874,28034.17792624883,152.77023221480633,365.83452657677486,4575.861690690417
2019-01-03,113.51920832409468,15174.100133468919,3546.318971843543,120.76538758943938,980.2286905093978,3431.1867360247015,254.02203700704433,1320.8308552835886,28707.09844992312,188.35609841572986,429.4999905004496,4621.098532413549
2019-01-04,102.16098769217467,14896.880107889418,3519.5865990892958,138.75731987537333,874.5544771353677,3462.506260968732,289.38526145508274,1462.370120646974,28517.63790468183,212.9444318335943,397.7599251070045,4539.319744399314
2019-01-05,109.16084734054681,15021.629119400175,3041.3164302120645,146.5439657445751,697.2927698231565,3440.137539599964,255.71749051813427,1475.842088072168,28422.42254924603,177.30177291217552,333.1663039602822,4241.990191740892
2019-01-06,111.30003592373589,14515.240539341668,3115.17906229211,139.13077418691952,879.7164562656468,3268.780020998449,228.99603331579738,1533.6431111477355,28723.14904458631,135.22227464641358,335.86436663169087,3560.197003735844
2019-01-07,101.73142645566017,14938.463111726303,3445.6845456329756,142.4203471604585,969.6742077888288,3363.633246555778,347.3505125623316,1755.2813799297421,29022.525101314044,194.5621178062422,220.03200844949438,3784.5471899787526
2019-01-08,105.30680254582012,14613.19161504641,3141.447611588959,131.03811168442127,532.9132345309656,3481.267322097633,393.3712874869924,1835.1994611429332,29218.814465704694,223.69722412946996,239.06476212397754,3876.869156626009
2019-01-09,108.39656637031858,14970.805448043959,3472.961669174455,127.15463840443817,720.7459093490336,3472.264746636737,370.88350158837204,1874.858730088443,29261.327424511703,202.52119597188897,369.3754279264713,4225.105599273858
2019-01-10,109.33978194360864,14942.159378734097,4003.5649023147826,154.8677564605181,1107.9252604394119,3477.676236996539,371.9925400085002,1962.7240703478321,29808.82043489318,193.75269373352822,420.2125962538085,4853.565308981554
2019-01-11,107.0512020716479,15026.249453159839,3812.116596397047,168.25731062502265,1006.1569615740435,3529.5958499362646,400.9151012254894,1883.455922756818,29914.278762615115,202.34730976548485,355.7675775261656,5010.177234179006
2019-01-12,121.77118845545715,14627.976683077277,2800.1203459420194,136.984748936754,617.9212088604648,3508.5670581860377,293.79628978855357,1775.650042634862,29187.314244701352,161.52964996833666,149.12914546758327,4616.324132612919
2019-01-13,96.51772727720652,14168.715507367298,2204.524904702221,60.46376999902684,337.2281006174542,3330.8184763363033,255.47708185223289,1552.0303524889493,28114.423230850458,154.66140336474876,128.97515545697001,4718.423254651933
2019-01-14,145.74666637140413,14162.247040103786,3108.2607883234864,127.85784447688403,570.633605025001,3238.284753285934,332.33139713506694,1639.1161618167187,28312.348119529892,231.39798796578697,317.36230633819855,5322.789454763539
2019-01-15,147.7082786278745,14021.788893810191,3326.2196491191276,152.8339721169854,711.023173582089,3321.0599906682983,357.9609036154266,1903.4255129778114,27652.75983888256,272.4580260490178,251.29632299771401,5414.4114200999675
