date,Brazil,China,Russia,EU27&UK,France,Germany,India,Italy,Japan,Spain,United Kingdom,United States
2019-01-01,1313.357056,20415.83217278993,3126.9715546643506,7229.151746,1567.298699,1383.561838,3376.0,490.91200000000003,2126.3624,523.1800000000001,648.024,9496.367
2019-01-02,1596.502097,22187.038118769677,3179.8272901449327,8504.061572999999,1727.9540889999998,1566.068537,3413.0,602.575208,2130.2561,674.721,819.755,10345.297
2019-01-03,1698.3621340000002,22034.070332526044,3215.882438189757,8952.127316,1780.122441,1601.58125,3461.0,684.073726,2221.6211,676.147,882.9335,10689.166000000001
2019-01-04,1684.404823,21631.52352662152,3230.6139359123035,9149.077737,1801.6560880000002,1721.307875,3484.0,712.181386,2384.9088,697.7325000000001,875.9545,10596.85
2019-01-05,1534.9136769999998,21812.66958927854,3231.3387104731446,8490.292322,1724.0195959999999,1658.095,3454.0,636.7537090000001,2370.6465,631.23,789.5174999999999,9932.074
2019-01-06,1430.028164,21077.35075715966,3260.686626755694,8036.93253,1702.13175,1449.776251,3336.0,556.169535,2435.4051,623.305,756.575,9553.186
2019-01-07,1693.946194,21691.90554750716,3274.0966477260595,9102.278127,1788.6852499999998,1706.914213,3440.0,768.795357,2809.2644,725.73,798.1835,10061.453
2019-01-08,1751.6453829999998,21219.583961912576,3303.9785636471283,9346.563161999999,1832.8435,1672.933784,3493.0,856.884016,2901.2121,771.27,806.255,10052.957
2019-01-09,1769.30616,21738.869341529404,3376.026405587388,9633.168349,1855.8607,1824.259878,3487.0,830.908785,2970.3473000000004,796.2315,873.71,10309.813
2019-01-10,1774.759049,21697.272838252622,3413.0548701412595,9556.032518,1869.7631999999999,1625.909625,3509.0,838.9837620000001,3084.9243,821.2745,930.8685,11112.545
2019-01-11,1756.339895,21819.378702710288,3409.6729937878076,9622.855713,1791.2915209999999,1815.3705,3532.0,820.8634870000001,2907.9554000000003,807.084,884.0020000000001,11292.288
2019-01-12,1628.569513,21241.05312489411,3313.0181526408555,8649.873894,1733.860079,1668.419292,3511.0,687.608964,2737.7127,693.9915,683.6915,10578.266
2019-01-13,1477.498183,20574.16724977902,3247.544258449936,8026.294823,1629.640237,1507.111766,3371.0,601.527438,2436.1207,678.5095,643.51,10376.541000000001
2019-01-14,1773.5229390000002,20564.774490974585,3311.129373119743,9254.040142,1741.015368,1722.615943,3348.0,794.316914,2622.7022,783.506,822.3565,11164.384
2019-01-15,1810.707106,20360.817442649655,3260.162189523224,9384.682314,1715.4970790000002,1832.047186,3363.0,808.382389,2952.5167,745.5550000000001,810.8105,11395.47
2019-01-16,1841.0999279999999,20764.70607124046,3287.1492358359974,9471.702477,1801.348066,1834.03126,3403.0,834.405366,2915.0427,744.943,818.5655,11306.867
2019-01-17,1833.130048,20637.232916037425,3314.7588635718157,9493.807924,1815.665985,1873.52755,3441.0,836.333341,2936.8181,735.896,852.3865,11037.23
2019-01-18,1819.2587580000002,20611.738284996725,3287.6566022420698,9374.922981,1794.3866070000001,1685.028625,3499.0,829.3778169999999,2934.1726,776.228,882.277,10662.138
2019-01-19,1639.866912,19871.052162132495,3245.4936056191746,8615.48404,1668.1295260000002,1516.890751,3475.0,694.562792,2663.3293000000003,687.835,810.011,10231.097
2019-01-20,1499.131786,18962.638203474657,3247.19050425021,8183.194899,1648.4919889999999,1421.9325019999999,3366.0,603.073267,2456.6077,681.839,781.8575,10630.073
2019-01-21,1788.814543,18896.88889184356,3309.8644726705375,9355.350175,1771.964722,1651.4710010000001,3370.0,830.694743,2862.6596,797.592,920.1725,12226.58
2019-01-22,1859.26647,18985.449189142582,3343.0691004943305,9732.516829,1829.709754,1794.490751,3326.0,879.886219,2933.7293,829.5989999999999,925.2675,12074.177
2019-01-23,1887.032755,18800.277658426487,3403.690026499822,9689.472531,1884.6807720000002,1708.452247,3430.0,865.9101949999999,2893.4748,850.402,946.7845,11278.363
2019-01-24,1865.577519,18463.48016415308,3418.973063151399,9688.407194,1881.974595,1590.624999,3416.0,919.99767,2926.7767000000003,855.153,947.495,11110.34
2019-01-25,1792.4097960000001,18114.606265702547,3427.6892534460103,9556.767798,1868.3117290000002,1665.593625,3342.0,856.4149140000001,2942.2829,831.391889,875.2065,11447.106
2019-01-26,1599.3404249999999,17811.354338587764,3372.5462066020254,8558.812307,1772.0858929999997,1669.377,3160.0,673.0575,2795.3193,648.0526110000001,692.367,11083.495
2019-01-27,1462.8185709999998,16660.07047370088,3331.6196536340617,8249.093383,1721.349365,1586.598126,3156.0,594.098,2593.9994,709.026,685.165,10551.646
2019-01-28,1778.083787,17039.806293937476,3396.9878322126206,9409.761087,1846.4984800000002,1782.8743729999999,3330.0,777.358625,2955.0829,806.645,845.5155,11023.844000000001
2019-01-29,1872.088343,16044.173860666986,3379.4306292506144,9533.111286,1870.3633329999998,1778.892126,3383.0,776.824375,2959.855,827.958222,903.6360000000001,11735.31
2019-01-30,1895.9728420000001,15911.333414718514,3340.060438847058,9653.437231,1908.183976,1831.631624,3437.0,815.538,2923.1128000000003,826.222778,916.6759999999999,12456.506
2019-01-31,1895.926806,15569.168629699723,3319.2762648833327,9569.010161,1880.68116,1717.838376,3425.0,808.1885,2989.1985,841.9715,904.7189999999999,12784.547999999999
2019-02-01,1886.0686770000002,16014.61194546915,3317.7833399980896,9490.871917,1843.679531,1743.146749,3419.0,806.0145,3009.158,838.7054999999999,886.5375,11786.498
2019-02-02,1696.4882549999998,15713.45713074656,3275.998052457755,8568.862024,1841.080904,1422.441747,3409.0,641.7875,2668.7807000000003,782.776,770.425,10579.123
2019-02-03,1533.99938,15189.774127805369,3241.1731690708675,8176.277171000001,1765.105512,1494.75962,3315.0,536.0665,2422.6585,710.925,731.613,9676.541000000001
2019-02-04,1734.22674,14642.354784787463,3320.1012064223814,9366.309580000001,1915.861812,1726.703359,3401.0,759.7435,2608.8637,786.8620000000001,848.1034999999999,9950.416000000001
2019-02-05,1718.9705410000001,14066.748537928543,3342.242879068058,9342.956273,1837.851255,1740.104891,3495.0,809.2905,2795.6846,744.6973750000001,863.6545,10252.896
2019-02-06,1688.193554,14078.616707966868,3365.843582265966,9273.409484,1871.14905,1741.630499,3495.0,775.025,2844.5357000000004,720.486625,798.6535,10341.333
2019-02-07,1665.983134,14519.2225206398,3378.0111042421263,9169.268281,1887.028168,1737.406125,3363.0,744.164,2759.3736,714.501,765.98,10473.241
2019-02-08,1706.205473,15378.181327163857,3366.1366059276943,9021.147883,1846.043435,1732.980377,3370.0,741.9404999999999,2894.9449,713.3285,723.7585,11078.692
