date,country,data,fossil,nuclear,renewables,year,month_date
2019-01-01,Brazil,bp,259.6203521801658,44.188559732102,1412.159271239606,2019,01-01
2019-01-01,Brazil,iea,145.09276451612905,42.75187419354839,1521.7087451612904,2019,01-01
2019-01-01,Brazil,pm,80.67802499999999,47.672071,1185.00696,2019,01-01
2019-01-01,China,bp,13953.282232876714,955.3424657534247,5648.712287671229,2019,01-01
2019-01-01,China,iea,13937.634745161291,833.835064516129,4390.594358064516,2019,01-01
2019-01-01,China,pm,14591.70542405395,903.203514592071,4920.923234143912,2019,01-01
2019-01-01,EU27&UK,bp,2513.314606689449,2251.2359016025052,3128.5867139176908,2019,01-01
2019-01-01,EU27&UK,iea,4239.532887096774,2455.561641935484,2961.8939225806453,2019,01-01
2019-01-01,EU27&UK,pm,2048.9764999999998,2351.78325,2828.3919960000003,2019,01-01
2019-01-01,France,bp,0.0,1093.1824301369863,309.95717858898024,2019,01-01
2019-01-01,France,iea,219.09699999999998,1295.4191516129033,300.88159354838706,2019,01-01
2019-01-01,France,pm,72.18400000000001,1265.142,229.972699,2019,01-01
2019-01-01,Germany,bp,729.3779586644134,205.6746191780822,734.5524829623806,2019,01-01
2019-01-01,Germany,iea,941.9307516129032,219.8541064516129,674.5210387096774,2019,01-01
2019-01-01,Germany,pm,276.339,172.1535,935.0693379999999,2019,01-01
2019-01-01,India,bp,3443.9905515275386,123.7339452054794,825.9064904422194,2019,01-01
2019-01-01,India,iea,3267.873812903226,94.89605161290322,555.6437548387096,2019,01-01
2019-01-01,India,pm,2794.0,75.0,507.0,2019,01-01
2019-01-01,Italy,bp,478.90602739726023,0.0,326.17123287671217,2019,01-01
2019-01-01,Italy,iea,559.5022709677419,0.0,189.3412548387097,2019,01-01
2019-01-01,Italy,pm,231.53600000000003,0.0,259.376,2019,01-01
2019-01-01,Japan,bp,1984.5230356703196,179.825046849315,658.3527520201746,2019,01-01
2019-01-01,Japan,iea,2424.478541935484,212.9890483870968,373.0219290322581,2019,01-01
2019-01-01,Japan,pm,1654.8647,219.463,252.0347,2019,01-01
2019-01-01,Russia,bp,1939.8011820021002,572.5634794520549,551.0414481348857,2019,01-01
2019-01-01,Russia,pm,1956.8953397460941,605.3428046875,564.7334102307565,2019,01-01
2019-01-01,Spain,bp,300.23444863013685,159.6635325753424,272.9809380821915,2019,01-01
2019-01-01,Spain,iea,333.5409419354839,162.62361290322582,303.5231677419355,2019,01-01
2019-01-01,Spain,pm,199.019,145.74,178.421,2019,01-01
