unit,date,year,month,month_date,weekday,country,coal,gas,hydro,nuclear,oil,other,solar,wind
Gwh,2021-12-01,2021,12,12-01,Wednesday,Brazil,289.043037,85.524834,1195.308224,48.120436,0.815195,34.557642,29.069078,142.384114
Gwh,2021-12-01,2021,12,12-01,Wednesday,China,14100.536478026404,577.34123597595,2229.983883964545,1098.8403272794894,130.5833150671736,1667.364917747556,794.9070228723734,1954.993801524825
Gwh,2021-12-01,2021,12,12-01,Wednesday,EU27&UK,1551.2785,1848.870884,1481.723403,2417.750302,59.94875,583.4462540000001,34.295125000000006,2259.184074
Gwh,2021-12-01,2021,12,12-01,Wednesday,India,2622.0,59.129923038034455,306.0,125.0,5.8700769619655455,69.72590807434156,133.780318668351,121.49377325730742
Gwh,2021-12-01,2021,12,12-01,Wednesday,Japan,852.4106835349642,998.3792553318116,146.39059999999998,175.847,93.59026113322412,44.0488,146.5092,66.3977
Gwh,2021-12-01,2021,12,12-01,Wednesday,United Kingdom,11.9835,266.389,20.205,122.3855,0.0,70.7345,0.0,299.301
Gwh,2021-12-01,2021,12,12-01,Wednesday,United States,2023.985,4047.482,673.576,2206.01,64.38,211.865,230.924,1080.14
Gwh,2021-12-02,2021,12,12-02,Thursday,Brazil,296.719497,88.287406,1167.508809,48.143136,0.584017,34.528935,26.151852,150.213171
Gwh,2021-12-02,2021,12,12-02,Thursday,China,14256.220634723855,583.7156660261577,2254.6051571313465,1110.9726337321022,132.02508668463452,1685.7743095838853,803.6835988346868,1976.5789065889796
Gwh,2021-12-02,2021,12,12-02,Thursday,EU27&UK,1690.7437499999999,2134.677509,1625.81262,2418.8520260000005,75.42424999999999,578.4397299999999,23.225249,1952.96307
Gwh,2021-12-02,2021,12,12-02,Thursday,India,2571.0,57.31054079071031,308.0,126.0,5.689459209289683,64.79145919523431,124.31278842412924,112.89575238063644
Gwh,2021-12-02,2021,12,12-02,Thursday,Japan,876.8647818718321,1027.0209241411767,202.0616,176.024,96.27519398699113,41.9098,195.5322,42.1708
Gwh,2021-12-02,2021,12,12-02,Thursday,United Kingdom,26.412,361.932,26.4295,122.7105,0.0,76.105,0.0,212.2895
Gwh,2021-12-02,2021,12,12-02,Thursday,United States,1886.992,3770.272,644.952,2196.61,62.802,204.066,239.973,1117.053
Gwh,2021-12-03,2021,12,12-03,Friday,Brazil,290.911037,88.501907,1124.89377,48.137307,0.668229,34.484287,24.641042,177.468224
Gwh,2021-12-03,2021,12,12-03,Friday,China,14211.739447096012,581.8944002975268,2247.570507655118,1107.5062604599273,131.6131519367885,1680.5144833449338,801.1760057025974,1970.4117337135076
Gwh,2021-12-03,2021,12,12-03,Friday,EU27&UK,1639.676611,2105.036441,1651.7331820000004,2420.7647520000005,73.28825,573.880206,30.39125,1996.1358139999995
Gwh,2021-12-03,2021,12,12-03,Friday,India,2607.0,58.220231914372384,320.0,83.0,5.779768085627614,65.86416547330111,126.37094717287307,114.76488735382578
Gwh,2021-12-03,2021,12,12-03,Friday,Japan,888.0605237308819,1040.133848035762,162.81759999999997,176.071,97.50442823335618,43.68039999999999,187.4257,32.5372
Gwh,2021-12-03,2021,12,12-03,Friday,United Kingdom,26.708,393.7125,24.658,122.083,0.0,72.0855,0.0,189.301
Gwh,2021-12-03,2021,12,12-03,Friday,United States,1879.897,3602.759,716.247,2216.953,79.609,201.336,242.757,1124.189
Gwh,2021-12-04,2021,12,12-04,Saturday,Brazil,276.924058,24.76851,992.484892,48.149128,0.800781,32.736574,23.852612,220.996744
Gwh,2021-12-04,2021,12,12-04,Saturday,China,14352.596541250852,587.6617417715242,2269.8468976631743,1118.4831091551475,132.91761197163413,1697.1705997682798,809.1167172875471,1989.941114485836
Gwh,2021-12-04,2021,12,12-04,Saturday,EU27&UK,1623.1486530000004,1700.1102870000002,1467.0069210000001,2390.5344760000003,52.614250000000006,524.730182,30.817000999999998,1718.0054049999999
Gwh,2021-12-04,2021,12,12-04,Saturday,India,2657.0,54.58146741972411,316.0,125.0,5.418532580275889,61.573340361033935,118.13831217789766,107.2883474610684
Gwh,2021-12-04,2021,12,12-04,Saturday,Japan,790.9199195468,926.3586854983864,149.16759999999996,176.105,86.83889495481361,43.9728,171.4424,39.1485
Gwh,2021-12-04,2021,12,12-04,Saturday,United Kingdom,1.8795,240.5035,13.156,122.8025,0.0,49.7235,0.0,243.664
Gwh,2021-12-04,2021,12,12-04,Saturday,United States,1867.181,3562.634,674.957,2218.278,70.086,193.796,209.33,962.532
Gwh,2021-12-05,2021,12,12-05,Sunday,Brazil,222.583736,6.346723,895.353135,46.222954,0.748322,33.353335,29.044032,254.987114
Gwh,2021-12-05,2021,12,12-05,Sunday,China,14285.874759809083,584.929843178578,2259.2949234488315,1113.2835492468853,132.29970984986514,1689.2808604098527,805.3553275894129,1980.6903551726275
Gwh,2021-12-05,2021,12,12-05,Sunday,EU27&UK,1604.4775130000003,1535.8638230000001,1468.7894740000004,2395.6789529999996,61.319500000000005,524.077408,24.990123999999998,1656.6154139999999
Gwh,2021-12-05,2021,12,12-05,Sunday,India,2617.0,57.31054079071031,291.0,125.0,5.689459209289683,62.21696412787401,119.37320742714395,108.409828444982
