country/region,energy_source,iea,year,month,pm,date,region
Austria,gas,1589.1231,2018,12,1536.709,2018-12-01,Europe
Austria,hydro,2839.1381,2018,12,2304.6275,2018-12-01,Europe
Austria,nuclear,0.0,2018,12,0.0,2018-12-01,Europe
Austria,oil,69.9559,2018,12,0.0,2018-12-01,Europe
Austria,other,450.1968,2018,12,316.184,2018-12-01,Europe
Austria,solar,39.8218,2018,12,14.415000000000001,2018-12-01,Europe
Austria,wind,738.8741,2018,12,807.446002,2018-12-01,Europe
Austria,coal,366.1087,2019,1,0.0,2019-01-01,Europe
Austria,gas,1671.1647,2019,1,1572.9875,2019-01-01,Europe
Austria,hydro,3114.9838,2019,1,2509.3930060000002,2019-01-01,Europe
Austria,nuclear,0.0,2019,1,0.0,2019-01-01,Europe
Austria,oil,65.8726,2019,1,0.0,2019-01-01,Europe
Austria,other,396.5294,2019,1,319.001,2019-01-01,Europe
Austria,solar,55.4286,2019,1,14.634,2019-01-01,Europe
Austria,wind,847.0103,2019,1,910.940001,2019-01-01,Europe
Austria,coal,354.475,2019,2,0.0,2019-02-01,Europe
Austria,gas,1313.6099,2019,2,1245.596,2019-02-01,Europe
Austria,hydro,2620.4594,2019,2,2107.141128,2019-02-01,Europe
Austria,nuclear,0.0,2019,2,0.0,2019-02-01,Europe
Austria,oil,57.8052,2019,2,0.0,2019-02-01,Europe
Austria,other,356.7864,2019,2,289.724,2019-02-01,Europe
Austria,solar,91.2942,2019,2,31.717,2019-02-01,Europe
Austria,wind,694.8368,2019,2,745.906998,2019-02-01,Europe
Austria,coal,321.3006,2019,3,0.0,2019-03-01,Europe
Austria,gas,727.9467,2019,3,665.97375,2019-03-01,Europe
Austria,hydro,3875.1853,2019,3,3265.847501,2019-03-01,Europe
Austria,nuclear,0.0,2019,3,0.0,2019-03-01,Europe
Austria,oil,46.4478,2019,3,0.0,2019-03-01,Europe
Austria,other,396.6807,2019,3,320.224,2019-03-01,Europe
Austria,solar,153.2438,2019,3,47.211999999999996,2019-03-01,Europe
Austria,wind,706.2571,2019,3,767.308501,2019-03-01,Europe
Austria,coal,274.51,2019,4,0.0,2019-04-01,Europe
Austria,gas,576.1814,2019,4,528.41275,2019-04-01,Europe
Austria,hydro,4027.5136,2019,4,3340.526877,2019-04-01,Europe
Austria,nuclear,0.0,2019,4,0.0,2019-04-01,Europe
Austria,oil,61.6603,2019,4,0.0,2019-04-01,Europe
Austria,other,392.4844,2019,4,298.772,2019-04-01,Europe
Austria,solar,192.3699,2019,4,66.84,2019-04-01,Europe
Austria,wind,751.7592,2019,4,850.736214,2019-04-01,Europe
Austria,coal,244.49,2019,5,0.0,2019-05-01,Europe
Austria,gas,153.7539,2019,5,78.74374999999999,2019-05-01,Europe
Austria,hydro,4514.3828,2019,5,3934.446502,2019-05-01,Europe
Austria,nuclear,0.0,2019,5,0.0,2019-05-01,Europe
Austria,oil,60.8799,2019,5,0.0,2019-05-01,Europe
Austria,other,382.1273000000001,2019,5,292.778,2019-05-01,Europe
Austria,solar,197.2606,2019,5,71.608,2019-05-01,Europe
Austria,wind,777.407,2019,5,847.011286,2019-05-01,Europe
Austria,coal,258.6928,2019,6,0.0,2019-06-01,Europe
Austria,gas,250.2001,2019,6,179.919,2019-06-01,Europe
Austria,hydro,4949.416,2019,6,4318.900244,2019-06-01,Europe
Austria,nuclear,0.0,2019,6,0.0,2019-06-01,Europe
Austria,oil,52.8784,2019,6,0.0,2019-06-01,Europe
Austria,other,377.8394,2019,6,259.706,2019-06-01,Europe
Austria,solar,187.4791,2019,6,106.429,2019-06-01,Europe
Austria,wind,376.6317,2019,6,434.624,2019-06-01,Europe
Austria,coal,295.4053,2019,7,0.0,2019-07-01,Europe
Austria,gas,530.5331,2019,7,491.498,2019-07-01,Europe
Austria,hydro,3829.5611,2019,7,3390.436125,2019-07-01,Europe
Austria,nuclear,0.0,2019,7,0.0,2019-07-01,Europe
Austria,oil,58.8373,2019,7,0.0,2019-07-01,Europe
Austria,other,392.3836,2019,7,266.062,2019-07-01,Europe
Austria,solar,195.6304,2019,7,95.442,2019-07-01,Europe
Austria,wind,315.1853,2019,7,364.594,2019-07-01,Europe
Austria,coal,140.8339,2019,8,0.0,2019-08-01,Europe
Austria,gas,756.5078,2019,8,703.1057500000001,2019-08-01,Europe
Austria,hydro,3540.387,2019,8,3089.49675,2019-08-01,Europe
Austria,nuclear,0.0,2019,8,0.0,2019-08-01,Europe
Austria,oil,61.1248,2019,8,0.0,2019-08-01,Europe
Austria,other,383.9733,2019,8,244.768,2019-08-01,Europe
Austria,solar,187.4791,2019,8,82.631,2019-08-01,Europe
Austria,wind,300.467,2019,8,338.1775,2019-08-01,Europe
Austria,coal,161.0231,2019,9,0.0,2019-09-01,Europe
Austria,gas,1008.329,2019,9,927.421,2019-09-01,Europe
Austria,hydro,2992.1944,2019,9,2510.680125,2019-09-01,Europe
Austria,nuclear,0.0,2019,9,0.0,2019-09-01,Europe
Austria,oil,36.896,2019,9,0.0,2019-09-01,Europe
Austria,other,371.9991,2019,9,250.444,2019-09-01,Europe
Austria,solar,149.9833,2019,9,68.334,2019-09-01,Europe
Austria,wind,386.7923,2019,9,433.8965,2019-09-01,Europe
Austria,coal,314.6501,2019,10,0.0,2019-10-01,Europe
Austria,gas,1284.6508,2019,10,1234.167,2019-10-01,Europe
Austria,hydro,2682.7501,2019,10,2153.117999,2019-10-01,Europe
Austria,nuclear,0.0,2019,10,0.0,2019-10-01,Europe
Austria,oil,59.3786,2019,10,0.0,2019-10-01,Europe
Austria,other,295.73670000000004,2019,10,241.958,2019-10-01,Europe
Austria,solar,114.1177,2019,10,46.848,2019-10-01,Europe
Austria,wind,479.1256,2019,10,527.42,2019-10-01,Europe
Austria,coal,271.2071,2019,11,0.0,2019-11-01,Europe
Austria,gas,1271.3558,2019,11,1268.894,2019-11-01,Europe
Austria,hydro,3091.9484,2019,11,2560.425755,2019-11-01,Europe
Austria,nuclear,0.0,2019,11,0.0,2019-11-01,Europe
Austria,oil,52.2353,2019,11,0.0,2019-11-01,Europe
Austria,other,350.5251,2019,11,228.887,2019-11-01,Europe
Austria,solar,60.3194,2019,11,23.806,2019-11-01,Europe
Austria,wind,717.0723,2019,11,772.9544999999999,2019-11-01,Europe
Austria,coal,267.1336,2019,12,0.0,2019-12-01,Europe
Austria,gas,1293.4093,2019,12,1268.115,2019-12-01,Europe
Austria,hydro,2744.5559,2019,12,2231.055627,2019-12-01,Europe
Austria,nuclear,0.0,2019,12,0.0,2019-12-01,Europe
Austria,oil,49.3446,2019,12,0.0,2019-12-01,Europe
Austria,other,361.9415,2019,12,240.918,2019-12-01,Europe
Austria,solar,47.2773,2019,12,14.514,2019-12-01,Europe
Austria,wind,809.2248,2019,12,841.497499,2019-12-01,Europe
Austria,coal,304.3813,2020,1,0.0,2020-01-01,Europe
Austria,gas,1850.0395,2020,1,1823.71525,2020-01-01,Europe
Austria,hydro,2454.7292,2020,1,2141.055622,2020-01-01,Europe
Austria,nuclear,0.0,2020,1,0.0,2020-01-01,Europe
Austria,oil,61.6202,2020,1,0.0,2020-01-01,Europe
Austria,other,379.5336,2020,1,245.062,2020-01-01,Europe
Austria,solar,66.4525,2020,1,19.033,2020-01-01,Europe
Austria,wind,442.4141,2020,1,416.655999,2020-01-01,Europe
Austria,coal,286.455,2020,2,0.0,2020-02-01,Europe
Austria,gas,1027.5525,2020,2,995.24125,2020-02-01,Europe
Austria,hydro,2981.133,2020,2,2505.00787,2020-02-01,Europe
Austria,nuclear,0.0,2020,2,0.0,2020-02-01,Europe
Austria,oil,62.8493,2020,2,0.0,2020-02-01,Europe
Austria,other,355.9282,2020,2,230.842,2020-02-01,Europe
Austria,solar,109.4511,2020,2,33.513,2020-02-01,Europe
Austria,wind,1150.9397,2020,2,1107.1254959999999,2020-02-01,Europe
Austria,coal,293.1139,2020,3,0.0,2020-03-01,Europe
Austria,gas,988.4595,2020,3,946.3755,2020-03-01,Europe
Austria,hydro,3220.5285,2020,3,2780.471616,2020-03-01,Europe
Austria,nuclear,0.0,2020,3,0.0,2020-03-01,Europe
Austria,oil,64.0745,2020,3,0.0,2020-03-01,Europe
Austria,other,387.8466,2020,3,248.618,2020-03-01,Europe
Austria,solar,183.7215,2020,3,60.004,2020-03-01,Europe
Austria,wind,792.0225,2020,3,792.0745009999999,2020-03-01,Europe
Austria,coal,136.5979,2020,4,0.0,2020-04-01,Europe
Austria,gas,458.878,2020,4,411.75225,2020-04-01,Europe
Austria,hydro,3084.3714,2020,4,2765.5557479999998,2020-04-01,Europe
Austria,nuclear,0.0,2020,4,0.0,2020-04-01,Europe
Austria,oil,37.3677,2020,4,0.0,2020-04-01,Europe
Austria,other,362.7104000000001,2020,4,237.623,2020-04-01,Europe
Austria,solar,230.6291,2020,4,101.515,2020-04-01,Europe
Austria,wind,420.2333,2020,4,428.547,2020-04-01,Europe
Austria,coal,145.0427,2020,5,0.0,2020-05-01,Europe
Austria,gas,174.9263,2020,5,84.6805,2020-05-01,Europe
Austria,hydro,3854.2748,2020,5,3504.646503,2020-05-01,Europe
Austria,nuclear,0.0,2020,5,0.0,2020-05-01,Europe
Austria,oil,44.1212,2020,5,0.0,2020-05-01,Europe
Austria,other,343.47060000000005,2020,5,240.815,2020-05-01,Europe
Austria,solar,236.4926,2020,5,102.55199999999999,2020-05-01,Europe
Austria,wind,705.6569,2020,5,708.218,2020-05-01,Europe
Austria,coal,140.4083,2020,6,0.0,2020-06-01,Europe
Austria,gas,179.0225,2020,6,93.47975,2020-06-01,Europe
Austria,hydro,4322.351,2020,6,3905.915253,2020-06-01,Europe
Austria,nuclear,0.0,2020,6,0.0,2020-06-01,Europe
Austria,oil,53.101,2020,6,0.0,2020-06-01,Europe
Austria,other,322.08360000000005,2020,6,225.114,2020-06-01,Europe
Austria,solar,224.7657,2020,6,96.832,2020-06-01,Europe
Austria,wind,649.6697,2020,6,655.671,2020-06-01,Europe
Austria,coal,133.7324,2020,7,0.0,2020-07-01,Europe
Austria,gas,469.9492,2020,7,441.36825,2020-07-01,Europe
Austria,hydro,4411.8052,2020,7,3943.902625,2020-07-01,Europe
Austria,nuclear,0.0,2020,7,0.0,2020-07-01,Europe
Austria,oil,67.0505,2020,7,0.0,2020-07-01,Europe
