country/region,year,energy_source,pm,iea,region
Belgium,2020,solar,4259.5960000000005,5068.9001,Europe
Belgium,2020,wind,10206.125,12596.9002,Europe
Belgium,2021,coal,0.0,1703.4059,Europe
Belgium,2021,gas,19163.996,21568.0118,Europe
Belgium,2021,hydro,1714.396833,1288.4252999999999,Europe
Belgium,2021,nuclear,47961.581,47891.716400000005,Europe
Belgium,2021,oil,0.0,115.2364,Europe
Belgium,2021,other,9762.709,4744.1711,Europe
Belgium,2021,solar,4677.987,5568.0976,Europe
Belgium,2021,wind,9471.188008000001,11691.8216,Europe
Brazil,2018,coal,55118.74203403,19170.5672,s_america
Brazil,2018,gas,9083.383294,51259.7569,s_america
Brazil,2018,hydro,408153.184757,383925.8672,s_america
Brazil,2018,nuclear,15674.081024000001,14794.505000000001,s_america
Brazil,2018,oil,3263.235428,11754.8767,s_america
Brazil,2018,other,16529.942049,51034.9963,s_america
Brazil,2018,solar,2670.072023,3441.0591999999997,s_america
Brazil,2018,wind,45826.328122,48116.2757,s_america
Brazil,2019,coal,60437.910601,20030.7541,s_america
Brazil,2019,gas,3492.232157,56821.135,s_america
Brazil,2019,hydro,409010.581402,393898.2865,s_america
Brazil,2019,nuclear,16128.756691,15161.0946,s_america
Brazil,2019,oil,2092.086973,9610.8814,s_america
Brazil,2019,other,16815.562926,51625.6235,s_america
Brazil,2019,solar,4384.555167,6588.0332,s_america
Brazil,2019,wind,53389.77996226,55425.7656,s_america
Brazil,2020,coal,52883.8746545,16486.4232,s_america
Brazil,2020,gas,3961.0704699999997,50256.08,s_america
Brazil,2020,hydro,404271.77009,392363.9439,s_america
Brazil,2020,nuclear,14048.85361,13209.4422,s_america
Brazil,2020,oil,1767.0592290000002,10091.8202,s_america
Brazil,2020,other,18918.736753,55217.212100000004,s_america
Brazil,2020,solar,5229.51235,10642.3101,s_america
Brazil,2020,wind,54095.303032,56480.1999,s_america
Brazil,2021,coal,85391.007583,25060.2062,s_america
Brazil,2021,gas,19696.170734,84426.15699999999,s_america
Brazil,2021,hydro,372666.799255,341102.6939,s_america
Brazil,2021,nuclear,14695.346292,13825.6794,s_america
Brazil,2021,oil,738.5838910000001,33766.6968,s_america
Brazil,2021,other,16780.882754,51435.22,s_america
Brazil,2021,solar,7283.907349,13702.791000000001,s_america
Brazil,2021,wind,71751.8268235,71499.9123,s_america
Bulgaria,2018,coal,20161.2355,15989.4144,Europe
Bulgaria,2018,gas,1974.124,1728.3084,Europe
Bulgaria,2018,hydro,5019.92,5365.3864,Europe
Bulgaria,2018,nuclear,17613.6305,15291.204,Europe
Bulgaria,2018,oil,0.0,289.5912,Europe
Bulgaria,2018,other,287.84749999999997,1347.8842,Europe
Bulgaria,2018,solar,1205.778,1342.7749,Europe
Bulgaria,2018,wind,1264.3015,1318.1231,Europe
Bulgaria,2019,coal,18929.512,14766.7633,Europe
Bulgaria,2019,gas,2196.5,1845.6569,Europe
Bulgaria,2019,hydro,2894.8199999999997,3348.8431,Europe
Bulgaria,2019,nuclear,17918.8495,15712.446100000001,Europe
Bulgaria,2019,oil,0.0,312.286,Europe
Bulgaria,2019,other,263.3055,1560.9584,Europe
Bulgaria,2019,solar,1333.238,1442.468,Europe
Bulgaria,2019,wind,1240.1195,1316.988,Europe
Bulgaria,2020,coal,15080.533,11513.6368,Europe
Bulgaria,2020,gas,2199.253,1950.3110000000001,Europe
Bulgaria,2020,hydro,2913.114,3286.9709,Europe
Bulgaria,2020,nuclear,18043.259000000002,15787.2682,Europe
Bulgaria,2020,oil,0.0,254.26690000000002,Europe
Bulgaria,2020,other,290.519,1445.8055,Europe
Bulgaria,2020,solar,1430.124,1480.8558,Europe
Bulgaria,2020,wind,1406.6575,1477.1308,Europe
Bulgaria,2021,coal,19435.486,13976.3915,Europe
Bulgaria,2021,gas,2787.321,2665.3891,Europe
Bulgaria,2021,hydro,4860.775,4951.6720000000005,Europe
Bulgaria,2021,nuclear,17853.6855,15630.263,Europe
Bulgaria,2021,oil,0.0,293.0624,Europe
Bulgaria,2021,other,276.7745,2347.6314,Europe
Bulgaria,2021,solar,1428.818,1496.9756,Europe
Bulgaria,2021,wind,1372.1135,1421.1618,Europe
China,2018,coal,4469505.732705199,4466968.6833,Asian
China,2018,gas,193746.2428791632,194975.9575,Asian
China,2018,hydro,1231683.8709677416,1186898.1301,Asian
China,2018,nuclear,276705.13787999994,276899.2694,Asian
China,2018,oil,17236.85769799232,10219.8378,Asian
China,2018,other,164981.16671764507,85254.5113,Asian
China,2018,solar,189537.75900567934,175247.295,Asian
China,2018,wind,363796.00000000006,362311.2901,Asian
China,2019,coal,4505192.7683615815,4583048.226,Asian
China,2019,gas,231383.8788972806,199997.5773,Asian
China,2019,hydro,1315554.8750000002,1259812.6201,Asian
China,2019,nuclear,348203.24000000005,327453.7001,Asian
China,2019,oil,19958.32388738135,9897.101,Asian
China,2019,other,217949.30294723,104558.3931,Asian
China,2019,solar,242695.50000000006,222843.6541,Asian
China,2019,wind,405810.0000000001,401971.68,Asian
China,2020,coal,4500605.442985788,4701053.9506,Asian
China,2020,gas,246708.859496942,205147.1757,Asian
China,2020,hydro,1397210.7963225488,1321511.2615,Asian
China,2020,nuclear,366386.7767802458,344269.576,Asian
China,2020,oil,27550.94596404907,10151.9345,Asian
China,2020,other,257372.0435458356,107247.3917,Asian
China,2020,solar,281216.2938125485,268325.9722,Asian
China,2020,wind,462996.72018490225,466462.41740000003,Asian
China,2021,coal,4995450.0,5145307.2432,Asian
China,2021,gas,273094.8,224533.7453,Asian
China,2021,hydro,1369550.0536549648,1261848.0055,Asian
China,2021,nuclear,407853.41687083547,383075.8954,Asian
China,2021,oil,25625.4,11514.2459,Asian
China,2021,other,327199.9,136546.54940000002,Asian
China,2021,solar,348870.01842644886,326437.385,Asian
China,2021,wind,657730.0330477507,611220.6584,Asian
Croatia,2018,coal,0.0,1336.0186,Europe
Croatia,2018,gas,0.0,2065.0988,Europe
Croatia,2018,hydro,0.0,7697.1,Europe
Croatia,2018,nuclear,0.0,0.0,Europe
Croatia,2018,oil,0.0,63.0022,Europe
Croatia,2018,other,0.0,615.8806,Europe
Croatia,2018,solar,0.0,74.9,Europe
Croatia,2018,wind,0.0,1329.6,Europe
Croatia,2019,coal,1717.233097,1510.5978,Europe
Croatia,2019,gas,2170.962,2422.8167,Europe
Croatia,2019,hydro,5309.6810000000005,5854.1001,Europe
Croatia,2019,nuclear,0.0,0.0,Europe
Croatia,2019,oil,0.0,35.1988,Europe
Croatia,2019,other,876.05,883.1867,Europe
Croatia,2019,solar,66.894,82.9,Europe
Croatia,2019,wind,1460.718,1461.3,Europe
Croatia,2020,coal,1681.643966,1124.8834,Europe
Croatia,2020,gas,2936.312,3181.0299999999997,Europe
Croatia,2020,hydro,4835.8369999999995,5747.5999,Europe
Croatia,2020,nuclear,0.0,0.0,Europe
Croatia,2020,oil,0.0,31.7455,Europe
Croatia,2020,other,998.7675,981.7411000000001,Europe
Croatia,2020,solar,78.132,95.29990000000001,Europe
Croatia,2020,wind,1718.619,1712.8,Europe
Croatia,2021,coal,1689.613339,1351.2266,Europe
Croatia,2021,gas,2648.8845,2877.0604,Europe
Croatia,2021,hydro,6281.7595,7204.6519,Europe
Croatia,2021,nuclear,0.0,0.0,Europe
Croatia,2021,oil,0.0,14.4329,Europe
Croatia,2021,other,1104.519,1086.2273,Europe
Croatia,2021,solar,84.817,97.0898,Europe
Croatia,2021,wind,2079.265,2057.8286,Europe
Cyprus,2018,coal,0.0,0.0,Europe
Cyprus,2018,gas,0.0,0.0,Europe
Cyprus,2018,hydro,0.0,0.0,Europe
Cyprus,2018,nuclear,0.0,0.0,Europe
Cyprus,2018,oil,4592.9322520000005,4352.7125,Europe
Cyprus,2018,other,0.0,54.0354,Europe
Cyprus,2018,solar,0.0,199.493,Europe
Cyprus,2018,wind,210.529243,221.0401,Europe
Cyprus,2019,coal,0.0,0.0,Europe
Cyprus,2019,gas,0.0,0.0,Europe
Cyprus,2019,hydro,0.0,0.0,Europe
Cyprus,2019,nuclear,0.0,0.0,Europe
Cyprus,2019,oil,4737.366502,4401.8512,Europe
Cyprus,2019,other,0.0,55.1048,Europe
Cyprus,2019,solar,0.0,218.2669,Europe
Cyprus,2019,wind,208.400754,238.5649,Europe
Cyprus,2020,coal,0.0,0.0,Europe
Cyprus,2020,gas,0.0,0.0,Europe
Cyprus,2020,hydro,0.0,0.0,Europe
Cyprus,2020,nuclear,0.0,0.0,Europe
Cyprus,2020,oil,4288.208998,4056.4582,Europe
Cyprus,2020,other,0.0,57.8429,Europe
Cyprus,2020,solar,0.0,295.6078,Europe
Cyprus,2020,wind,225.63827,240.4081,Europe
Cyprus,2021,coal,0.0,0.0,Europe
Cyprus,2021,gas,0.0,0.0,Europe
Cyprus,2021,hydro,0.0,0.0,Europe
Cyprus,2021,nuclear,0.0,0.0,Europe
Cyprus,2021,oil,4328.65476,4100.2433,Europe
Cyprus,2021,other,0.0,56.5832,Europe
Cyprus,2021,solar,0.0,421.1569,Europe
Cyprus,2021,wind,229.769002,243.856,Europe
Denmark,2018,coal,6356.942,6120.7095,Europe
Denmark,2018,gas,2836.4595,1931.0099,Europe
Denmark,2018,hydro,0.0,14.8621,Europe
Denmark,2018,nuclear,0.0,0.0,Europe
Denmark,2018,oil,200.06799999999998,245.809,Europe
Denmark,2018,other,5084.0975,5490.6627,Europe
Denmark,2018,solar,964.104,952.973,Europe
Denmark,2018,wind,13939.7515,13901.955,Europe
Denmark,2019,coal,3815.152,3088.3859,Europe
Denmark,2019,gas,2618.025,1960.9018999999998,Europe
Denmark,2019,hydro,0.0,17.217100000000002,Europe
Denmark,2019,nuclear,0.0,0.0,Europe
Denmark,2019,oil,254.5285,225.5507,Europe
Denmark,2019,other,5021.4395,5548.9997,Europe
Denmark,2019,solar,969.141,963.269,Europe
Denmark,2019,wind,15884.524,16149.833,Europe
Denmark,2020,coal,3857.6165,2828.6313,Europe
Denmark,2020,gas,1825.0315,1093.9549,Europe
Denmark,2020,hydro,0.0,17.2171,Europe
Denmark,2020,nuclear,0.0,0.0,Europe
Denmark,2020,oil,236.926,242.9244,Europe
Denmark,2020,other,4304.214,5472.5222,Europe
Denmark,2020,solar,1248.361,1181.0839,Europe
Denmark,2020,wind,16385.7925,16149.8329,Europe
Denmark,2021,coal,5832.17,4601.0002,Europe
Denmark,2021,gas,2621.3775,1529.4549,Europe
Denmark,2021,hydro,0.0,17.0651,Europe
Denmark,2021,nuclear,0.0,0.0,Europe
Denmark,2021,oil,349.0695,255.5341,Europe
Denmark,2021,other,6322.207,8295.3436,Europe
Denmark,2021,solar,1407.366,1277.6697,Europe
Denmark,2021,wind,16067.7445,16034.388799999999,Europe
Estonia,2018,coal,502.303,8895.4408,Europe
Estonia,2018,gas,14.4945,50.8934,Europe
Estonia,2018,hydro,29.0855,15.000300000000001,Europe
Estonia,2018,nuclear,0.0,0.0,Europe
Estonia,2018,oil,8397.059,72.8306,Europe
Estonia,2018,other,761.151625,1146.861,Europe
Estonia,2018,solar,8.76,30.802,Europe
Estonia,2018,wind,627.9305,636.0002,Europe
Estonia,2019,coal,519.43,4549.2482,Europe
Estonia,2019,gas,16.475,32.4088,Europe
Estonia,2019,hydro,22.247,18.9999,Europe
Estonia,2019,nuclear,0.0,0.0,Europe
Estonia,2019,oil,4014.615,23.8408,Europe
Estonia,2019,other,765.062875,1160.5499,Europe
Estonia,2019,solar,11.312999999999999,73.5,Europe
Estonia,2019,wind,711.731,687.0,Europe
Estonia,2020,coal,472.652,3253.724,Europe
Estonia,2020,gas,22.716,23.1795,Europe
Estonia,2020,hydro,12.9415,38.6095,Europe
Estonia,2020,nuclear,0.0,0.0,Europe
Estonia,2020,oil,2201.8945,17.0514,Europe
