country,date,PM,CM,sector
EU27&UK,2019-01-01,1871.633986037493,1882.065896,Power
EU27&UK,2019-01-02,2792.737478278022,2776.663992,Power
EU27&UK,2019-01-03,3544.8849870882614,3442.293158,Power
EU27&UK,2019-01-04,3522.5022795929426,3455.02999,Power
EU27&UK,2019-01-05,3040.086647603242,2988.607105,Power
EU27&UK,2019-01-06,3113.919412689024,2997.667544,Power
EU27&UK,2019-01-07,3444.2912532785153,3330.031767,Power
EU27&UK,2019-01-08,3140.346586218661,3058.409574,Power
EU27&UK,2019-01-09,3471.3727149177244,3370.335212,Power
EU27&UK,2019-01-10,4001.266593845263,3845.111309,Power
EU27&UK,2019-01-11,3810.5751340728766,3700.772096,Power
EU27&UK,2019-01-12,2798.988093056447,2692.406056,Power
EU27&UK,2019-01-13,2203.6334859857775,2141.451469,Power
EU27&UK,2019-01-14,3107.0039361843296,3067.70998,Power
EU27&UK,2019-01-15,3326.3307397927733,3254.606976,Power
EU27&UK,2019-01-16,3480.95978956721,3377.166663,Power
EU27&UK,2019-01-17,3573.9625239232187,3485.928257,Power
EU27&UK,2019-01-18,4013.0757907468187,3865.974906,Power
EU27&UK,2019-01-19,3735.5177130236702,3569.906514,Power
EU27&UK,2019-01-20,3527.7128016605493,3389.791116,Power
EU27&UK,2019-01-21,4165.700515168115,4012.480581,Power
EU27&UK,2019-01-22,4186.093657735286,4026.515261,Power
EU27&UK,2019-01-23,4126.005763910918,3963.715768,Power
EU27&UK,2019-01-24,4265.090346077578,4116.646471,Power
EU27&UK,2019-01-25,3943.9796871455164,3775.276732,Power
EU27&UK,2019-01-26,3068.2796495757234,2913.941928,Power
EU27&UK,2019-01-27,2478.6261913717176,2362.83018,Power
EU27&UK,2019-01-28,3424.5793737709496,3279.084439,Power
EU27&UK,2019-01-29,3836.793285669618,3682.983286,Power
EU27&UK,2019-01-30,3914.759170742304,3759.853792,Power
EU27&UK,2019-01-31,3845.8407053173723,3683.097355,Power
EU27&UK,2019-02-01,3579.2767828609603,3434.827148,Power
EU27&UK,2019-02-02,3107.254749527029,2965.282159,Power
EU27&UK,2019-02-03,2826.7469994548333,2692.68489,Power
EU27&UK,2019-02-04,3461.23174728088,3328.678151,Power
EU27&UK,2019-02-05,3641.484403562073,3524.890761,Power
EU27&UK,2019-02-06,3564.060315286991,3439.556353,Power
EU27&UK,2019-02-07,3198.039030153265,3092.631889,Power
EU27&UK,2019-02-08,2822.5037971803395,2736.645296,Power
EU27&UK,2019-02-09,2097.431362187543,2045.403894,Power
EU27&UK,2019-02-10,1975.2161361049723,1986.704116,Power
EU27&UK,2019-02-11,2861.427335432028,2859.934178,Power
EU27&UK,2019-02-12,3298.7540758281452,3206.901735,Power
EU27&UK,2019-02-13,3219.9385202569147,3116.462118,Power
EU27&UK,2019-02-14,3368.683640862732,3238.208959,Power
EU27&UK,2019-02-15,3257.486679387609,3131.787888,Power
EU27&UK,2019-02-16,2510.5537946303803,2407.885646,Power
EU27&UK,2019-02-17,2321.1367206148875,2189.760851,Power
EU27&UK,2019-02-18,3106.777648632342,2979.022796,Power
EU27&UK,2019-02-19,3156.8308031537235,3077.076291,Power
EU27&UK,2019-02-20,3208.6617820131623,3100.535585,Power
EU27&UK,2019-02-21,3255.250612526076,3133.144038,Power
