country/region,date,energy_source,value,timestamp
Brazil,01/12/2021,coal,289.043037,1638259200.0
Brazil,01/12/2021,gas,85.524834,1638259200.0
Brazil,01/12/2021,oil,0.815195,1638259200.0
Brazil,01/12/2021,nuclear,48.120436,1638259200.0
Brazil,01/12/2021,hydro,1195.308224,1638259200.0
Brazil,01/12/2021,solar,29.069078,1638259200.0
Brazil,01/12/2021,wind,142.384114,1638259200.0
Brazil,01/12/2021,other,34.557642,1638259200.0
China,01/12/2021,coal,14100.536478026404,1638259200.0
China,01/12/2021,gas,577.34123597595,1638259200.0
China,01/12/2021,oil,130.5833150671736,1638259200.0
China,01/12/2021,nuclear,1098.8403272794894,1638259200.0
China,01/12/2021,hydro,2229.983883964545,1638259200.0
China,01/12/2021,solar,794.9070228723734,1638259200.0
China,01/12/2021,wind,1954.993801524825,1638259200.0
China,01/12/2021,other,1667.364917747556,1638259200.0
India,01/12/2021,coal,2622.0,1638259200.0
India,01/12/2021,gas,59.129923038034455,1638259200.0
India,01/12/2021,oil,5.8700769619655455,1638259200.0
India,01/12/2021,nuclear,125.0,1638259200.0
India,01/12/2021,hydro,306.0,1638259200.0
India,01/12/2021,solar,133.780318668351,1638259200.0
India,01/12/2021,wind,121.49377325730742,1638259200.0
India,01/12/2021,other,69.72590807434156,1638259200.0
Japan,01/12/2021,coal,852.4106835349642,1638259200.0
Japan,01/12/2021,gas,998.3792553318116,1638259200.0
Japan,01/12/2021,oil,93.59026113322412,1638259200.0
Japan,01/12/2021,nuclear,175.847,1638259200.0
Japan,01/12/2021,hydro,146.39059999999998,1638259200.0
Japan,01/12/2021,solar,146.5092,1638259200.0
Japan,01/12/2021,wind,66.3977,1638259200.0
Japan,01/12/2021,other,44.0488,1638259200.0
United Kingdom,01/12/2021,coal,11.9835,1638259200.0
United Kingdom,01/12/2021,gas,266.389,1638259200.0
United Kingdom,01/12/2021,oil,0.0,1638259200.0
United Kingdom,01/12/2021,nuclear,122.3855,1638259200.0
United Kingdom,01/12/2021,hydro,20.205,1638259200.0
United Kingdom,01/12/2021,solar,0.0,1638259200.0
United Kingdom,01/12/2021,wind,299.301,1638259200.0
United Kingdom,01/12/2021,other,70.7345,1638259200.0
United States,01/12/2021,coal,2023.985,1638259200.0
United States,01/12/2021,gas,4047.482,1638259200.0
United States,01/12/2021,oil,64.38,1638259200.0
United States,01/12/2021,nuclear,2206.01,1638259200.0
United States,01/12/2021,hydro,673.576,1638259200.0
United States,01/12/2021,solar,230.924,1638259200.0
United States,01/12/2021,wind,1080.14,1638259200.0
United States,01/12/2021,other,211.865,1638259200.0
Brazil,02/12/2021,coal,296.719497,1638345600.0
Brazil,02/12/2021,gas,88.287406,1638345600.0
Brazil,02/12/2021,oil,0.584017,1638345600.0
Brazil,02/12/2021,nuclear,48.143136,1638345600.0
Brazil,02/12/2021,hydro,1167.508809,1638345600.0
Brazil,02/12/2021,solar,26.151852,1638345600.0
Brazil,02/12/2021,wind,150.213171,1638345600.0
Brazil,02/12/2021,other,34.528935,1638345600.0
China,02/12/2021,coal,14256.220634723855,1638345600.0
China,02/12/2021,gas,583.7156660261577,1638345600.0
China,02/12/2021,oil,132.02508668463452,1638345600.0
China,02/12/2021,nuclear,1110.9726337321022,1638345600.0
China,02/12/2021,hydro,2254.6051571313465,1638345600.0
China,02/12/2021,solar,803.6835988346868,1638345600.0
China,02/12/2021,wind,1976.5789065889796,1638345600.0
China,02/12/2021,other,1685.7743095838853,1638345600.0
India,02/12/2021,coal,2571.0,1638345600.0
India,02/12/2021,gas,57.31054079071031,1638345600.0
India,02/12/2021,oil,5.689459209289683,1638345600.0
India,02/12/2021,nuclear,126.0,1638345600.0
India,02/12/2021,hydro,308.0,1638345600.0
India,02/12/2021,solar,124.31278842412924,1638345600.0
India,02/12/2021,wind,112.89575238063644,1638345600.0
India,02/12/2021,other,64.79145919523431,1638345600.0
Japan,02/12/2021,coal,876.8647818718321,1638345600.0
Japan,02/12/2021,gas,1027.0209241411767,1638345600.0
Japan,02/12/2021,oil,96.27519398699113,1638345600.0
Japan,02/12/2021,nuclear,176.024,1638345600.0
Japan,02/12/2021,hydro,202.0616,1638345600.0
Japan,02/12/2021,solar,195.5322,1638345600.0
Japan,02/12/2021,wind,42.1708,1638345600.0
Japan,02/12/2021,other,41.9098,1638345600.0
United Kingdom,02/12/2021,coal,26.412,1638345600.0
United Kingdom,02/12/2021,gas,361.932,1638345600.0
United Kingdom,02/12/2021,oil,0.0,1638345600.0
United Kingdom,02/12/2021,nuclear,122.7105,1638345600.0
United Kingdom,02/12/2021,hydro,26.4295,1638345600.0
United Kingdom,02/12/2021,solar,0.0,1638345600.0
United Kingdom,02/12/2021,wind,212.2895,1638345600.0
United Kingdom,02/12/2021,other,76.105,1638345600.0
United States,02/12/2021,coal,1886.992,1638345600.0
United States,02/12/2021,gas,3770.272,1638345600.0
United States,02/12/2021,oil,62.802,1638345600.0
United States,02/12/2021,nuclear,2196.61,1638345600.0
United States,02/12/2021,hydro,644.952,1638345600.0
United States,02/12/2021,solar,239.973,1638345600.0
United States,02/12/2021,wind,1117.053,1638345600.0
United States,02/12/2021,other,204.066,1638345600.0
Brazil,03/12/2021,coal,290.911037,1638432000.0
Brazil,03/12/2021,gas,88.501907,1638432000.0
Brazil,03/12/2021,oil,0.668229,1638432000.0
Brazil,03/12/2021,nuclear,48.137307,1638432000.0
Brazil,03/12/2021,hydro,1124.89377,1638432000.0
Brazil,03/12/2021,solar,24.641042,1638432000.0
Brazil,03/12/2021,wind,177.468224,1638432000.0
Brazil,03/12/2021,other,34.484287,1638432000.0
China,03/12/2021,coal,14211.739447096012,1638432000.0
China,03/12/2021,gas,581.8944002975268,1638432000.0
China,03/12/2021,oil,131.6131519367885,1638432000.0
