date,Brazil,China,EU,France,Germany,India,Italy,Japan,Spain,United Kingdom,United States
2019/1/1,1313.357056,20415.83217,7230.4483,1567.298699,1384.858392,3376,490.912,2126.3624,523.18,648.024,9496.367
2019/1/2,1596.502097,22187.03812,8506.289892,1727.954089,1568.296856,3413,602.575208,2130.2561,674.721,819.755,10345.297
2019/1/3,1698.362134,22034.07033,8952.127316,1780.122441,1601.58125,3461,684.073726,2221.6211,676.147,882.9335,10689.166
2019/1/4,1684.404823,21631.52353,9149.077737,1801.656088,1721.307875,3484,712.181386,2384.9088,697.7325,875.9545,10596.85
2019/1/5,1534.913677,21812.66959,8490.292322,1724.019596,1658.095,3454,636.753709,2370.6465,631.23,789.5175,9932.074
2019/1/6,1430.028164,21077.35076,8036.93253,1702.13175,1449.776251,3336,556.169535,2435.4051,623.305,756.575,9553.186
2019/1/7,1693.946194,21691.90555,9105.756078,1788.68525,1710.392164,3440,768.795357,2809.2644,725.73,798.1835,10061.453
2019/1/8,1751.645383,21219.58396,9360.369898,1832.8435,1686.74052,3493,856.884016,2901.2121,771.27,806.255,10052.957
2019/1/9,1769.30616,21738.86934,9635.652037,1855.8607,1826.743566,3487,830.908785,2970.3473,796.2315,873.71,10309.813
2019/1/10,1774.759049,21697.27284,9556.290018,1869.7632,1625.909625,3509,838.983762,3084.9243,821.2745,930.8685,11112.545
2019/1/11,1756.339895,21819.3787,9622.801613,1791.291521,1815.3705,3532,820.863487,2907.9554,807.084,884.002,11292.288
2019/1/12,1628.569513,21241.05312,8649.851994,1733.860079,1668.419292,3511,687.608964,2737.7127,693.9915,683.6915,10578.266
2019/1/13,1477.498183,20574.16725,8024.883323,1629.640237,1507.111766,3371,600.115938,2436.1207,678.5095,643.51,10376.541
2019/1/14,1773.522939,20564.77449,9254.515666,1741.015368,1722.615943,3348,794.316914,2622.7022,783.506,822.3565,11164.384
2019/1/15,1810.707106,20360.81744,9386.27586,1715.497079,1833.352256,3363,808.382389,2952.5167,745.555,810.8105,11395.47
2019/1/16,1841.099928,20764.70607,9471.977657,1801.348066,1834.05194,3403,834.405366,2915.0427,744.943,818.5655,11306.867
2019/1/17,1833.130048,20637.23292,9493.807924,1815.665985,1873.52755,3441,836.333341,2936.8181,735.896,852.3865,11037.23
2019/1/18,1819.258758,20611.73828,9374.922981,1794.386607,1685.028625,3499,829.377817,2934.1726,776.228,882.277,10662.138
2019/1/19,1639.866912,19871.05216,8615.48404,1668.129526,1516.890751,3475,694.562792,2663.3293,687.835,810.011,10231.097
2019/1/20,1499.131786,18962.6382,8183.194899,1648.491989,1421.932502,3366,603.073267,2456.6077,681.839,781.8575,10630.073
2019/1/21,1788.814543,18896.88889,9355.350175,1771.964722,1651.471001,3370,830.694743,2862.6596,797.592,920.1725,12226.58
2019/1/22,1859.26647,18985.44919,9731.530456,1829.709754,1793.489253,3326,879.886219,2933.7293,829.599,925.2675,12074.177
2019/1/23,1887.032755,18800.27766,9689.629656,1884.680772,1708.609372,3430,865.910195,2893.4748,850.402,946.7845,11278.363
2019/1/24,1865.577519,18463.48016,9688.407194,1881.974595,1590.624999,3416,919.99767,2926.7767,855.153,947.495,11110.34
2019/1/25,1792.409796,18114.60627,9556.828909,1868.311729,1665.593625,3342,856.414914,2942.2829,831.453,875.2065,11447.106
2019/1/26,1599.340425,17811.35434,8559.301196,1772.085893,1669.377,3160,673.0575,2795.3193,648.5415,692.367,11083.495
2019/1/27,1462.818571,16660.07047,8249.666882,1721.349365,1587.171625,3156,594.098,2593.9994,709.026,685.165,10551.646
2019/1/28,1778.083787,17039.80629,9410.893087,1846.49848,1782.874373,3330,777.358625,2955.0829,806.645,845.5155,11023.844
2019/1/29,1872.088343,16044.17386,9533.306286,1870.363333,1778.892126,3383,776.824375,2959.855,827.958222,903.636,11735.31
2019/1/30,1895.972842,15911.33341,9652.690106,1908.183976,1831.631624,3437,815.538,2923.1128,826.222778,916.676,12456.506
2019/1/31,1895.926806,15569.16863,9569.010161,1880.68116,1717.838376,3425,808.1885,2989.1985,841.9715,904.719,12784.548
2019/2/1,1886.068677,16014.61195,9490.871917,1843.679531,1743.146749,3419,806.0145,3009.158,838.7055,886.5375,11786.498
2019/2/2,1696.488255,15713.45713,8570.266024,1841.080904,1422.441747,3409,641.7875,2668.7807,784.18,770.425,10579.123
2019/2/3,1533.99938,15189.77413,8176.277171,1765.105512,1494.75962,3315,536.0665,2422.6585,710.925,731.613,9676.541
2019/2/4,1734.22674,14642.35478,9367.08658,1915.861812,1726.703359,3401,759.7435,2608.8637,787.639,848.1035,9950.416
2019/2/5,1718.970541,14066.74854,9342.956273,1837.851255,1740.104891,3495,809.2905,2795.6846,744.697375,863.6545,10252.896
2019/2/6,1688.193554,14078.61671,9273.409484,1871.14905,1741.630499,3495,775.025,2844.5357,720.486625,798.6535,10341.333
2019/2/7,1665.983134,14519.22252,9169.268281,1887.028168,1737.406125,3363,744.164,2759.3736,714.501,765.98,10473.241
2019/2/8,1706.205473,15378.18133,9016.819261,1841.396062,1733.299128,3370,741.9405,2894.9449,713.3285,723.7585,11078.692
2019/2/9,1591.426703,16624.33918,7992.802819,1711.353691,1476.202246,3369,588.6055,2841.6218,659.71095,606.911,11213.207
2019/2/10,1480.554826,17498.1332,7828.053004,1694.151986,1456.517171,3298,524.4645,2575.6257,687.23155,678.4995,10866.563
2019/2/11,1771.917348,17941.70606,9024.4159,1825.539393,1697.242578,3396,718.6925,2794.6988,715.4415,808.2865,10932.837
2019/2/12,1788.905931,18794.73078,9168.757922,1817.79,1769.632793,3461,725.4805,2931.7902,702.062,803.356,10918.524
2019/2/13,1722.151498,18874.84092,9089.604936,1810.767166,1763.239335,3503,757.154868,2939.3525,708.056,746.0635,11013.203
2019/2/14,1704.579931,19146.32531,8826.754666,1799.371334,1556.382875,3474,737.123632,3000.1605,718.378,742.3215,10845.816
2019/2/15,1701.160564,19447.48013,8650.309846,1785.9615,1505.924,3424,726.0675,3035.4012,676.337,715.8815,10391.968
2019/2/16,1543.081974,19143.35827,7770.336488,1602.1715,1456.722125,3409,550.662,2651.2409,633.249,648.5085,10168.632
2019/2/17,1388.024548,19564.67831,7238.305878,1599.081,1311.163875,3354,461.126,2443.088,617.5305,600.3245,10175.308
2019/2/18,1659.894879,21046.71604,8350.914079,1726.6053,1493.73496,3423,666.333,2740.5446,689.817,723.342,10859.655
2019/2/19,1717.381087,20781.16574,8735.078104,1727.972518,1752.306167,3519,711.106,2795.6318,684.221,727.7605,11552.474
2019/2/20,1747.726332,20864.24293,8647.674471,1737.520364,1628.948,3525,713.113278,2597.0485,689.224,710.242,11562.713
2019/2/21,1732.836036,21521.44284,8659.060199,1728.380618,1694.677001,3555,710.130222,2665.8456,686.0645,689.842,11010.667
