month_date,country,Type,year,Value,date,month
01-01,Austria,coal,2022,0.0,2022-01-01,1
01-01,Austria,gas,2022,-42.20075,2022-01-01,1
01-01,Austria,hydro,2022,45.432750000000006,2022-01-01,1
01-01,Austria,nuclear,2022,0.0,2022-01-01,1
01-01,Austria,oil,2022,0.0,2022-01-01,1
01-01,Austria,other,2022,-1.0629999999999997,2022-01-01,1
01-01,Austria,solar,2022,0.043999999999999984,2022-01-01,1
01-01,Austria,wind,2022,44.306000000000004,2022-01-01,1
01-01,Belgium,coal,2022,0.0,2022-01-01,1
01-01,Belgium,gas,2022,-16.673,2022-01-01,1
01-01,Belgium,hydro,2022,0.5898890000000003,2022-01-01,1
01-01,Belgium,nuclear,2022,23.466000000000008,2022-01-01,1
01-01,Belgium,oil,2022,0.0,2022-01-01,1
01-01,Belgium,other,2022,-6.109999999999999,2022-01-01,1
01-01,Belgium,solar,2022,-0.01,2022-01-01,1
01-01,Belgium,wind,2022,41.627825,2022-01-01,1
01-01,Bosnia and herz,coal,2022,-1.1110000000000007,2022-01-01,1
01-01,Bosnia and herz,gas,2022,0.0,2022-01-01,1
01-01,Bosnia and herz,hydro,2022,-13.647763000000001,2022-01-01,1
01-01,Bosnia and herz,nuclear,2022,0.0,2022-01-01,1
01-01,Bosnia and herz,oil,2022,0.0,2022-01-01,1
01-01,Bosnia and herz,other,2022,0.0,2022-01-01,1
01-01,Bosnia and herz,solar,2022,0.0,2022-01-01,1
01-01,Bosnia and herz,wind,2022,0.339,2022-01-01,1
01-01,Brazil,coal,2022,-113.51229699999999,2022-01-01,1
01-01,Brazil,gas,2022,1.1654749999999998,2022-01-01,1
01-01,Brazil,hydro,2022,115.39815900000008,2022-01-01,1
01-01,Brazil,nuclear,2022,3.4838379999999987,2022-01-01,1
01-01,Brazil,oil,2022,-4.155903000000001,2022-01-01,1
01-01,Brazil,other,2022,-7.338031999999998,2022-01-01,1
01-01,Brazil,solar,2022,7.7486570000000015,2022-01-01,1
01-01,Brazil,wind,2022,-8.060595000000006,2022-01-01,1
01-01,Bulgaria,coal,2022,30.643000000000004,2022-01-01,1
01-01,Bulgaria,gas,2022,3.4480000000000004,2022-01-01,1
01-01,Bulgaria,hydro,2022,6.412,2022-01-01,1
01-01,Bulgaria,nuclear,2022,1.5919999999999987,2022-01-01,1
01-01,Bulgaria,oil,2022,0.0,2022-01-01,1
01-01,Bulgaria,other,2022,0.05300000000000005,2022-01-01,1
01-01,Bulgaria,solar,2022,0.0,2022-01-01,1
01-01,Bulgaria,wind,2022,2.991,2022-01-01,1
01-01,Croatia,coal,2022,0.18808700000000034,2022-01-01,1
01-01,Croatia,gas,2022,-1.9649999999999999,2022-01-01,1
01-01,Croatia,hydro,2022,-5.726000000000003,2022-01-01,1
01-01,Croatia,nuclear,2022,0.0,2022-01-01,1
01-01,Croatia,oil,2022,0.0,2022-01-01,1
01-01,Croatia,other,2022,0.16500000000000004,2022-01-01,1
01-01,Croatia,solar,2022,0.0,2022-01-01,1
01-01,Croatia,wind,2022,-4.154,2022-01-01,1
