country/region,year,month,energy_source,pm,iea,date
Austria,2019,1,coal,0.0,366.1087,2019-01-01
Austria,2019,1,gas,1572.9875,1671.1647,2019-01-01
Austria,2019,1,hydro,2508.059506,3114.9838,2019-01-01
Austria,2019,1,nuclear,0.0,0.0,2019-01-01
Austria,2019,1,oil,0.0,65.8726,2019-01-01
Austria,2019,1,other,319.001,396.5134,2019-01-01
Austria,2019,1,solar,10.524002,55.4286,2019-01-01
Austria,2019,1,wind,910.940001,847.0103,2019-01-01
Austria,2019,2,coal,0.0,354.475,2019-02-01
Austria,2019,2,gas,1245.596,1313.6099,2019-02-01
Austria,2019,2,hydro,2103.054626,2620.4594,2019-02-01
Austria,2019,2,nuclear,0.0,0.0,2019-02-01
Austria,2019,2,oil,0.0,57.8052,2019-02-01
Austria,2019,2,other,289.724,356.7704,2019-02-01
Austria,2019,2,solar,13.775501,91.2942,2019-02-01
Austria,2019,2,wind,745.906998,694.8368,2019-02-01
Austria,2019,3,coal,0.0,321.3006,2019-03-01
Austria,2019,3,gas,665.97375,727.9467,2019-03-01
Austria,2019,3,hydro,3264.6406269999998,3875.1853,2019-03-01
Austria,2019,3,nuclear,0.0,0.0,2019-03-01
Austria,2019,3,oil,0.0,46.4478,2019-03-01
Austria,2019,3,other,320.224,396.6647,2019-03-01
Austria,2019,3,solar,17.398498,153.2438,2019-03-01
Austria,2019,3,wind,767.308501,706.2571,2019-03-01
Austria,2019,4,coal,0.0,274.51,2019-04-01
Austria,2019,4,gas,528.41275,576.1814,2019-04-01
Austria,2019,4,hydro,3337.64288,4027.5136,2019-04-01
Austria,2019,4,nuclear,0.0,0.0,2019-04-01
Austria,2019,4,oil,0.0,61.6603,2019-04-01
Austria,2019,4,other,298.772,392.4684,2019-04-01
Austria,2019,4,solar,19.532496,192.3699,2019-04-01
Austria,2019,4,wind,850.736214,751.7592,2019-04-01
Austria,2019,5,coal,0.0,244.49,2019-05-01
Austria,2019,5,gas,78.74374999999999,153.7539,2019-05-01
Austria,2019,5,hydro,3932.077001,4514.3828,2019-05-01
Austria,2019,5,nuclear,0.0,0.0,2019-05-01
Austria,2019,5,oil,0.0,60.8799,2019-05-01
Austria,2019,5,other,292.778,382.1113,2019-05-01
Austria,2019,5,solar,22.085001,197.2606,2019-05-01
Austria,2019,5,wind,847.011286,777.407,2019-05-01
Austria,2019,6,coal,0.0,258.6928,2019-06-01
Austria,2019,6,gas,179.919,250.2001,2019-06-01
Austria,2019,6,hydro,4318.769496,4949.416,2019-06-01
Austria,2019,6,nuclear,0.0,0.0,2019-06-01
Austria,2019,6,oil,0.0,52.8784,2019-06-01
Austria,2019,6,other,259.706,377.8234,2019-06-01
Austria,2019,6,solar,24.343501,187.4791,2019-06-01
Austria,2019,6,wind,434.624,376.6317,2019-06-01
Austria,2019,7,coal,0.0,295.4053,2019-07-01
Austria,2019,7,gas,491.498,530.5331,2019-07-01
Austria,2019,7,hydro,3388.927876,3829.5611,2019-07-01
Austria,2019,7,nuclear,0.0,0.0,2019-07-01
Austria,2019,7,oil,0.0,58.8373,2019-07-01
Austria,2019,7,other,266.062,392.3676,2019-07-01
Austria,2019,7,solar,24.074001,195.6304,2019-07-01
Austria,2019,7,wind,364.594,315.1853,2019-07-01
Austria,2019,8,coal,0.0,140.8339,2019-08-01
Austria,2019,8,gas,703.1057500000001,756.5078,2019-08-01
Austria,2019,8,hydro,3088.642876,3540.387,2019-08-01
Austria,2019,8,nuclear,0.0,0.0,2019-08-01
Austria,2019,8,oil,0.0,61.1248,2019-08-01
Austria,2019,8,other,244.768,383.9573,2019-08-01
Austria,2019,8,solar,21.465001,187.4791,2019-08-01
Austria,2019,8,wind,338.1775,300.467,2019-08-01
Austria,2019,9,coal,0.0,161.0231,2019-09-01
Austria,2019,9,gas,927.421,1008.329,2019-09-01
Austria,2019,9,hydro,2510.139251,2992.1944,2019-09-01
Austria,2019,9,nuclear,0.0,0.0,2019-09-01
Austria,2019,9,oil,0.0,36.896,2019-09-01
Austria,2019,9,other,250.444,371.9831,2019-09-01
Austria,2019,9,solar,17.814503,149.9833,2019-09-01
Austria,2019,9,wind,433.8965,386.7923,2019-09-01
Austria,2019,10,coal,0.0,314.6501,2019-10-01
Austria,2019,10,gas,1234.167,1284.6508,2019-10-01
Austria,2019,10,hydro,2151.496248,2682.7501,2019-10-01
Austria,2019,10,nuclear,0.0,0.0,2019-10-01
Austria,2019,10,oil,0.0,59.3786,2019-10-01
Austria,2019,10,other,241.958,295.7207,2019-10-01
Austria,2019,10,solar,15.711999,114.1177,2019-10-01
Austria,2019,10,wind,527.42,479.1256,2019-10-01
Austria,2019,11,coal,0.0,271.2071,2019-11-01
Austria,2019,11,gas,1268.894,1271.3558,2019-11-01
Austria,2019,11,hydro,2553.99588,3091.9484,2019-11-01
Austria,2019,11,nuclear,0.0,0.0,2019-11-01
Austria,2019,11,oil,0.0,52.2353,2019-11-01
Austria,2019,11,other,228.887,350.5091,2019-11-01
Austria,2019,11,solar,12.915505,60.3194,2019-11-01
Austria,2019,11,wind,772.9544999999999,717.0723,2019-11-01
Austria,2019,12,coal,0.0,267.1336,2019-12-01
Austria,2019,12,gas,1268.115,1293.4093,2019-12-01
Austria,2019,12,hydro,2230.564879,2744.5559,2019-12-01
Austria,2019,12,nuclear,0.0,0.0,2019-12-01
Austria,2019,12,oil,0.0,49.3446,2019-12-01
Austria,2019,12,other,240.918,361.9255,2019-12-01
Austria,2019,12,solar,10.373498,47.2773,2019-12-01
Austria,2019,12,wind,841.497499,809.2248,2019-12-01
Austria,2020,1,coal,0.0,304.3813,2020-01-01
Austria,2020,1,gas,1823.71525,1850.0395,2020-01-01
Austria,2020,1,hydro,2138.39712,2454.7292,2020-01-01
Austria,2020,1,nuclear,0.0,0.0,2020-01-01
Austria,2020,1,oil,0.0,61.6202,2020-01-01
Austria,2020,1,other,245.062,379.5278,2020-01-01
Austria,2020,1,solar,10.941498,66.4525,2020-01-01
Austria,2020,1,wind,416.655999,442.4141,2020-01-01
Austria,2020,2,coal,0.0,286.455,2020-02-01
Austria,2020,2,gas,995.24125,1027.5525,2020-02-01
Austria,2020,2,hydro,2504.63037,2981.133,2020-02-01
Austria,2020,2,nuclear,0.0,0.0,2020-02-01
Austria,2020,2,oil,0.0,62.8493,2020-02-01
Austria,2020,2,other,230.842,355.9224,2020-02-01
Austria,2020,2,solar,13.004996,109.4511,2020-02-01
Austria,2020,2,wind,1107.1254959999999,1150.9397,2020-02-01
Austria,2020,3,coal,0.0,293.1139,2020-03-01
Austria,2020,3,gas,946.3755,988.4595,2020-03-01
Austria,2020,3,hydro,2778.629869,3220.5285,2020-03-01
Austria,2020,3,nuclear,0.0,0.0,2020-03-01
Austria,2020,3,oil,0.0,64.0745,2020-03-01
Austria,2020,3,other,248.618,387.8408,2020-03-01
Austria,2020,3,solar,16.997998,183.7215,2020-03-01
Austria,2020,3,wind,792.0745009999999,792.0225,2020-03-01
Austria,2020,4,coal,0.0,136.5979,2020-04-01
Austria,2020,4,gas,411.75225,458.878,2020-04-01
Austria,2020,4,hydro,2765.358873,3084.3714,2020-04-01
Austria,2020,4,nuclear,0.0,0.0,2020-04-01
Austria,2020,4,oil,0.0,37.3677,2020-04-01
Austria,2020,4,other,237.623,362.7046,2020-04-01
Austria,2020,4,solar,18.862004,230.6291,2020-04-01
Austria,2020,4,wind,428.547,420.2333,2020-04-01
Austria,2020,5,coal,0.0,145.0427,2020-05-01
Austria,2020,5,gas,84.6805,174.9263,2020-05-01
Austria,2020,5,hydro,3500.788503,3854.2748,2020-05-01
Austria,2020,5,nuclear,0.0,0.0,2020-05-01
Austria,2020,5,oil,0.0,44.1212,2020-05-01
Austria,2020,5,other,240.815,343.4648,2020-05-01
Austria,2020,5,solar,20.675002,236.4926,2020-05-01
Austria,2020,5,wind,708.218,705.6569,2020-05-01
Austria,2020,6,coal,0.0,140.4083,2020-06-01
Austria,2020,6,gas,93.47975,179.0225,2020-06-01
Austria,2020,6,hydro,3904.924876,4322.351,2020-06-01
Austria,2020,6,nuclear,0.0,0.0,2020-06-01
Austria,2020,6,oil,0.0,53.101,2020-06-01
Austria,2020,6,other,225.114,322.0778,2020-06-01
Austria,2020,6,solar,20.8775,224.7657,2020-06-01
Austria,2020,6,wind,655.671,649.6697,2020-06-01
Austria,2020,7,coal,0.0,133.7324,2020-07-01
Austria,2020,7,gas,441.36825,469.9492,2020-07-01
Austria,2020,7,hydro,3941.532378,4411.8052,2020-07-01
Austria,2020,7,nuclear,0.0,0.0,2020-07-01
Austria,2020,7,oil,0.0,67.0505,2020-07-01
Austria,2020,7,other,220.164,354.8002,2020-07-01
Austria,2020,7,solar,21.635,234.5381,2020-07-01
Austria,2020,7,wind,361.246,351.5723,2020-07-01
Austria,2020,8,coal,0.0,149.4967,2020-08-01
Austria,2020,8,gas,401.56825,438.7985,2020-08-01
Austria,2020,8,hydro,3739.967759,4090.6826,2020-08-01
Austria,2020,8,nuclear,0.0,0.0,2020-08-01
Austria,2020,8,oil,0.0,63.0345,2020-08-01
Austria,2020,8,other,228.814,367.9692,2020-08-01
Austria,2020,8,solar,19.208501,224.7657,2020-08-01
Austria,2020,8,wind,398.87850000000003,395.2136,2020-08-01
Austria,2020,9,coal,0.0,148.3857,2020-09-01
Austria,2020,9,gas,396.13725,426.068,2020-09-01
Austria,2020,9,hydro,3540.001876,3924.3418,2020-09-01
Austria,2020,9,nuclear,0.0,0.0,2020-09-01
Austria,2020,9,oil,0.0,59.9548,2020-09-01
Austria,2020,9,other,220.838,368.348,2020-09-01
Austria,2020,9,solar,17.221506,179.8125,2020-09-01
Austria,2020,9,wind,459.63,451.0545,2020-09-01
Austria,2020,10,coal,0.0,183.0539,2020-10-01
Austria,2020,10,gas,805.8412500000001,797.3156,2020-10-01
Austria,2020,10,hydro,3445.792753,3895.8354,2020-10-01
Austria,2020,10,nuclear,0.0,0.0,2020-10-01
Austria,2020,10,oil,0.0,64.9422,2020-10-01
Austria,2020,10,other,230.318,358.2957,2020-10-01
Austria,2020,10,solar,14.630501,136.8139,2020-10-01
Austria,2020,10,wind,731.361499,744.2954,2020-10-01
Austria,2020,11,coal,0.0,156.0531,2020-11-01
Austria,2020,11,gas,1182.43675,1207.582,2020-11-01
Austria,2020,11,hydro,2756.186876,3107.6744,2020-11-01
Austria,2020,11,nuclear,0.0,0.0,2020-11-01
