unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Mwh,2015-01-01 03:00:00,2015-01-01,2015,1,01-01,Thursday,3,2927.0,0.0,476.0,,0.0,557.0,0.0,0.0,3403.0,557.0,3960.0,0.7391414141414141,0.0,0.1202020202020202,,0.0,0.14065656565656565,0.0,0.0,0.8593434343434343,0.14065656565656565,
Mwh,2015-01-01 04:00:00,2015-01-01,2015,1,01-01,Thursday,4,2797.0,0.0,437.0,,0.0,555.0,0.0,0.0,3234.0,555.0,3789.0,0.7381894959092109,0.0,0.11533386117709159,,0.0,0.14647664291369755,0.0,0.0,0.8535233570863024,0.14647664291369755,
Mwh,2015-01-01 05:00:00,2015-01-01,2015,1,01-01,Thursday,5,2602.0,0.0,504.0,,0.0,557.0,0.0,0.0,3106.0,557.0,3663.0,0.7103467103467104,0.0,0.1375921375921376,,0.0,0.15206115206115206,0.0,0.0,0.8479388479388479,0.15206115206115206,
Mwh,2015-01-01 06:00:00,2015-01-01,2015,1,01-01,Thursday,6,2656.0,0.0,485.0,,0.0,559.0,0.0,0.0,3141.0,559.0,3700.0,0.7178378378378378,0.0,0.13108108108108107,,0.0,0.1510810810810811,0.0,0.0,0.8489189189189189,0.1510810810810811,
Mwh,2015-01-01 07:00:00,2015-01-01,2015,1,01-01,Thursday,7,2726.0,0.0,397.0,,0.0,597.0,0.0,0.0,3123.0,597.0,3720.0,0.7327956989247312,0.0,0.10672043010752688,,0.0,0.16048387096774194,0.0,0.0,0.839516129032258,0.16048387096774194,
Mwh,2015-01-01 08:00:00,2015-01-01,2015,1,01-01,Thursday,8,2652.0,0.0,364.0,,0.0,608.0,10.0,0.0,3016.0,618.0,3634.0,0.7297743533296642,0.0,0.10016510731975785,,0.0,0.16730875068794718,0.00275178866263071,0.0,0.8299394606494221,0.17006053935057788,
Mwh,2015-01-01 09:00:00,2015-01-01,2015,1,01-01,Thursday,9,2559.0,0.0,404.0,,0.0,621.0,10.5,0.0,2963.0,631.5,3594.5,0.7119209904020031,0.0,0.11239393517874531,,0.0,0.17276394491584365,0.0029211295034079843,0.0,0.8243149255807484,0.17568507441925163,
Mwh,2015-01-01 10:00:00,2015-01-01,2015,1,01-01,Thursday,10,2508.0,0.0,445.0,,0.0,633.0,11.0,0.0,2953.0,644.0,3597.0,0.6972477064220184,0.0,0.12371420628301362,,0.0,0.17597998331943285,0.0030581039755351682,0.0,0.8209619127050319,0.17903808729496803,
Mwh,2015-01-01 11:00:00,2015-01-01,2015,1,01-01,Thursday,11,2532.0,0.0,477.0,,0.0,617.0,11.5,0.0,3009.0,628.5,3637.5,0.6960824742268041,0.0,0.1311340206185567,,0.0,0.16962199312714776,0.003161512027491409,0.0,0.8272164948453609,0.17278350515463917,
Mwh,2015-01-01 12:00:00,2015-01-01,2015,1,01-01,Thursday,12,2564.0,0.0,525.0,,0.0,638.0,12.0,0.0,3089.0,650.0,3739.0,0.6857448515645894,0.0,0.140411874832843,,0.0,0.170633859320674,0.0032094142818935543,0.0,0.8261567263974324,0.17384327360256754,
