"date","year","month","month_date","weekday","coal","gas","oil","nuclear","hydro","wind","solar","other","fossil","low.carbon","total.prod","unit","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2019-01-01,2019,1,"01_01","Tuesday",13934.3068899487,604.729268146148,52.669265959101,903.203514592071,2549.24545586941,1244.49893497842,552.018971039002,575.15987225708,14591.7054240539,5824.12674873598,20415.8321727899,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462506,0.0442403477334543,0.12486610559363,0.0609575414044145,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-02,2019,1,"01_02","Wednesday",15143.198450562,657.193457035594,57.2386666206858,981.562281549779,2770.40904454819,1352.46729476623,599.910199548465,625.058724138733,15857.6305742183,6329.4075445514,22187.0381187697,"Gwh",0.682524560939535,0.0296206034134689,0.00257982459462506,0.0442403477334544,0.12486610559363,0.0609575414044147,0.0270387690478143,0.0281722472730576,0.714724988947629,0.285275011052371
2019-01-03,2019,1,"01_03","Thursday",15038.7941794182,652.662458904233,56.8440365635489,974.794933494341,2751.30855279866,1343.14275460273,595.774138904466,620.749277839863,15748.300674886,6285.76965764006,22034.070332526,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462505,0.0442403477334543,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-04,2019,1,"01_04","Friday",14764.0460974606,640.738779611177,55.8055364131887,956.986122822134,2701.04410082621,1318.60449101459,584.889768788678,609.408629684942,15460.590413485,6170.93311313655,21631.5235266215,"Gwh",0.682524560939536,0.0296206034134689,0.00257982459462506,0.0442403477334543,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-05,2019,1,"01_05","Saturday",14887.6827343415,646.104435293052,56.2728614808508,965.000087624628,2723.66310421381,1329.64670962926,589.787735340783,614.511921354656,15590.0600311154,6222.60955816314,21812.6695892785,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462506,0.0442403477334544,0.12486610559363,0.0609575414044145,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-06,2019,1,"01_06","Sunday",14385.809571299,624.323847784403,54.3758678728595,932.46932679673,2631.84670527747,1284.82348147492,569.905619262611,593.796337391667,15064.5092869563,6012.8414702034,21077.3507571597,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462505,0.0442403477334543,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-07,2019,1,"01_07","Monday",14805.2583097542,642.527331505135,55.9613114357428,959.657444422965,2708.58376862207,1322.28523055282,586.522424306046,611.10972690818,15503.7469526951,6188.15859481208,21691.9055475072,"Gwh",0.682524560939536,0.0296206034134689,0.00257982459462506,0.0442403477334544,0.12486610559363,0.0609575414044147,0.0270387690478142,0.0281722472730575,0.714724988947629,0.28527501105237
2019-01-08,2019,1,"01_08","Tuesday",14482.887226924,628.536881134617,54.7428045926535,938.761773234243,2649.60681164107,1293.49366794273,573.751430036856,597.803366406406,15166.1669126513,6053.4170492613,21219.5839619126,"Gwh",0.682524560939536,0.0296206034134689,0.00257982459462506,0.0442403477334543,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-09,2019,1,"01_09","Wednesday",14837.3122526493,643.918427422659,56.0824697866181,961.73513900139,2714.44795468553,1325.14802797143,587.792267486222,612.432802526254,15537.3131498586,6201.55619167083,21738.8693415294,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462505,0.0442403477334543,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2019-01-10,2019,1,"01_10","Thursday",14808.9216175137,642.68631389571,55.9751581044142,959.894895231928,2709.25396131504,1322.61240740066,586.667549240924,611.260935550246,15507.5830895138,6189.6897487388,21697.2728382526,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462505,0.0442403477334542,0.124866105593629,0.0609575414044144,0.0270387690478142,0.0281722472730574,0.71472498894763,0.28527501105237
