date,mw,region
2009-05-07 0:00,10451,ОЭС СЕВ.ЗАПАДА
2009-05-07 1:00,10110,ОЭС СЕВ.ЗАПАДА
2009-05-07 2:00,10082,ОЭС СЕВ.ЗАПАДА
2009-05-07 3:00,10062,ОЭС СЕВ.ЗАПАДА
2009-05-07 4:00,10073,ОЭС СЕВ.ЗАПАДА
2009-05-07 5:00,10040,ОЭС СЕВ.ЗАПАДА
2009-05-07 6:00,10042,ОЭС СЕВ.ЗАПАДА
2009-05-07 7:00,10175,ОЭС СЕВ.ЗАПАДА
2009-05-07 8:00,10605,ОЭС СЕВ.ЗАПАДА
2009-05-07 9:00,10821,ОЭС СЕВ.ЗАПАДА
2009-05-07 10:00,11112,ОЭС СЕВ.ЗАПАДА
2009-05-07 11:00,11148,ОЭС СЕВ.ЗАПАДА
2009-05-07 12:00,11150,ОЭС СЕВ.ЗАПАДА
2009-05-07 13:00,11070,ОЭС СЕВ.ЗАПАДА
2009-05-07 14:00,11056,ОЭС СЕВ.ЗАПАДА
2009-05-07 15:00,10997,ОЭС СЕВ.ЗАПАДА
2009-05-07 16:00,10757,ОЭС СЕВ.ЗАПАДА
2009-05-07 17:00,10700,ОЭС СЕВ.ЗАПАДА
2009-05-07 18:00,10700,ОЭС СЕВ.ЗАПАДА
2009-05-07 19:00,10675,ОЭС СЕВ.ЗАПАДА
2009-05-07 20:00,10668,ОЭС СЕВ.ЗАПАДА
2009-05-07 21:00,10714,ОЭС СЕВ.ЗАПАДА
2009-05-07 22:00,10754,ОЭС СЕВ.ЗАПАДА
2009-05-07 23:00,10661,ОЭС СЕВ.ЗАПАДА
